str_no_string|CHYBÍ TEXT!
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Povídá se, že jsi slíbil věrnost našemu pánovi a {s54} tvůj slib přijal. No, nemůžu říct, že bych ti důvěřoval, ale pán to musí vědět líp.
str_comment_pledged_allegiance_allied_upstanding|Povídá se, že jsi slíbil věrnost našemu pánovi a {s54} tvůj slib přijal. Náš pán je vznešený a šlechetný člověk a věrnost oplácí laskavostí a štědrostí.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Povídá se, že jsi {slíbil/slíbila} věrnost našemu pánovi {s54}. Nemáš zrovna valnou pověst, ale snad nás příjemně překvapíš.
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Povídá se, že jsi {slíbil/slíbila} věrnost našemu pánovi {s54}. Bojuj proti našim nepřátelům srdnatě, ale také se ctí a soucitem. Dobrá pověst je stejně cenná jako ostrý meč nebo rychlý kůň.
str_comment_our_king_granted_you_a_fief_allied_friendly|Prý ti {s54} udělil jako léno panství {s51}. Pamatuj si - kdo šetří bič, rozmazluje nevolníky!
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Těší mě, že se ti daří - ale měj se na pozoru! Lidé jsou zlí, závistiví a chtiví cizího bohatství. Drž se v mé blízkosti a budeš v bezpečí.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Nechť tvé nové državy vzkvétají!
str_comment_our_king_granted_you_a_fief_allied_spiteful|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Ale nezapomínej, že pýcha předchází pád.
str_comment_our_king_granted_you_a_fief_allied|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Myslím si však, že se na tebe štěstí usmálo jen proto, aby byl tvůj pád ještě hlubší, až tě pán šoupne zpátky do hnoje, z něhož jsi {vzešel/vzešla}.
str_comment_you_renounced_your_alliegance_enemy_friendly|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Doufám, že sis přízeň našeho pána skutečně {zasloužil/zasloužila}.
str_comment_you_renounced_your_alliegance_friendly|Slyšel jsem, že ti {s54} udělil jako léno panství {s51}. Vidím, že si vedeš velmi dobře.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Povídá se, že jste se ty a {s54} pohádali. Je mi líto, že se teď musíme střetnout na bitevním poli.
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Povídá se, že jste se ty a {s54} pohádali. Modleme se, aby nedošlo na válku.
str_comment_you_renounced_your_alliegance_enemy|Vždycky jsem říkal, že se {s54} od tebe dočká zrady - a měl jsem pravdu. Doufám, že jsi připraven zemřít smrtí zrádců!
str_comment_you_renounced_your_alliegance_default|Povídá se, že jste ty a {s54} teď nepřátelé. Jsem nucen tě považovat za zrádce.
str_personality_archetypes|Povídá se, že jste se ty a náš pán {s54} poškorpili. Běda, takhle se ze starých přátel stávají nepřátelé.
str_martial|Povídá se, že jste ty a náš pán {s54} teď nepřátelé. No, je to tvoje rozhodnutí, ale nečekej, že tě ušetřím na bojišti.
str_quarrelsome|problematické povahy
str_selfrighteous|nelítostný
str_cunning|vychytralý
str_debauched|krutý
str_goodnatured|dobromyslný
str_upstanding|čestné povahy
str_surrender_demand_default|Vzdej se, nebo tě zabijeme!
str_surrender_demand_martial|Dneska ti štěstí nepřeje. Můžeš zkusit bojovat dál, ale nebude žádná hanba, když se vzdáš hned.
str_surrender_demand_quarrelsome|Zahnali jsme tě do kouta. Vzdej se, nebo tě zabiju jako psa!
str_surrender_demand_pitiless|Porazit mě nedokážeš a když to zkusíš, dám ti jak se patří za vyučenou. Vzdej se!
str_surrender_demand_cunning|Máme dneska jasnou přesilu. Vzdej se - když ne pro své dobro, tak pro dobro svých mužů!
str_surrender_demand_sadistic|Vzdej se, nebo tě vykuchám jako mřenku!
str_surrender_demand_goodnatured|Je nás víc. Vzdej se a my tě ušetříme.
str_surrender_demand_upstanding|Můžeš proti nám bojovat, ale pobijeme ti spoustu lidí a s největší pravděpodobností prohraješ. Vzdej se a ušetři oběma stranám zbytečné krveprolití.
str_surrender_offer_default|Nechte toho! Vzdávám se!
str_surrender_offer_martial|Nechte toho! Vzdávám se!
str_surrender_offer_quarrelsome|Dost už! Dobře, dneska jsi vyhrál. K čertu s tebou!
str_surrender_offer_pitiless|Vzdávám se, vyhrál jsi. Zatraceně!
str_surrender_offer_cunning|Nechte toho! Vzdávám se!
str_surrender_offer_sadistic|Vzdávám se! Vzdávám se! Odvolej ty svoje psy!
str_surrender_offer_goodnatured|Vzdávám se! Blahopřeji ti k vítězství, {pane/paní}.
str_surrender_offer_upstanding|Vzdávám se! Doufám, že se mnou budeš zacházet čestně!
str_prisoner_released_default|Děkuju mockrát, {pane/paní}. Nezapomenu na tvou laskavost.
str_prisoner_released_martial|Jsi skutečně {šlechetný muž, pane/šlechetná žena, paní}. Nezapomenu na to!
str_prisoner_released_quarrelsome|Ty mě pustíš na svobodu? No, dobře .... Na shledanou.
str_prisoner_released_pitiless|Děkuji ti. Až tě jednou někdo porazí, přeju ti rychlou a milosrdnou smrt. Tedy pokud se mezitím nepřidáš na naši stranu ... Zatím na shledanou!
str_prisoner_released_cunning|Opravdu? Jsi moc dobrý člověk, {pane/paní}. Určitě se ti nějak odvděčím.
str_prisoner_released_sadistic|Cože? Skutečně jsi tak krutý, že mě raději s ostudou pustíš na svobodu, než bys mne uvrhl do želez? Tak dobře, užij si to!
str_prisoner_released_goodnatured|Jsi nesmírně {laskav, pane/laskavá, paní}. Nezapomenu na to!
str_prisoner_released_upstanding|Jsi nesmírně {laskav, pane/laskavá, paní}. Nezapomenu na to!
str_enemy_meet_default|Kdo vlastně jsi, že proti mně pozvedáš zbraň?
str_enemy_meet_martial|Jak ti říkají, {pane/paní}? Kdyby došlo k boji... Chci aspoň vědět, s kým zkřížím zbraň.
str_enemy_meet_quarrelsome|A ty jsi jako kdo?
str_enemy_meet_pitiless|Co jsi zač? Povídej, ať vím, koho dneska zabiju.
str_enemy_meet_cunning|Pověz mi své jméno. Chci vědět, jak se můj nepřítel jmenuje.
str_enemy_meet_sadistic|Co jsi zač? Povídej rychle, než ti vyříznu jazyk!
str_enemy_meet_goodnatured|Jak ti říkají, {pane/paní}? Kdyby došlo k boji... Chci aspoň vědět, s kým zkřížím zbraň.
str_enemy_meet_upstanding|Kdopak jsi, ty, jenž si dovoluješ postavit se proti naší spravedlivé věci se zbraní v ruce?
str_battle_won_default|Dneska ses osvědčil jako ten nejvěrnější spojenec!
str_battle_won_martial|Není většího štěstí než příležitost prokázat svou statečnost na bitevním poli!
str_battle_won_quarrelsome|Ha! Že jsme těm holomkům ale dali za vyučenou, co?
str_battle_won_pitiless|Společně zasejeme hrůzu do srdcí nepřátel. Budou se třást strachy, sotva nás uvidí!
str_battle_won_cunning|Teď musíme co nejrychleji využít získané výhody, aby všechna ta dnes prolitá krev nevyšla nazmar.
str_battle_won_sadistic|Teď okrademe mrtvé a předhodíme je vranám - aby všichni viděli, jaký osud stihne ty, kdo se proti nám postaví!
str_battle_won_goodnatured|To byl dobrý boj! Není nad opojnou chuť vítězství, co?
str_battle_won_upstanding|Poděkujeme nebesům díky za dosažené vítězství a budeme truchlit pro všechny, kteří dnes padli.
str_battle_won_grudging_default|Dnes se ti na bojišti podařilo zvrátit průběh bitvy. Ať už si o tobě myslím cokoli, děkuji ti za pomoc.
str_battle_won_grudging_martial|{playername}, bez ohledu na to, jakých chyb ses v minulosti dopustil, dnes jsi prokázal, že jsi  cenným spojencem!
str_battle_won_grudging_quarrelsome|Hmm. Nemůžu říct, že bych tě rád viděl, ale myslím, že bych ti měl poděkovat za pomoc.
str_battle_won_grudging_pitiless|Tvá pomoc byla neocenitelná. Nikdy by mě nenapadlo, že mi zrovna ty přijdeš na pomoc, ale tím spíš ti děkuji.
str_battle_won_grudging_cunning|Myslím, že bych ti měl poděkovat za pomoc v hodině dvanácté, takže ... děkuju.
str_battle_won_grudging_sadistic|No to je dojemné! {playername} mi přijíždí na pomoc!
str_battle_won_grudging_goodnatured|{playername}! Nemůžu říct, že bych s tebou v minulosti vycházel vždycky dobře, ale dneska jsi bojoval skvěle. Patří ti mé díky!
str_battle_won_grudging_upstanding|Možná jsem se v tobě mýlil... Přijel jsi v pravý čas a já ti za to děkuji.
str_battle_won_unfriendly_default|Ó, ty jsi tu taky? No, lépe pozdě než nikdy.
str_battle_won_unfriendly_martial|V minulosti jsme se sice moc neshodli, ale teď prostě oslavíme vítězství!
str_battle_won_unfriendly_quarrelsome|Jestli čekáš, že ti poděkuju, můžeš si tu klidně vystát důlek. Já jsem tvou pomoc vůbec nepotřeboval, ale tys neměl nic lepšího na práci, co?
str_battle_won_unfriendly_pitiless|Přispěchal jsi sem jako šakal ke lví hostině! Tak jo, pochutnej si za zbytcích, já ti bránit nebudu.
str_battle_won_unfriendly_cunning|{playername}... No, myslím, že tvá pomoc nemůže nic pokazit, ale nebudu předstírat, že jsem rád, že tě vidím.
str_battle_won_unfriendly_sadistic|Dej si odchod, mrchožroute! Tohle je moje vítězství a ať tě ani nenapadne zkoušet z něj ukrást ždibec slávy pro sebe.
str_battle_won_unfriendly_goodnatured|Aha, to jsi ty. Co se dá dělat, myslím, že bych ti měl poděkovat za pomoc.
str_battle_won_unfriendly_upstanding|Děkuji ti, žes mi přišel na pomoc. A teď mě omluv, radši půjdu, než řeknu něco, čeho bych pak litoval...
str_troop_train_request_default|Potřebuju někoho, jako jsi ty, aby je dostal do formy.
str_troop_train_request_martial|Potřebují někoho, kdo by jim ukázal, jak si vydobýt slávu.
str_troop_train_request_quarrelsome|Nenažraní parchanti. Dělá se mi z nich zle!
str_troop_train_request_pitiless|Mají z nepřítele větší strach než ze mě, a to není dobré.
str_troop_train_request_cunning|Chlapi jsou jako meče - v žáru bitvy se zakalí a získávají potřebnou tvrdost!
str_troop_train_request_sadistic|Potřebují za sebou někoho, kdo by do nich buď namlátil trochu odvahy, nebo je pozabíjel ve snaze o totéž.
str_troop_train_request_goodnatured|Jsou to docela dobří chlapi, ale bojím se, že na pořádný boj ještě nejsou připravení.
str_troop_train_request_upstanding|Kdybych je nahnal do boje tak, jak jsou, byla by to hromadná sebevražda.
str_unprovoked_attack_default|Co? Proč jste nás přepadli? Mluv, honem!
str_unprovoked_attack_martial|Není mi proti mysli zkřížit s tebou zbraně, ale můžu se zeptat, proč jsi nás napadl?
str_unprovoked_attack_quarrelsome|Děláš velkou chybu, {spratku/holčičko}. Co si vůbec myslíš, že děláš?
str_unprovoked_attack_pitiless|Opravdu? Pokud skutečně chceš dneska umřít, s radostí ti to umožním, ale aspoň mi řekni, proč to děláš...
str_unprovoked_attack_cunning|Vážně? Jednáš hloupě a nezodpovědně. Čeho doufáš, že tím dosáhneš?
str_unprovoked_attack_sadistic|Co to má znamenat? Chceš, abych ti dal vypíchnout oči?
str_unprovoked_attack_goodnatured|Proč to děláš? Nejsme spolu ve při, {pane/paní}.
str_unprovoked_attack_upstanding|Budu to považovat za nevyprovokovaný útok a budu si stěžovat tvému králi. Proč mi to děláš?
str_unnecessary_attack_default|Jestli budu muset, zabiju tě bez váhání, ale ještě máš možnost si zachránit život.
str_unnecessary_attack_martial|S radostí přijmu tvou výzvu, {pane/paní}, ale dám ti ještě čas na rozmyšlenou.
str_unnecessary_attack_quarrelsome|Pche! Na takové nesmysly dneska nemám náladu! Jdi mi z cesty.
str_unnecessary_attack_pitiless|Jsem dneska v dobré náladě, tak budu předstírat, že jsem tě neslyšel.
str_unnecessary_attack_cunning|Nechápu, co z toho budeš mít, když si mě znepřátelíš. Nechceš radši prostě odjet?
str_unnecessary_attack_sadistic|S takovým nuzákem, jako jsi ty, nebudu ztrácet čas. Kliď se mi z cesty!
str_unnecessary_attack_goodnatured|Nechápu, proč se mnou chceš bojovat, {pane/paní}. Jeď radši svou cestou.
str_unnecessary_attack_upstanding|Pokud skutečně toužíš po boji, {pane/paní}, máš ho mít, ale ještě si to můžeš rozmyslet.
str_lord_challenged_default|Jak si přeješ. Připrav se na smrt!
str_lord_challenged_martial|Dobře tedy. Braň se!
str_lord_challenged_quarrelsome|Ty pohanský pse! Teď to schytáš!
str_lord_challenged_pitiless|Pokud tak moc toužíš po smrti, nezbývá mi, než ti ji dopřát.
str_lord_challenged_cunning|No, když mi nedáš na vybranou...
str_lord_challenged_sadistic|Ty mizerná špíno! Budeš si přát, aby ses nikdy nenarodil!
str_lord_challenged_goodnatured|Tak dobře. Škoda, že to nešlo jinak, ale vidím, že nemám na vybranou.
str_lord_challenged_upstanding|Ať je tedy po tvém. Mrzí mne, že se nenecháš přesvědčit.
str_lord_mission_failed_default|Zklamal jsi mě, ale určitě budeš mít spoustu příležitostí to napravit.
str_lord_mission_failed_martial|Nesplnit zadaný úkol, to ti neslouží ke cti, ale budu věřit tvému slovu.
str_lord_mission_failed_quarrelsome|Nepodařilo se? Pche. Nic lepšího jsem od tebe ani nečekal.
str_lord_mission_failed_pitiless|Nepodařilo se? To je zlé, moc zlé... Zklamal jsi mě, a to je velká chyba.
str_lord_mission_failed_cunning|Zklamal jsi mě, ale nevadí. Neúspěch potká každého.
str_lord_mission_failed_sadistic|Vskutku? Ti, kteří mne zklamou, málokdy žijí tak dlouho, aby toho mohli patřičně litovat.
str_lord_mission_failed_goodnatured|Eh, stejně jsem už nijak zvlášť nedoufal. Děkuji ti za snahu!
str_lord_mission_failed_upstanding|Zas tak moc se nestalo. Jsem si jist, že ses snažil ze všech sil.
str_lord_follow_refusal_default|Já že mám následovat tebe? Zapomínáš, kde je tvé místo, {pane/paní}.
str_lord_follow_refusal_martial|Pokud se jednoho dne vrátíš ověnčen vojenskou slávou, pak budu ochoten tě následovat. Dneska ale ne.
str_lord_follow_refusal_quarrelsome|Následovat někoho, jako jsi ty? Ani náhodou.
str_lord_follow_refusal_pitiless|Šlechtic, jako jsem já, nebude následovat někoho, jako jsi ty, {pane/paní}.
str_lord_follow_refusal_cunning|Nejdřív dokaž, že mě nezatáhneš do problémů, a pak za tebou možná půjdu.
str_lord_follow_refusal_sadistic|Kdepak! To spíš ty můžeš následovat mě, jako se spráskaný pes plazí za svým pánem.
str_lord_follow_refusal_goodnatured|Mám teď příliš mnoho práce. Možná někdy později.
str_lord_follow_refusal_upstanding|Nejdřív prokaž, že jsi hoden, aby tě někdo následoval, a pak tě se uvidí.
str_lord_insult_default|čubka
str_lord_insult_martial|podlá zmije
str_lord_insult_quarrelsome|zbabělá mrcha
str_lord_insult_pitiless|sprostá zrůda
str_lord_insult_cunning|rozhoďnožka
str_lord_insult_sadistic|smradlavá fena
str_lord_insult_goodnatured|špinavá kry
str_lord_insult_upstanding|blbá kráva
str_rebellion_dilemma_default|[poddaný]
str_rebellion_dilemma_martial|{s45} si nic takového nezaslouží. A i když {s46} přijal mou přísahu věrnosti, nezavazuje mě to, abych ho podpořil, pokud se zmocnil trůnu neoprávněně.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} mi nikdy nevyplatil žádnou odměnu, takže mu nejsem ničím zavázán. Na druhé straně je možné, že {s45} nebude o nic lepší, a {s46} už se jakž takž osvědčil.
str_rebellion_dilemma_pitiless|Hmm. {s45} tvrdí, že trůn po právu náleží {reg3?jí:jemu}. V tom případě by mě {s46} musel zprostit vazalské přísahy. Ale stejně si to musím dobře rozmyslet.
str_rebellion_dilemma_cunning|Hmm. {s46} přijal mou přísahu věrnosti, ale my, kdož máme v rukou moc, nemusíme držet slovo tak poctivě jako obyčejná lůza. My máme vládnout, rozkazovat a je naší povinností zabránit válce.
str_rebellion_dilemma_sadistic|Hmm. V tomhle krutém světě musí moudrý člověk myslet především sám na sebe, protože nikdo jiný to za něj neudělá. Takže, co z toho budu mít já?
str_rebellion_dilemma_goodnatured|Nevím, co ti na to mám říct. {s46} přijal mou přísahu věrnosti a je mým lenním pánem, ale pokud zároveň není právoplatným vládcem, nejsem si jist, zda je má přísaha platná.
str_rebellion_dilemma_upstanding|To je problém. Nemůžu jen tak vzít zpět přísahu věrnosti, kterou ode mě přijal {s46}, to by nám v zemi brzy zavládla anarchie! Zároveň však je mou povinností podpořit právoplatného následníka trůnu a {s45} na něj vznesl oprávněný požadavek.
str_rebellion_dilemma_2_default|[poddaný]
str_rebellion_dilemma_2_martial|Na druhé straně, {s46} je svému lidu dobrým vládcem v dobách války i míru a mně se příčí porušit přísahu věrnosti.
str_rebellion_dilemma_2_quarrelsome|Pověz mi, proč bych se měl obrátit zády k mizerovi, kterého aspoň dobře znám, kvůli {reg3?mrše, kterou:mizerovi, kterého} vůbec neznám?
str_rebellion_dilemma_2_pitiless|Odpovídat na takové otázky, jako kdo by měl podle mě vládnout naší zemi, může být nebezpečné. Ale zároveň to pro mě znamená velkou příležitost včas si zajistit přízeň budoucího panovníka!
str_rebellion_dilemma_2_cunning|{s46} dopustil oslabení své pozice na trůně a nikdy nebude tak silným vůdcem jako někdo, proti jehož nárokům není námitek. Pokud se však {s45} zmocní trůnu silou, také nebude tak {reg3?silnou vládkyní:silným vládcem} jako v případě, že trůn získá mírovou cestou.
str_rebellion_dilemma_2_sadistic|Možná, že pokud mě {s45} přijme do svých služeb teď, když je {reg3?její:jeho} moc ještě slabá, bohatě se mi odmění. Ale když ode mě {s46} dostane darem tvou hlavu, třeba mi dá ještě lepší odměnu!
str_rebellion_dilemma_2_goodnatured|{s46} se mnou vždy zacházel dobře, i když je pravda, že {s45} totéž říct nemůže. Nechci se odříct vazalské přísahy, ale podporovat bezpráví se mi taky nechce.
str_rebellion_dilemma_2_upstanding|Myslím, že budu muset udělat to, co je správné v zájmu říše, aby ji nerozvrátila občanská válka a nezpustošili nepřátelé.
str_rebellion_prior_argument_very_favorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel a v podstatě s nimi souhlasím.
str_rebellion_prior_argument_favorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel a v podstatě s nimi souhlasím.
str_rebellion_prior_argument_unfavorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel, ale moc přesvědčivé mi nepřipadají.
str_rebellion_prior_argument_very_unfavorable|Nějaké argumenty ve prospěch tvého kandidáta na trůn už jsem slyšel, ale s většinou z nich nemůžu souhlasit.
str_rebellion_rival_default|[poddaný]
str_rebellion_rival_martial|Tvůj spojenec {s44} si kdysi dovolil zpochybnit mou čest a statečnost. Naskytla se mi vzácná příležitost postavit se mu v boji a donutím ho, aby svého tvrzení litoval.
str_rebellion_rival_quarrelsome|Ten tvůj spojenec {s44} je prohnaný šejdíř a já bych mu nevěřil, ani co by se za nehet vešlo.
str_rebellion_rival_pitiless|Zdá se, že tě podporuje {s44} - slaboch s měkkým srdcem, neschopný spravovat ani vlastní léno. Hluboce ho nenávidím.
str_rebellion_rival_cunning|{s44}, s nímž jsi spojil své síly, je umíněný, hádavý a navíc má dluhy.
str_rebellion_rival_sadistic|Nechci bojovat po boku tvého spojence jménem {s44}. Dělá se mi zle z toho, jak staví na odiv své ctnosti
str_rebellion_rival_goodnatured|Odmítám bojovat na stejné straně jako {s44}, který je v celé zemi vyhlášený svou krutostí.
str_rebellion_rival_upstanding|Tvůj spojenec {s44} je nebezpečný, bezcharakterní a krajně nespolehlivý člověk
str_rebellion_argument_favorable|Tvé argumenty jsou zcela logické
str_rebellion_argument_neutral|Tvé argumenty jsou značně přesvědčivé
str_rebellion_argument_unfavorable|Ty tvoje argumenty nejsou vůbec přesvědčivé
str_rebellion_persuasion_favorable| meleš páté přes deváté
str_rebellion_persuasion_neutral| tvá motivace je mi zcela jasná
str_rebellion_persuasion_unfavorable| nepodaří se ti mě přesvědčit
str_rebellion_relation_very_favorable| cítím k tobě hluboký obdiv.
str_rebellion_relation_favorable| znám tě osobně a vážím si tě.
str_rebellion_relation_neutral| neznám tě až tak dobře.
str_rebellion_relation_unfavorable| nedůvěřuji ti.
str_and_comma_3|A kromě toho,
str_but_comma_3|Avšak
str_and_comma_1|, a
str_but_comma_1|, ale
str_and_comma_2|. Navíc,
str_but_comma_2|. Nicméně,
str_rebellion_agree_default|[poddaný]
str_rebellion_agree_martial|Dobře, už vím, jak se rozhodnu. {s45} je právoplatným následníkem trůnu.
str_rebellion_agree_quarrelsome|Promiň, ale meleš páté přes deváté. Mně se ale {s46} stejně nikdy nezamlouval, ani to, co dělá. Na trůn by měl dosednout někdo důstojnější.
str_rebellion_agree_pitiless|Tak dobře, můžeš si myslet, že máš velké štěstí. Rozhodl jsem se, že se k tobě přidám, ale hleď, abych neměl důvod toho litovat.
str_rebellion_agree_cunning|Nebezpečný podnik jsi vymyslel... Ale tak dobře, já se k tobě přidám. Doufám, že to dobře dopadne.
str_rebellion_agree_sadistic|Ale, co už... Proč bych {reg3?tvou kandidátku:tvého kandidáta} nepodpořil? Ale musíš mi slíbit, že se mi štědře odmění!
str_rebellion_agree_goodnatured|Dobře. Myslím, že {reg3?tvá kandidátka:tvůj kandidát} bude dobrým vládcem. Přidám se k tobě.
str_rebellion_agree_upstanding|Ať se stane, co se má stát. Mou první povinností je závazek vůči vlasti a jestli ji bude {s45} chránit proti bezpráví, přijde {s46} o mou podporu. Nechť mi nebesa odpustí, pokud jsem se {nerozhodl/nerozhodla} správně!
str_rebellion_refuse_default|[poddaný]
str_rebellion_refuse_martial|Promiň. {s45} sice vznesl oprávněný požadavek, ale {s46} si nezaslouží, abych ho zradil.
str_rebellion_refuse_quarrelsome|Ne. {s45} stejně nemá potřebné vladařské schopnosti a já nepřeběhnu z jedné strany na druhou.
str_rebellion_refuse_pitiless|Ne. Nebudu podporovat tvé povstání. Tvůj hněv je jen vztekem dítěte, kterému vzali jeho oblíbenou hračku. {s46} zde vládne právem a vládne zde dobře.
str_rebellion_refuse_cunning|Promiň, ale moc tvé věci nevěřím. Mnoho lidí zemře a já nechci být mezi nimi. Bude lepší, když vše zůstane při starém.
str_rebellion_refuse_sadistic|Ne, takové hry nejsou nic pro mě. Natahuješ se po koruně, ale nakonec ji nebudeš mít na co nasadit - tvou hlavu totiž v košíku ponese kat z popraviště a {s46} se na to bude se mnou dívat.
str_rebellion_refuse_goodnatured|Promiň, ale {s46} si mou zradu nezaslouží. Doufám, že se za to na mne nebudeš zlobit.
str_rebellion_refuse_upstanding|Odpusť, ale nemyslím, že by to {s45} nechal jen tak být a že by toleroval povstání. Radši nechme všechno při starém a nebesa mi odpusť, jestli se pletu.
str_talk_later_default|[poddaný]
str_talk_later_martial|Teď není čas na politické žvásty! Přijel jsem sem bojovat a ty se taky rychle připrav.
str_talk_later_quarrelsome|Myslíš, že se s tebou budu vybavovat o zradě, ačkoli jsme v obklíčení nepřátel? Za koho mě máš?
str_talk_later_pitiless|Drž jazyk za zuby, ano?! Pokud mám k této záležitosti co říct, rozhodně ne tady a teď, uprostřed celé naší armády!
str_talk_later_cunning|Na takovou debatu tady není vhodné místo ani čas. Možná bychom si o tom mohli promluvit později, ale prozatím jsme stále nepřátelé.
str_talk_later_sadistic|Zavři už hubu! Co myslíš, že udělají ostatní vazalové, když uvidí, jak se spolu domlouváme na zradě?
str_talk_later_goodnatured|Tak ty si se mnou chceš promluvit o zradě? Zkus to znovu, až všude kolem nás nebude vojsko, pak tě možná vyslechnu.
str_talk_later_upstanding|Ať už si o legitimnosti následníka trůnu myslím cokoliv, tady a teď se o tom bavit nebudu. Pokud se znovu setkáme někde, kde si budeme moct promluvit v soukromí, vyslechnu tě. Zatím jsme však stále nepřátelé.
str_gossip_about_character_default|Říká se, že {s6} nemá jedinou zajímavou charakterovou vlastnost.
str_gossip_about_character_martial|Říká se, že {s6} nadevše miluje válku.
str_gossip_about_character_quarrelsome|{s6} prý málem vyzval na souboj nějakého šlechtice jen proto, že si tropil šprýmy z jeho nosu. 
str_gossip_about_character_selfrighteous|Povídá se, že {s6} nechal zavřít jednoho šlechtice za to, že zastřelil v jeho lesích soba.
str_gossip_about_character_cunning|Říká se, že je {s6} vychytralým protivníkem.
str_gossip_about_character_sadistic|Říká se, že {s6} rád mučí své nepřátele. Nechtěl bych se s ním dostat do sporu.
str_gossip_about_character_goodnatured|Říká se, že je {s6} tuze dobrý člověk a že se příkladně stará o lid na svém panství. To je víc, než se dá říct o většině dnešních vládců.
str_gossip_about_character_upstanding|Mezi lidmi se povídá, že je {s6} výborný hospodář. Je ke svým poddaným hodný a za věrnou službu je dobře odměňuje.
str_latest_rumor|Poslední příběh, co jsem slyšel a ve kterém vystupoval {s6}, byl tenhle:
str_swadian_rebellion_pretender_intro|Jsem vrchní litevský hejtman, kníže Janusz Radziwille.
str_vaegir_rebellion_pretender_intro|Jsem donský ataman. Říkají mi Stěnka Razin.
str_khergit_rebellion_pretender_intro|Jmenuju se Muhammad a jsem z rodu krymských Girejů.
str_nord_rebellion_pretender_intro|Jmenuji se Kristýna a jsem šestá královna švédská, gótská a vendská.
str_rhodok_rebellion_pretender_intro|Jmenuju se Ivan Barabáš. Ano, ano, přesně ten hejtman, kterého už dávno považují za mrtvého.
str_swadian_rebellion_pretender_story_1|My Radziwillové jsme potomky litevského velkoknížete Gediminase, stejně jako vládcové Rzeczpospolity, Jagelonci. Nynější králové jsou oproti nám přivandrovalci, kteří nemají na polskou a litevskou korunu žádná práva.
str_vaegir_rebellion_pretender_story_1|Kolik já jsem vedl na carskou prosbu útoků na Tatary. A jak se mi odvděčili? Mého bratra zavřeli za údajné protistátní pomluvy a jestli chytí mě, taky mě strčí do šatlavy.
str_khergit_rebellion_pretender_story_1|Jsem starším synem chána Seljameta. Ten donedávna panoval na chánském dvoře v Bachčisaraji, jenže nejjasnější sultán Porty, jehož poddanými všichni Girejové jsou, vyhlásil, že prý špatně plním své povinnosti, a dosadil na mé místo mého mladšího bratra Islama!
str_nord_rebellion_pretender_story_1|Jsem jediná dcera krále Gustava Adolfa II. a Marie Eleonory Branderburgské. O mých prvních narozeninách mi vládci všech švédských držav složili přísahu věrnosti. Jako budoucí královně se mi dostalo vynikajícího vzdělání. Naučila jsem se sedm cizích jazyků - němčinu, dánštinu, holandštinu, italštinu, španělštinu, řečtinu a latinu - a studovala jsem Ezopa, Justiniána, Livia, Caesara, Vergilia a další. Už jako dvanáctiletá holčička jsem se slušně vyznala v politice a ve vojenských záležitostech.
str_rhodok_rebellion_pretender_story_1|Pocházím z kozáckého rodu. Byl jsem zástupcem velitele pluku, pak mě zvolili za čerkasského plukovníka a nakonec za vrchního hejtmana Záporožského vojska. Vždycky jsem usiloval o mírové soužití s polskou šlechtou, ale jeden vojenský písař, Bohdan Chmelnický, zajel na Síč, popletl záporožským hlavu a podnítil povstání. Řádní kozáci, kteří zůstali pod mou korouhví, pomáhali královskému vojsku povstalce porazit, ale před bitvou na Žluté vodě se Chmelnickému podařilo získat na svou stranu všechny staršiny.
str_swadian_rebellion_pretender_story_2|Polského krále volí senát. To je hlavní příčina veškeré naší bídy. Dokud na trůn neusedne právoplatný vladař, který nebude titul nosit v důsledku přízně vrtošivé šlechty, ale právem královské krve, Rzeczpospolita nikdy nebude velkou a slavnou zemí. 
str_vaegir_rebellion_pretender_story_2|Ruský car už sní o tom, jak zruší donským kozákům všechna privilegia, ale ti se o ně tak snadno připravit nenechají. Jakmile se objeví právoplatný následník trůnu, okamžitě vypukne povstání. A pak si nás nepřej, Alexeji Michailoviči!
str_khergit_rebellion_pretender_story_2|To, jak mě sesadili, byla do očí bijící nespravedlnost. Islam-Girej se ve státní politice vůbec nevyzná a místo aby podpořil Rzeczpospolit, usiluje o spojenectví s kozáky. Jenže pouze spolu s polským královstvím dokážeme zadržet moskevského draka, který se dere na jih...
