qstr_Next_Page|下 一 頁 
qstr_You_sought_that_the_|當 你 在 酒 館 就 餐 時 ， 你 注 意 到 了 一 名 富 有 的 市 民 。 你 看 見 他 有 點 醉 ， 看 來 讓 他 那 沉 重 的 錢 包 變 輕 一 點 並 不 是 什 麼 巨 大 挑 戰 … … 
qstr_There_is_gourds._It_|在 酒 館 休 息 與 吃 飯 之 後 ， 你 決 定 繼 續 你 的 旅 程 。 
qstr_You_lost_the_fight._|你 輸 了 。 衛 兵 們 聽 到 了 哄 鬧 聲 ， 並 拿 下 了 你 … … 
qstr_The_man_is_dead..._Y|你 殺 了 你 的 對 手 。 你 拿 走 了 他 的 武 器 ， 還 從 他 的 錢 包 拿 了 些 錢 。 
qstr_you_were_killed_as_c|法 庭 的 裁 決 確 實 嚴 厲 — — 殺 人 犯 與 搶 劫 犯 {playername}被 宣 判 絞 死 。 
qstr_Nu_vow_vostaniye_zak|造 反 結 束 。 該 和 拉 辛 說 話 了 。 
qstr_Razin_now_is_the_mar|拉 辛 現 在 是 元 帥 。 
qstr_OiM_text_for_main_qs|信 使 說 ， 國 王 本 人 想 見 你 … … 
qstr_Viberite_nuzhnuyu_va|選 擇 所 需 的 服 務 
qstr_Na_daniy_moment_eto_|這 個 定 居 地 的 中 心 是 空 的 ， 在 空 曠 的 街 道 上 只 有 風 嘯 而 已 。 
qstr_V_vashem_otryade_net|你 沒 有 同 伴 。 
qstr_V_vashem_otryade_ime|這 裡 可 以 訓 練 你 隊 伍 裡 的 同 伴 。 
qstr_Prosmotret_spisok_go|查 看 你 派 有 副 官 且 未 被 圍 攻 城 鎮 列 表 。 
qstr_U_vas_net_gorodov_gd|迄 今 為 止 ， 你 沒 給 任 何 地 方 派 遣 副 官 。 
qstr_Vam_nuzhno_poslat_go|你 的 首 都 被 占 領 了 。 你 必 須 選 擇 一 座 臨 時 首 都 。 
qstr_Vibor_stolici_proshe|現 在 你 有 了 一 座 新 首 都 。 
qstr_Vam_nuzhno_vibrat_di|你 沒 有 首 都 ， 也 沒 有 城 市 可 被 立 為 首 都 。 
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6}^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8}^{s7}
qstr_Breaking_camp...|終 止 宿 營 … … 
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|當 前 財 富 ： {reg1}
qstr_Your_party_is_spotte|你 的 部 隊 被 {s1}發 現 了 。 
qstr_{reg1}_{s1}_{reg2?ha|{reg1}個 {s1}{reg2?已 :已 }趁 著 夜 色 逃 離 了 你 的 隊 伍 。 
qstr_{s1}_of_{s3}_has_bee|{s3}的 {s1}已 經 從 監 獄 裡 釋 放 出 來 了 。 
qstr_Building_of_{s0}_in_|{s4}的 建 築 物 {s0}已 經 完 工 了 。 
qstr_{s1}_is_no_longer_in|{s1}不 再 受 到 夜 間 的 強 盜 侵 擾 。 
qstr_You_pay_for_accommod|你 支 付 了 宿 金 。 
qstr__Your_tactics_skill_|你 的 戰 術 技 能 提 高 1級 。 
qstr__Your_persuasion_ski|你 的 說 服 力 技 能 提 高 1級 。 
qstr__Your_leadership_ski|你 的 統 御 技 能 提 高 1級 。 
qstr__Your_intelligence_h|你 的 智 力 提 高 1點 。 
qstr__Your_trade_skill_ha|你 的 交 易 技 能 提 高 1級 。 
qstr__Your_weapon_master_|你 的 武 器 掌 握 技 能 提 高 1級 。 
qstr__Your_engineer_skill|你 的 工 程 學 技 能 提 高 1級 。 
qstr_You_have_finished_re|你 已 經 讀 完 了 {s1}。 {s2}
qstr_Book_Read|讀 書 
qstr_You_must_follow_{s1}|你 必 須 跟 隨 {s1}！ 
qstr_You_must_follow_{s1}!|你 必 須 跟 隨 {s1}！ 這 是 對 你 的 最 後 一 次 警 告 ！ 
qstr_{s1}_is_scouted.|{s1}已 經 偵 察 過 了 。 
qstr_{s1}_has_switched_fr|{s1}由 {s2}轉 到 {s3}。 
qstr_{s4}_is_in_{s5}|{s4}在 {s5}
qstr_OiM_Ne_uspeli_otoyti|在 你 可 以 從 哥 薩 克 人 處 離 開 之 前 ， 那 名 俘 虜 試 圖 找 你 說 話 。 
qstr_OiM_add_{s2}_joined_|{s2}加 入 了 扎 格 沃 巴 的 起 義 ！ 
qstr_{s5}^_{s1}|{s5}^{s1}
qstr_You_promised_to_help|你 答 應 幫 助 {s13}取 得 {s14}的 統 治 權 。 
qstr_{s6}_has_joined_your_|{s6}加 入 了 你 的 隊 伍 。 
qstr_{reg65?my_Lady:my_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?My_Lady:My_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?madame:sir}|{reg65?夫 人 :先 生 }
qstr_{reg65?Madame:Sir}|{reg65?夫 人 :先 生 }
qstr_Viberite_variant.|這 就 是 我 能 為 你 提 供 的 ： 
qstr_Seychas_vse_dostupni|現 在 ， 所 有 的 能 干 的 軍 官 們 都 正 忙 著 訓 練 新 兵 。 
qstr_U_vas_nedostatochno_|你 錢 包 的 錢 太 少 了 ， 你 甚 至 連 個 民 兵 都 雇 不 了 ！ 
qstr_Vot_vse_chto_dostupn|我 能 提 供 的 就 是 這 個 。 
qstr_Vot_chto_vam_seychas|現 在 可 得 的 ： 
qstr_Na_daniy_moment_net_|沒 有 可 得 的 選 項 。 
qstr_Ya_seychas_zaynuat_p|請 原 諒 ， 我 正 在 忙 著 執 行 你 關 於 {s1}的 命 令 。 我 會 在 {reg2}{reg1?天 :小 時 }後 有 空 。 
qstr_Viberite_zhelayumiy_|你 想 知 道 什 麼 ？ 
qstr_Zdes_esche_net_{s1}.|此 地 仍 然 缺 少 {s1}
qstr_Zdes_uzhe_est_{s1}.|此 地 已 有 {s1}
qstr_{reg0?Naynyat:Postro|{reg0?雇 用 :建 造 }。 
qstr_U_vas_zdes_uzhe_post|你 已 經 建 造 了 以 下 建 築 ： ^
qstr_Zdes_k_tebe_loyalni_|你 已 經 指 派 了 人 負 責 本 市 的 以 下 職 務 ： ^
qstr_U_vas_nichego_esche_|到 目 前 為 止 ， 還 沒 有 在 這 方 面 取 得 成 功 。 
qstr_It_s_your_money_or_y|要 錢 還 是 要 命 ， {閣 下 /女 士 }？ 不 許 動 ， 否 則 我 們 一 槍 射 穿 你 。 
qstr_Lucky_for_you_you_ca|你 很 走 運 ， 剛 好 碰 到 我 今 天 心 情 特 別 好 。 交 出 你 所 有 的 錢 ， 我 就 讓 你 活 著 離 開 。 
qstr_This_a_robbery_eh?_I|先 生 ， 這 是 一 次 搶 劫 ， 明 白 不 ？ 我 給 你 個 機 會 交 出 你 所 有 的 東 西 。 我 兄 弟 們 的 的 刀 子 可 利 著 呢 ， 明 白 不 ？ 
qstr_we_have_made_very_li|到 目 前 為 止 ， 我 們 基 本 沒 有 什 麼 進 展 。 
qstr_we_have_suceeded_in_|我 們 成 功 占 領 了 一 些 土 地 ， 但 是 我 們 還 有 很 長 的 路 要 走 。 
qstr_we_have_become_a_sig|我 們 現 在 已 成 為 一 股 不 可 小 覷 的 勢 力 ， 也 許 我 們 能 贏 得 勝 利 。 
qstr_we_are_winning_the_w|我 們 正 在 贏 得 戰 爭 ， 但 我 們 的 敵 人 仍 在 頑 抗 。 
qstr_we_are_on_the_verge_|我 們 已 窺 見 了 勝 利 的 曙 光 。 敵 人 殘 部 已 不 足 為 患 ， 但 我 們 仍 須 將 其 趕 盡 殺 絕 。 
qstr_Yes_{s5}?|嗯 ， {s5}？ 
qstr__no_fiefs_|（ 無 封 地 ） 
qstr__fiefs:_{s0}_|（ 封 地 ： {s0}） 
qstr_{playername}_when_we|{playername}， 當 我 們 開 始 我 們 漫 長 的 征 程 時 ， 幾 乎 沒 有 人 有 勇 氣 支 持 我 。 有 少 數 人 為 了 我 的 事 業 甘 冒 性 命 之 險 。 但 是 你 對 於 投 身 去 對 付 我 的 敵 人 ， 沒 有 猶 豫 過 片 刻 。 我 們 在 一 起 經 歷 了 許 多 ， 並 且 有 幾 次 我 快 要 徹 底 喪 失 希 望 了 。 但 是 憑 借 著 神 明 的 幫 助 ， 我 們 勝 利 了 。 現 在 ， 該 是 我 離 開 你 的 隊 伍 去 取 得 屬 於 我 的 東 西 的 時 候 了 。 從 現 在 起 ， 我 會 實 現 統 治 {s3}的 偉 大 職 責 。 前 方 仍 然 有 許 多 挑 戰 並 且 我 指 望 著 你 會 幫 助 我 戰 勝 這 些 。 並 且 ， 當 然 ， 你 將 一 直 是 我 最 重 要 的 部 下 。 
qstr_I_am_{s4}_the_ruler_|我 是 {s4}， {s6}的 統 治 者 。 
qstr_I_am_{s4}_a_vassal_o|我 是 {s4}， {s6}的 一 個 封 臣 。 
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?而 且 是 {s8}的 領 主 。 : 。 }
qstr_Your_mission_is_comp|你 的 任 務 完 成 了 ， {s9}想 要 你 繼 續 跟 隨 他 的 軍 隊 直 到 有 進 一 步 的 通 知 。 
qstr_{s13}_asked_you_to_g|{s13}要 你 收 集 {reg3}頭 牛 ， 並 給 他 送 去 。 
qstr_{s9}_asked_you_to_sc|{s9}要 你 偵 察 {s13}， {s14}和 {s15}， 然 後 回 去 向 他 匯 報 。 
qstr_{s16}_and_{s17}|{s16}和 {s17}
qstr_{s16}_{s17}|{s16}， {s17}
qstr_Very_well_I_will_acc|很 好 ， 如 果 你 再 次 莊 嚴 地 向 我 宣 誓 ， 我 可 以 接 受 你 回 到 我 這 邊 來 。 
qstr_A_pardon_will_only_b|我 不 會 寬 恕 你 的 ， 除 非 你 把 {s17}割 讓 給 我 。 你 同 意 我 開 出 的 條 件 嗎 ？ 
qstr_No._There_is_no_chan|不 ， 我 們 之 間 沒 有 機 會 保 持 和 平 ， 我 對 這 個 不 感 興 趣 。 
qstr_We_are_not_at_war_wi|我 們 沒 有 與 任 何 人 交 戰 。 
qstr_We_are_at_war_with_{|我 們 正 在 與 {s12}交 戰 。 
qstr_{s9}_asked_you_to_ta|{s9}要 你 帶 一 個 口 信 給 {s13}。 在 你 接 受 這 個 任 務 的 時 候 ， {s13}確 信 在 {s4}。 
qstr_{s9}_asked_you_to_tak|{s9}要 你 帶 一 個 從 {s15}那 裡 得 到 口 信 給 {s13}。 在 你 接 受 這 個 任 務 的 時 候 ， {s13}確 信 在 {s4}。 
qstr_{s11}_asked_you_to_e|{s11}要 你 護 送 他 的 {s17}{s13}到 {s14}。 
qstr_{s13}_asked_you_to_d|{s13}要 你 消 滅 盤 踞 在 {s15}村 的 強 盜 ， 而 後 返 回 向 其 匯 報 。 
qstr_{s9}_asked_you_to_ra|{s9}要 求 幫 他 培 養 {reg1}名 {s14}， 並 給 他 送 去 。 
qstr_{s9}_asked_you_to_co|{s9}要 你 去 {s3}征 稅 。 他 許 諾 所 得 稅 款 的 五 分 之 一 歸 你 所 有 。 
qstr_{s9}_asked_you_to_hu|{s9}要 你 追 捕 一 個 名 為 {s4}的 逃 犯 ， 據 信 ， 他 現 藏 匿 於 {s3}。 
qstr_{s9}_asked_you_to_as|{s9}要 你 刺 殺 一 個 {s3}的 地 方 商 人 。 
qstr_{s9}_has_asked_you_t|{s9}要 你 到 {s13}見 一 個 間 諜 。 
qstr_{s9}_asked_you_to_ca|{s9}要 你 捕 獲 並 劫 掠 個 {reg13}商 隊 ， 來 挑 起 與 {s13}的 戰 爭 。 
qstr_{s9}_asked_you_to_cat|{s9}要 你 追 回 三 隊 逃 跑 的 農 奴 ， 並 將 其 活 著 帶 回 {s4}， 他 說 所 有 這 三 隊 都 是 逃 向 {s3}的 。 
qstr_{s11}_asked_you_to_f|{s11}要 你 尾 隨 將 要 離 開 {s12}的 密 探 。 你 必 須 小 心 ， 不 要 讓 密 探 在 路 上 看 見 你 ， 否 則 他 可 能 會 起 疑 並 折 回 去 。 當 密 探 和 他 的 同 謀 碰 頭 時 ， 你 得 捕 獲 他 們 並 把 他 們 帶 回 給 {s11}。 
qstr_{s11}_asked_you_to_c|{s11}要 你 捉 捕 一 位 {s13}的 貴 人 ， 任 何 貴 人 都 行 ， 並 且 之 後 你 要 押 送 你 的 受 害 人 回 到 {s11}那 裡 以 對 他 嚴 加 看 管 。 
qstr_{s9}_asked_you_to_le|{s9}要 你 把 你 的 同 伴 {s3}借 給 他 用 一 個 星 期 。 
qstr_{s9}_asked_you_to_col|{s9}要 你 討 回 {s3}欠 他 的 {reg4}泰 勒 。 在 你 接 受 此 任 務 時 ， {s3}在 {s4}。 
qstr_{s11}_gave_you_a_fak|{s11}交 給 你 一 封 偽 造 的 信 函 以 騙 {s13}流 放 他 手 下 的 貴 族 {s16}。 你 需 要 接 近 {s14}， 將 信 交 給 你 手 下 一 名 {s15}， 令 其 相 信 他 堅 信 自 己 所 受 命 令 的 真 實 性 ， 而 後 派 他 進 城 送 信 。 
qstr_{s9}_has_requested_y|{s9}要 你 幫 他 抓 捕 {reg1}個 {s3}俘 虜 。 
qstr_Lend_your_experience|把 你 的 老 練 的 外 科 醫 生 {s3}借 給 {s1}。 
qstr_Then_take_it_with_my|收 下 這 些 ， 這 些 代 表 我 永 恆 的 謝 意 。 你 是 一 個 高 尚 的 人 。 我 永 遠 都 不 會 忘 記 你 在 我 最 需 要 的 時 候 幫 助 了 我 。 
qstr_Forgive_me_{playerna|請 原 諒 ， {playername}， 但 我 堅 持 要 你 接 受 。 這 點 錢 對 我 不 算 什 麼 ， 我 欠 你 的 太 多 了 。 給 ， 拿 去 ， 我 們 不 要 再 說 這 個 了 。 
qstr_{playername}_what_a_|{playername}， 你 是 一 個 多 麼 可 愛 的 {人 /人 }， 但 是 我 不 允 許 你 拒 絕 這 個 ， 我 欠 你 的 比 我 說 的 還 多 ， 我 相 信 你 將 把 這 些 錢 比 我 用 在 更 好 的 方 面 。 
qstr_{s11}_asked_you_to_r|{s11}要 你 從 {s14}營 救 她 的 {s17}， {s13}。 你 得 跟 他 交 換 衣 服 並 代 替 他 呆 在 監 獄 裡 。 
qstr_{s11}_asked_you_to_d|{s11}要 你 送 信 給 被 囚 禁 在 {s14}的 {s13}。 
qstr_You_agreed_to_challe|你 同 意 與 {s13}決 斗 以 捍 衛 {s11}的 名 譽 。 
qstr_{s5}__Persuasion_str|{s5}（ 你 的 說 服 技 巧 為 你 省 下 了 {reg5}泰 勒 ） 
qstr_Persuasion_Attempt|嘗 試 說 服 
qstr_A_villager_from_{s7}|一 個 來 自 {s7}的 村 民 懇 求 你 將 他 們 從 盤 踞 在 那 的 強 盜 手 中 解 放 出 來 。 
qstr_You_chose_well_{sir/|選 我 們 就 對 了 ， {先 生 /夫 人 }。 我 的 伙 計 們 知 道 怎 麼 工 作 才 對 得 起 你 付 給 他 們 的 工 資 。 
qstr_Well_done_{sir/madam|好 的 ， {先 生 /夫 人 }。 繼 續 帶 給 我 們 金 錢 和 美 酒 ， 你 將 不 必 害 怕 遇 到 敵 人 。 
qstr_We_are_at_your_servi|願 為 您 效 勞 ， {先 生 /夫 人 }。 您 只 需 指 出 需 要 收 拾 的 家 伙 在 哪 ， 剩 下 就 交 給 我 們 把 吧 
qstr_You_will_not_be_diss|您 不 會 失 望 的 ， {閣 下 /女 士 }。 就 算 你 騎 馬 跑 上 五 百 裡 ， 你 也 找 不 到 比 這 些 更 好 的 勇 士 。 
qstr_The_Guildmaster_of_{|{s13}的 鎮 長 叫 你 對 付 騷 擾 附 近 鄉 間 的 掠 奪 者 。 
qstr_{s9}_of_{s3}_asked_y|{s3}的 {s9}請 你 在 7天 內 帶 {reg5}單 位 的 {s6}到 {s4}的 酒 館 。 
qstr_Escort_the_merchant_|護 送 商 人 的 商 隊 去 {s8}鎮 。 
qstr_Merchant_{s9}_of_{s4|{s4}的 {s9}要 你 消 滅 在 鎮 子 附 近 的 難 對 付 的 強 盜 。 
qstr_Guildmaster_of_{s4}_|{s4}的 鎮 長 給 你 {reg12}泰 勒 ， 作 為 女 孩 的 贖 金 。 你 要 在 {s3}附 近 和 強 盜 會 面 ， 贖 回 女 孩 並 帶 回 {s4}。 
qstr_Guildmaster_of_{s4}_p|{s4}的 鎮 長 答 應 你 ， 如 果 你 能 確 保 {s12}和 {s13}不 再 干 擾 {s15}和 {s14}簽 訂 和 平 協 議 ， 他 會 給 你 {reg12}泰 勒 。 為 了 做 到 這 個 ， 你 要 麼 說 服 他 們 ， 要 麼 俘 虜 他 們 並 保 持 到 和 平 協 議 簽 訂 完 成 。 
qstr_The_Guildmaster_of_{s|{s14}的 鎮 長 要 你 解 決 一 群 游 蕩 在 {s14}街 道 上 的 強 盜 。 他 們 只 在 晚 上 出 來 ， 並 且 襲 擊 街 上 單 身 的 旅 行 者 。 
qstr_Guildmaster_of_{s10}|{s10}的 鎮 長 要 你 把 一 群 牛 趕 到 {s13}去 。 你 將 會 掙 得 {reg8}泰 勒 的 報 酬 。 
qstr_He_is_not_commanding|他 現 在 什 麼 人 也 沒 有 指 揮 。 
qstr_He_currently_command|他 現 在 指 揮 了 {reg0}人 。 {reg1?其 中 {reg1}人 負 傷 。 :}
qstr_The_elder_of_the_vil|{s3}村 的 長 老 請 你 帶 給 他 們 {reg5}袋 小 麥 。 
qstr_The_elder_of_the_vill|{s13}村 的 長 老 請 你 訓 練 {reg5}個 農 民 來 抵 御 當 地 強 盜 。 
qstr_The_elder_of_the_villa|{s3}村 莊 長 老 請 你 帶 給 他 們 {reg5}頭 牛 。 
qstr_As_{s9}_said_it_woun|{s9}建 議 拜 訪 {s10}。 當 地 的 長 老 正 在 尋 找 勇 者 來 處 理 各 種 難 題 。 
qstr_OiM_The_elder_{s9}_a|長 老 請 求 你 對 付 盤 踞 在 扎 莫 什 耶 村 附 近 森 林 中 的 強 盜 。 
qstr_OiM_The_elder_{s9}_as|{s9}請 求 你 說 服 {s10}減 稅 。 
qstr_OiM_The_elder_{s9}_ask|{s9}請 求 你 帶 三 包 {s10}給 他 。 
qstr_OiM_The__De_la_Gardi|新 的 線 索 指 向 了 {s10}。 也 許 鎮 民 們 知 道 些 什 麼 … … 
qstr_OiM_getman_No_skazal|盡 管 你 未 能 成 功 完 成 任 務 ， 長 老 還 是 提 到 了 那 個 福 音 派 教 徒 在 {s4}。 
qstr_OiM_The__{s9}_asked_|{s9}請 求 你 將 {s10}送 到 謝 契 。 
qstr_OiM_nu_vot_so_shmato|由 於 嘴 巴 裡 有 一 塊 豬 油 ， 那 個 韃 靼 人 幾 乎 不 能 說 話 了 。 
qstr_OiM_Kozaki_zametii_4|哥 薩 克 人 已 經 發 現 了 你 的 背 叛 … … 
qstr_OiM_The_{s9}_asked_y|{s9}請 求 你 送 他 到 {s10}去 。 
qstr_OiM_Kozaki_zametili_|哥 薩 克 人 發 現 了 你 背 叛 了 他 們 … … 
qstr_OiM_teper_mozhno_dal|現 在 你 可 以 繼 續 你 的 旅 程 了 。 
qstr_OiM_Ischi_teper_yego|對 於 頭 人 ， 它 是 … … 
qstr_OiM_The_{s9}_need_to|{s9}說 你 必 須 給 {s10}帶 去 {reg0}個 或 {reg0}個 以 上 的 士 兵 。 
qstr_OiM_Ne_uspeli_s_cona|在 你 有 機 會 下 馬 之 前 ， 哥 薩 克 人 就 已 經 到 達 了 村 莊 … … 
qstr_OiM_Jaz_budet_jarko|似 乎 ， 此 戰 不 可 被 避 免 。 你 現 在 要 讓 你 自 己 看 看 ， 哥 薩 克 人 在 戰 斗 中 有 怎 樣 的 價 值 … … 
qstr_OiM_{s9}_asked_you_v|{s9}請 求 你 前 往 莫 斯 科 ， 把 貨 物 運 送 給 頓 河 哥 薩 克 人 。 
qstr_OiM_Potop_nuzhno_per|貨 物 已 被 收 到 。 現 在 你 應 該 把 它 帶 到 {s6}去 。 
qstr_OiM_{s9}_asked_you_t|{s9}命 令 你 截 擊 一 列 裝 滿 了 武 器 的 貨 車 隊 。 根 據 他 的 報 告 這 列 車 隊 已 從 {s10}駛 往 {s11}了 。 
qstr_OiM_{s9}_asked_you_to|{s9}請 求 你 帶 克 萊 蒙 去 見 國 王 。 
qstr_OiM_{s9}_asked_you_to_|如 果 你 帶 著 十 個 或 十 個 以 上 的 士 兵 的 話 ， {s9}就 會 跟 你 走 。 
qstr_OiM_{s9}_asked_you_to_b|{s9}叫 你 掠 奪 {s10}。 
qstr_OiM_{s9}_skazal_chto|{s9}說 他 會 為 了 你 而 去 和 酋 長 談 話 。 
qstr_OiM_{s9}_asked_to_br|{s9}請 求 你 帶 馬 匹 給 {s10}。 
qstr_As_{s9}_said_to_get_|{s9}請 求 你 從 {s10}收 錢 並 把 它 們 帶 給 赫 麥 利 尼 茨 基 。 
qstr_As_{s9}_give_you_a_r|{s9}給 了 你 一 封 給 {s10}的 推 薦 信 。 
qstr_OiM_{s9}_asked_to_lo|{s9}叫 你 掠 奪 三 座 波 蘭 共 和 國 的 村 莊 。 
qstr_OIM_add_{s9}_asked_y|{s9}建 議 找 到 扎 格 沃 巴 上 校 。 那 個 波 蘭 老 軍 官 很 可 能 正 在 波 蘭 人 的 某 個 地 方 的 某 家 酒 館 大 吃 大 喝 。 
qstr_OIM_add_{s9}_asked_yo|{s9}叫 你 帶 封 信 給 {s11}。 
qstr_OIM_add_{s9}_deliver|{s9}命 令 你 給 他 送 來 一 名 被 俘 的 瑞 典 士 兵 。 
qstr_OIM_add_You_were_ask|有 座 神 聖 的 波 蘭 修 道 院 正 處 於 危 險 中 ！ 揚 · 卡 西 米 爾 國 王 命 令 你 到 {s10}去 擊 退 那 些 正 在 襲 擊 那 個 勝 地 的 瑞 典 異 教 徒 。 
qstr_OIM_add_Wam_nuzhno_o|波 蘭 首 都 陷 入 了 瑞 典 人 的 手 中 。 你 必 須 不 計 任 何 代 價 地 將 {s10}奪 回 來 。 不 僅 是 你 自 己 的 命 運 關 系 於 此 ， 而 且 波 蘭 共 和 國 的 未 來 也 正 懸 而 未 決 。 
qstr_OIM_add_{s9}_asked_you|{s9}叫 你 抓 捕 一 名 瑞 典 軍 官 。 
qstr_OIM_add_{s9}_asked_you_|{s9}給 了 你 一 項 艱 難 的 任 務 。 你 得 保 證 波 蘭 共 和 國 和 克 裡 米 亞 汗 國 簽 訂 和 平 條 約 。 要 完 成 這 個 ， 你 必 須 停 止 對 揚 · 卡 西 米 爾 的 效 勞 ， 找 到 {s10}並 支 持 他 為 奪 取 統 治 權 而 斗 爭 。 作 為 回 報 ， 你 要 讓 他 答 應 ， 當 他 成 為 了 可 汗 後 ， 他 會 與 波 蘭 共 和 國 講 和 。 但 是 要 把 一 位 權 力 索 要 者 推 上 權 力 寶 座 並 不 是 輕 松 的 任 務 。 你 將 不 得 不 把 所 有 的 韃 靼 米 兒 咱 拉 到 你 這 一 邊 ， 並 且 俘 虜 所 有 的 持 異 議 者 。 你 還 將 不 得 不 奪 取 克 裡 米 亞 汗 國 的 所 有 城 鎮 與 堡 壘 。 
qstr_OIM_add_{s9}_asked_you_t|作 為 與 他 合 作 的 回 報 ， {s9}叫 你 征 服 兩 座 沙 皇 俄 國 的 城 市 。 
qstr_OiM_Potop_Pora_pogov|你 完 成 了 國 王 的 命 令 。 該 和 他 對 話 了 。 
qstr_OIM_add_As_{s9}_said|{s9}答 應 恢 復 你 對 他 的 侍 奉 ， 並 且 如 果 你 再 次 得 到 了 貴 族 們 的 支 持 的 話 ， 他 還 會 把 你 的 頭 銜 還 給 你 。 你 將 不 得 不 與 扎 格 沃 巴 上 校 對 話 ， 並 試 圖 將 至 少 一 半 的 貴 族 拉 到 你 這 一 邊 … … 在 進 行 下 議 院 的 會 議 時 ， 你 一 定 不 想 聽 見 有 任 何 人 高 叫 ： 「 我 反 對 ！ 」 
qstr_OiM_Potop_{s3}_prosi|{s3}吩 咐 你 帶 {s4}名 俘 虜 。 
qstr_OiM_Potop_Shveda_slo|搜 尋 一 名 瑞 典 俘 虜 。 
qstr_OiM_Potop_Borzobagat|你 獲 悉 到 波 佐 波 加 塔 婭 在 {s5}。 
qstr_{s4}_{s2}|{s4}， {s2}
qstr_{s5}_{s2}|{s5}， {s2}
qstr_OIM_add_Nu_polkiy_se|下 議 院 正 在 開 會 。 現 在 你 只 需 要 等 結 果 就 是 。 
qstr_OIM_add_Nu_vot_teper|現 在 {s7}想 要 你 奪 取 {s3}、 {s4}、 {s5}， 以 及 {s6}。 
qstr_OIM_add__{s2}_hochet|國 王 想 要 你 捉 住 {s3}。 
qstr_OIM_add__Teper_pora_|該 是 時 候 集 結 一 支 義 勇 軍 來 反 抗 國 王 以 最 終 將 一 位 值 得 的 人 推 上 王 座 了 。 作 為 開 始 ， 你 將 不 得 不 確 保 得 到 貴 族 們 的 支 持 … … 
qstr_OIM_add__Teper_kogda|揚 · 卡 西 米 爾 召 集 了 一 些 自 由 騎 士 到 他 的 國 土 上 。 一 定 要 阻 止 他 們 ， 連 一 座 波 蘭 共 和 國 的 孤 城 都 不 能 讓 他 們 掠 奪 。 
qstr_{s4}.|{s4}。 
qstr_OiMP2_str_qst_potop_|對 於 波 蘭 共 和 國 來 說 ， 這 是 危 險 的 時 期 。 敵 人 從 各 路 夾 攻 而 來 — — 瑞 典 人 、 俄 國 人 ， 還 有 哥 薩 克 人 … … 波 蘭 需 要 一 位 英 雄 來 阻 止 瑞 典 人 的 大 洪 水 般 的 猛 烈 進 攻 ， 並 讓 那 些 任 性 的 貴 族 們 重 新 考 慮 他 們 的 意 願 並 團 結 如 一 地 對 抗 敵 人 … … 
qstr_OIM_add_getman__{s4}|{s4}想 要 你 保 護 {s3}不 受 攻 擊 。 
qstr_OIM_add_getman__star|唉 ， 那 位 老 人 沒 能 把 所 有 東 西 都 告 訴 你 。 但 是 也 許 還 有 別 的 某 人 知 道 黑 杖 的 事 … … 
qstr_OiM_add_Nu_teper_por|你 找 到 了 一 條 線 索 。 也 許 德 · 克 萊 蒙 對 黑 杖 有 些 了 解 。 
qstr_OIM_add_getman__{s5}|克 萊 蒙 說 ， 他 在 {s5}聽 說 過 黑 杖 。 
qstr_OIM_add__chtobi_uzna|你 發 現 {s3}也 許 知 道 黑 杖 的 秘 密 。 你 不 得 不 開 始 對 {s4}造 反 來 幫 助 {s3}奪 取 統 治 權 。 
qstr_OIM_add__{s3}_prosil_|{s3}吩 咐 你 去 和 基 輔 鎮 長 談 話 。 
qstr_OIM_add_Kiev_{s3}_pr|你 必 須 回 到 基 輔 去 幫 助 {s3}。 
qstr_OIM_add__Net_zolota_|也 許 基 輔 鎮 長 知 道 一 些 事 。 不 過 沒 有 銀 幣 ， 一 個 人 幾 乎 無 法 期 待 收 集 到 信 息 。 
qstr_OIM_add__Nu_chto_zhe|哥 薩 克 人 是 對 的 ！ 拉 齊 維 烏 與 黑 杖 的 故 事 有 關 。 該 時 候 問 親 王 一 些 問 題 了 … … 
qstr_OIM_add__{s3}_hochet|{s3}一 個 問 題 也 沒 回 答 ， 而 是 要 求 你 帶 一 名 韃 靼 米 兒 咱 俘 虜 。 
qstr_OIM_add__pora_iskat_|你 找 到 了 一 封 由 那 位 米 兒 咱 寫 的 信 。 這 封 信 聲 稱 ， 聖 殿 騎 士 的 檔 案 中 包 含 有 關 於 黑 杖 的 信 息 。 去 {s20}查 查 那 些 檔 案 ， 這 將 是 聰 明 的 決 定 。 
qstr_OIM_add_Kyazya_Olgov|花 了 許 多 時 間 讀 檔 案 之 後 ， 你 發 現 ， 奧 列 格 家 族 的 親 王 們 與 黑 杖 的 故 事 直 接 有 關 。 
qstr_OIM_add__nuzhno_vitr|那 家 伙 並 非 是 一 個 會 輕 易 開 口 的 人 。 你 將 用 某 種 方 法 來 讓 他 說 話 。 
qstr_OIM_add_getman__Pora|另 一 條 線 索 ， 另 一 個 謎 — — 《 鴉 之 書 》 ！ 
