str_no_string|BRAK LINII!
str_rebellion_dilemma_2_goodnatured|{s46} zawsze traktował mnie godnie, a {s45} tego powiedzieć nie może. Trudno mi złamać dane słowo, lecz wspierać bezprawia też bym nie chciał.
str_rebellion_dilemma_2_upstanding|Myślę, że muszę zrobić to, co uważam za słuszne, aby w kraju nie wybuchła wojna domowa i nie stał się on łatwą zdobyczą dla wrogów.
str_rebellion_prior_argument_very_favorable|Znam przyczyny, dla których należy poprzeć waszego pretendenta do tronu, i ja się z nimi zgadzam.
str_rebellion_prior_argument_favorable|Znam przyczyny, dla których należy poprzeć waszego pretendenta do tronu, i ja się z nimi zgadzam.
str_rebellion_prior_argument_unfavorable|Znam przyczyny, dla których należy poprzeć waszego pretendenta do tronu, lecz nie są dla mnie przekonujące.
str_rebellion_prior_argument_very_unfavorable|Znam przyczyny, dla których należy poprzeć waszego pretendenta do tronu, lecz z większością z nich nie mogę się zgodzić.
str_rebellion_rival_default|[poddany]
str_rebellion_rival_martial|Twój sojusznik, {s44}, pewnego razu zwątpił w mój honor i odwagę. Nieczęsto mam możliwość zetrzeć się z nim w walce i zmusić, by pożałował swoich słów.
str_rebellion_rival_quarrelsome|Twój sojusznik, {s44}, Jest bardzo sprytny i nie wierzę mu ani na jotę.
str_rebellion_rival_pitiless|Wydaje się, że Cię wspiera, {s44}. To słaby człowiek, nie potrafi nawet zarządzać posiadłością. Ja także nim gardzę.
str_rebellion_rival_cunning|{s44}, z którym zjednoczyłeś siły, wyróżnia się uporem i kłótliwością. Do tego tonie w długach.
str_rebellion_rival_sadistic|{s44} jest twoim sojusznikiem, jednak nie chcę walczyć razem z tym, kto udaje pobożnego.
str_rebellion_rival_goodnatured|Nie chciałbym być po tej samej stronie co {s44} - o jego okrucieństwie głośno jest w całym kraju.
str_rebellion_rival_upstanding|Twój sojusznik, {s44}, to niebezpieczny, niegodny zaufania i pozbawiony zasad człowiek.
str_rebellion_argument_favorable|Twoje argumenty są bardzo logiczne
str_rebellion_argument_neutral|Twoje argumenty są dość przekonujące
str_rebellion_argument_unfavorable|Nie przekonują mnie Twoje argumenty
str_rebellion_persuasion_favorable| generalnie mówisz do rzeczy
str_rebellion_persuasion_neutral| rozumiem Twoje motywy
str_rebellion_persuasion_unfavorable| nie udaje Ci się mnie przekonać
str_rebellion_relation_very_favorable| czuję do Ciebie głęboki szacunek.
str_rebellion_relation_favorable| znam Cię osobiście i szanuję.
str_rebellion_relation_neutral| nie znam Cię tak dobrze.
str_rebellion_relation_unfavorable| nie wierzę Ci.
str_and_comma_3|A poza tym 
str_but_comma_3|Jednak 
str_and_comma_1| i 
str_but_comma_1|, ale 
str_and_comma_2|. Do tego,
str_but_comma_2|. Niemniej jednak, 
str_rebellion_agree_default|[poddany]
str_rebellion_agree_martial|Decyzja została podjęta. {s45} ma pełne prawa do tronu.
str_rebellion_agree_quarrelsome|Dobrze, decyzja została podjęta. {s46} nigdy mi się nie podobał. Odbierzmy mu tron.
str_rebellion_agree_pitiless|Niech będzie. Dołączę do Ciebie, lecz nie chciałbym żałować tej decyzji. Nie myśl, że robię to dla Ciebie.
str_rebellion_agree_cunning|To bardzo ryzykowna decyzja, lecz wydaje mi się, że warto się do was przyłączyć. Mam nadzieję, że będzie lepiej.
str_rebellion_agree_sadistic|Dobrze. Poprę {reg3?waszą kobietę:waszego mężczyznę}. Lecz musicie mi obiecać, że {reg3?ona:on} godnie mnie wynagrodzi!
str_rebellion_agree_goodnatured|Dobrze. Myślę, że {reg3?Twoja kandydatka:Twój kandydat} będzie rządzić godnie. Jestem z Tobą.
str_rebellion_agree_upstanding|Niech tak będzie. Moim najważniejszym zadaniem jest obowiązek wobec ojczyzny i aby uchronić ją przed bezprawiem, {s45} zostanie przeze mnie wsparty. Złamię przysięgę, którą ma u mnie {s46}. Niech mi niebiosa wybaczą, jeśli postępuję niewłaściwie!
str_rebellion_refuse_default|[poddany]
str_rebellion_refuse_martial|Muszę Cię rozczarować. Wierzę, że {s45} będzie rządzić godnie, lecz {s46} nie zasłużył na moją zdradę.
str_rebellion_refuse_quarrelsome|Moja odpowiedź brzmi ''nie''. {s45} i tak nie może tu rządzić, więc nie zamierzam przechodzić z jednej strony na drugą.
str_rebellion_refuse_pitiless|Nie. Nie poprę Twojego powstania. Twój gniew jest tylko gniewem dziecka, któremu odmówiono kupna kolejnej zabawki. {s46} włada tu zgodnie z prawem i czyni to sprawiedliwie!
str_rebellion_refuse_cunning|Wybacz, ale nie wierzę w Twoje zwycięstwo. Wielu zginie, a ja nie chcę być wśród nich. Zostanę przy swoim.
str_rebellion_refuse_sadistic|Nie, nie będę grał w tę grę. Ciągnie Cię do korony, jednak w efekcie głowa Twoja wyląduje na szafocie i {s46} wraz ze mną będzie patrzeć, jak kat ją odrąbuje.
str_rebellion_refuse_goodnatured|Wybacz, ale {s46} nie zasłużył na moją zdradę, Mam nadzieję, że nie pogniewasz się na mnie za odmowę.
str_rebellion_refuse_upstanding|Wybacz, ale nie wierzę, że {s45} będzie potrafił rządzić uczciwie i nie dopuści do buntu chłopstwa. Zostanę przy swoim i niech mi Bóg wybaczy, jeśli postępuję niewłaściwie.
str_talk_later_default|[poddany]
str_talk_later_martial|Nie czas na politykę! Przyszliśmy walczyć - Ty też lepiej się przygotuj.
str_talk_later_quarrelsome|Ze wszystkich stron okrążają nas wrogowie, a Ty chcesz rozmawiać o zdradzie? Za kogo Ty mnie masz?
str_talk_later_pitiless|Powściągnij język! Nie będę o tym dyskutował teraz, gdy jestem w sercu naszej armii!
str_talk_later_cunning|Teraz nie czas i miejsce na taką rozmowę. Uważam, że można porozmawiać o tym później, jeśli się uda... Na razie wciąż jesteśmy wrogami.
str_talk_later_sadistic|Zamknij gębę! Jak myślisz, co zrobią inni wasale, gdy zobaczą, że rozmawiamy o zdradzie?
str_talk_later_goodnatured|Chcesz porozmawiać o zdradzie? To nie jest najlepszy moment... Gdy nie będzie nas otaczać armia, wtedy Cię wysłucham.
str_talk_later_upstanding|Cokolwiek by było z tym prawem dziedziczenia, nie zamierzam teraz o tym dyskutować. Jeśli się kiedyś spotkamy i będziemy mogli porozmawiać w cztery oczy, wysłucham Cię. A na razie jesteśmy wrogami.
str_gossip_about_character_default|Powiadają, że {s6} nie ma żadnych interesujących cech charakteru.
str_gossip_about_character_martial|Powiadają, że {s6} niczego tak nie kocha, jak wojny.
str_gossip_about_character_quarrelsome|Powiadają, że {s6} o mało co nie pobił się z drugim panem, gdyż ten zażartował z jego nosa.
str_gossip_about_character_selfrighteous|Mówiono mi, że {s6} kazał stracić arystokratę za to, że ten upolował jelenia w jego lesie.
str_gossip_about_character_cunning|Powiadają, że {s6} cechuje się niewiarygodnym sprytem.
str_gossip_about_character_sadistic|Powiadają, że {s6} uwielbia torturować wrogów. Zdecydowanie nie mam ochoty się z nim spierać.
str_gossip_about_character_goodnatured|Powiadają, że {s6} to dobry człowiek i godnie traktuje tych, którzy mieszkają na jego ziemiach. Rzadko można usłyszeć coś takiego o władcy.
str_gossip_about_character_upstanding|Powiadają, że {s6} to bardzo dobry pan. Jest łaskawy dla swoich poddanych i nagradza ich za wierną służbę.
str_latest_rumor|Ostatnie pogłoski, w których pojawiał się {s6}, to:
str_swadian_rebellion_pretender_intro|Jestem wielkim księciem litewskim, Januszem Radziwiłłem.
str_vaegir_rebellion_pretender_intro|Jestem atamanem dońskim. Nazywają mnie Stiepanem Razinem.
str_khergit_rebellion_pretender_intro|Nazywam się Mehmet, z rodu krymskich Gerejów.
str_nord_rebellion_pretender_intro|Mam na imię Kristina. Jestem szóstą królową Szwecji, gotów i wenedów.
str_rhodok_rebellion_pretender_intro|Nazywam się Iwan Barabasz. Tak, jestem tym hetmanem, który od dawna uznany jest za poległego.
str_swadian_rebellion_pretender_story_1|My, Radziwiłłowie, jesteśmy takimi samymi potomkami wielkiego księcia litewskiego, Gedymina, jak rządzący w Rzeczpospolitej Jagiellonowie. Obecni królowie w porównaniu z nami są samozwańcami, nie mającymi żadnych praw do polskiej, czy litewskiej korony.
str_vaegir_rebellion_pretender_story_1|Nie raz organizowałem wyprawy przeciwko Tatarom, na prośbę cara moskiewskiego. Co z tego miałem? Mojego brata skazano na podstawie pomówienia, a mnie chcą nabić na pal.
str_khergit_rebellion_pretender_story_1|Jestem starszym synem chana Selameta. Do niedawna zgodnie z prawem zajmowałem pałac chana w Bakczysaraju, lecz najjaśniejszy sułtan Porty, któremu przysięgają wszyscy Gerejowie, uznał, że kiepsko wypełniałem swoje obowiązki i wziął na moje miejsce młodszego brata - Islama!
str_nord_rebellion_pretender_story_1|Jestem jedyną córką Karola II Gustawa i Marii Eleonory Brandenburskiej. Wszystkie stany Szwecji złożyły mi ślubowanie, gdy tylko skończyłam rok. Jako przyszła królowa, zdobyłam wyśmienite wykształcenie. Nauczyłam się siedmiu języków - niemieckiego, duńskiego, holenderskiego, włoskiego, hiszpańskiego, greki i łaciny, znam dzieła Ezopa, Justyna, Lawiusza, Cezara i Wergiliusza. Już w wieku dwunastu lat posiadałam sporą wiedzę z zakresu polityki i spraw wojskowości.
str_rhodok_rebellion_pretender_story_1|Jestem rodowitym Kozakiem. Byłem pułkowym esaułem, wybranym przez czerkaskiego pułkownika, a następnie hetmanem wojsk zaporoskich. Zawsze starałem się żyć pokojowo ze szlachtą polską, jednak kancelista wojskowy, Bohdan Chmielnicki, wyruszył na Sicz, podjudził zaporożców i wzniecił bunt. Kozacy rejestrowi, którzy pozostali pod moim dowództwem, pomagali wojskom korony w pacyfikacji buntowników, jednak przed bitwą nad Żółtymi Wodami Chmielowi udało się przeciągnąć na moją stronę całą starszyznę...
str_swadian_rebellion_pretender_story_2|Król naszej republiki wybierany jest przez senatorów. W tym właśnie całe nasze nieszczęście. Dopóki na tronie nie zasiądzie prawdziwy monarcha, który będzie nosił swój tytuł nie z woli kapryśnej szlachty, a prawem krwi, Rzeczpospolita nie będzie wielkim mocarstwem.
str_vaegir_rebellion_pretender_story_2|Car ruski w snach marzy o stłamszeniu swobód dońskich, jednak Kozacy nie dadzą się tak łatwo stłamsić. Kiedy tylko pojawi się prawny dziedzic tronu, natychmiast wzniecimy bunt. Biada Ci wtedy, Aleksieju Michajłowiczu!
str_khergit_rebellion_pretender_story_2|Odsunięcie mnie od władzy to potworna niesprawiedliwość. Islam-Gerej nie zna się na polityce i zamiast wspierać Rzeczpospolitą, znów dąży do zawarcia sojuszu z Kozakami. Tylko dzięki sojuszowi z polskim królem będziemy mogli powstrzymać rwącego się na południe moskiewskiego niedźwiedzia...
str_nord_rebellion_pretender_story_2|Gdy zasiadłam na tronie, postanowiłam, idąc za przykładem Elżbiety Angielskiej, pozostać dziewicą, a na swojego spadkobiercę wyznaczyłam mego kuzyna, Karola X Gustawa. Jednak perfidny Karol nie zadowolił się takim obrotem spraw i postanowił zostać królem, zanim moja dusza odejdzie do Boga.
str_rhodok_rebellion_pretender_story_2|W noc przed bitwą wtargnęli do namiotu hetmana. Wierni ludzie zdążyli mnie jednak ostrzec i udało mi się uratować - zaszlachtowane ciało mego sługi wzięli za moje. Chmielnicki, który kieruje się nie dobrem naszego narodu, a próżnością i chęcią zemsty, z pewnością przyniesie zgubę Ukrainie.
str_swadian_rebellion_pretender_story_3|Potrzebuję zdecydowanych ludzi, aby stanąć przeciwko uzurpatorowi i odbudować Wielką Litwę. Jako starosta Żmudzi, wojewoda wileński i wielki hetman litewski mam do tego pełne prawo.
str_vaegir_rebellion_pretender_story_3|Z ręką na sercu, dawno już wykrzyczałbym: ''Na sławu i szczastie!'', gdzie jednak znaleźć kogoś, kto mógłby pretendować do tronu carskiego?
str_khergit_rebellion_pretender_story_3|Szukam godnych zaufania stronników. Gdy krymscy murzowie opowiedzą się po mojej stronie, Sułtan nie będzie miał innego wyjścia i znów mianuje mnie chanem.
str_nord_rebellion_pretender_story_3|Mając poparcie wojska, groźbą zmusił mnie od rezygnacji z tronu. To wszystko po tym, gdy wygrałam wojnę trzydziestoletnią i obsypałam szlachtę wspaniałymi przywilejami! Jestem przekonana, że wystarczy zew, a Szwecja wróci pod moje władanie!
str_rhodok_rebellion_pretender_story_3|Ponownie zostając hetmanem, będę mógł dogadać się z Rzeczpospolitą i zapewnię Ukrainie rozwój w rodzinie bratnich narodów!
str_swadian_rebellion_monarch_response_1|Jeśli prowadzisz tajne negocjacje z Radziwiłłem, muszę Cię rozczarować. Ci protestanccy Żmudzini mają wysokie zdanie o swym rodzie, jednak nie są nikim więcej, jak tylko zuchwałymi litewskimi magnatami, z sakwą tak wypchaną, jak wielkie są ich ambicje.
str_vaegir_rebellion_monarch_response_1|Powiadają, że na doniecczyźnie zbuntował się jeden z kozackich atamanów. Jak go zwą? Stenka Riazin? Cóż, czekam na niego w moskiewskim pałacu z niecierpliwością. Rzecz jasna - w kajdanach.
str_khergit_rebellion_monarch_response_1|Widzę, że zdążyłeś już porozmawiać z tym nieudacznikiem Mehmetem? Tak, był chanem, jednak po tym, jak tchórzliwie oddał nasze ziemie kaukaskie carowi i przeszedł na stronę Kozaków, najjaśniejszy sułtan, niech żyje na wieki wieków, przywrócił ład i przekazał ciężar rządzenia mnie.
str_nord_rebellion_monarch_response_1|Krystyna zatęskniła za tronem? Zawsze była nieprzewidywalna. Najpierw o mało nie doprowadziła kraju do kompletnej ruiny, dwukrotnie zwiększając liczbę szlachty, rozdając koronne ziemie, cały skarbiec przeznaczyła na pałacowe rozrywki i swoich faworytów. A potem nagle przeszła na katolicyzm.
str_rhodok_rebellion_monarch_response_1|Iwan Barabasz dawno już sprzedał się przeklętym Lachom. Zostawszy hetmanem, aby przypodobać się polskiemu królowi, nałożył na Kozaków ogromnymi podatkami i brał udział w rozwoju unii katolickiej. Ten zdrajca uczyni wpędzi Ukrainę w polską niewolę.
str_swadian_rebellion_monarch_response_2|Prędzej nie posiadający konia wielkopolski szlachcic zostanie królem Rzeczypospolitej, niż któryś z tych wileńskich schizmatyków.
str_vaegir_rebellion_monarch_response_2|My, Romanowowie, jesteśmy prawnymi spadkobiercami Monomacha, a buntownicy, który chcą wystąpić przeciwko nam, powinni być powieszeni lub kołem łamani. Jeśli związałeś się z nim z głupoty lub niewiedzy, lepiej od razu powiedz o wszystkim jak na spowiedzi. Inaczej pożałujesz.
str_khergit_rebellion_monarch_response_2|Nie sądzę, żeby jego powrót ucieszył naszych murzów. Z całego serca radzę Ci zapomnieć o jego istnieniu. Jedyną osobą, która nie może się go doczekać w Bakczysaraju, jest mój nowy kat.
str_nord_rebellion_monarch_response_2|Niezależnie od tego, co teraz mówi - ustąpiła dobrowolnie. Jej rezygnacja na moją korzyść została oficjalnie przyjęta na Rikstagu, wyznaczone zostały przychody z Gotlandii, Elandu, Ezelu, Pomeranii i innych ziem. Szwecja jest krajem żołnierzy-protestantów i nie potrzebuje ona królowej-katoliczki, pozującej na Elżbietę Angielską.
str_rhodok_rebellion_monarch_response_2|Rada perejasławska postanowiła przykazać wszystkim Kozakom złożyć ślubowanie carowi moskiewskiemu. Tylko pod skrzydłami mocarstwa prawosławnego nasz naród zyska prawdziwą wolność. Możesz mi wierzyć - przyszłość ziem naszych wcale nie zależy od paktu z katolicką Polską. Tylko hetman pozbawiony rozumu stanie do walki z Rosją...
str_credits_1|Mount & Blade^''Ogniem i Mieczem - Dzikie Pola''^Twórcy gry:
str_credits_2|Studio ''SiCz'' (Kijów)^^Kierownik projektu:^Maxim Gorban^^Artyści:^Andrew Domrachev^Siergiej Shaterny^^Projektant gry:^Alex Fedorich^^Scenariusz:^Alexander Trubnikov
str_credits_3|Ponadto nad grą pracowali:^Akrit^Devlet Girej Khan^Niko^ABC^Rebalancer^Yeoman^Bestt^^Specjalne podziękowania dla:^Forum i całej społeczności ''SiCz'' (http://empiretv.ru),^Unicorn Games, a w szczególności Nikołaja Matichuka
str_credits_4|Snowberry Connection (Sztokholm)^^Producent wykonawczy:^Alexander Souslov
str_credits_8|Snowball Studios (Moskwa)^^Producent:^Michael Bryukhanov^Alexander Radkevich^^Redaktor naczelny:^Juliana Sorokina^^Okładka:^Ganbat Badamhand
str_credits_5|Artyści:^Katerina Ladatko^Aleksiej Chistov^^Projekt interfejsu:^Mikhail Kolbasnikov^^Poligrafia:^Mikhail Kolbasnikov
str_credits_6|Muzyka:^Вадим Ганкин^Peter Salnikov^Vadim Gankin^^Śpiew:^Svetlana Schegolkova^Tatiana Roslikova^Svetlana Amerikantseva-Schegolkova^^Reżyser dźwięku:^Evelina Novikova
str_credits_9|Inżynier dźwięku:^Michaił Matveev (RWS)^^Testerzy:^Alexander Radkevich^Victor Chashchin^Jegor Boty^Sergey Egorov^Dmitry Kiyatkin
str_credits_7|Specjalne podziękowania dla: Computer Club ''Playground'', Moskwa
str_credits_10|Siergiej Kiyatkin^Dmitry Klimontov^Stanislav Lobachev^Andrew Moshkov^Basil Panarin^Shishov Alexander
str_credits_11|Dyrektor techniczny studia:^Vitaliy Klimov
str_credits_12|TaleWorlds Entertainment (Ankara)^^Programowanie:^Armagan Yavuz^Dyem Chimenbicher
str_multi_scene_12|Losowe równiny (średnie)
str_multi_scene_13|Losowe równiny (wielkie)
str_multi_scene_14|Losowy step (średni)
str_multi_scene_15|Losowy step (wielki)
str_scn_mp_swed_zamok|Wyborg
str_scn_mp_nomad_camp|Obóz tatarski
str_scn_mp_mosk_kreml|Niegotowe
str_scn_mp_novgorod_fortress|Twierdza na wzgórzach
str_scn_mp_rus_fortress|Orzeszek
str_scn_mp_tevt_zamok|Niegotowe
str_scn_mp_mosk_monastyr|Zamek klasztorny
str_scn_mp_old_castle|Stary zamek
str_scn_mp_arena|Arena
str_scn_mp_marketplace|Rynek
str_scn_mp_swamp_delta|Delta rzeki
str_scn_mp_forest_camp|Obóz leśny
str_scn_mp_polya|Pola
str_scn_mp_hillroad|Pagórkowata droga
str_scn_mp_hutor|Chutor
str_scn_mp_river_village|Wioska nad rzeką
str_scn_mp_forest_edge|Skraj lasu
str_scn_mp_forest_road|Leśna droga
str_multi_scene_end|koniec scenerii gier dla wielu graczy
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Drużynowy deathmatch
str_multi_game_type_3|Bitwa
str_multi_game_type_5|Zdobądź flagę
str_multi_game_type_6|Podbój
str_multi_game_type_7|Oblężenie
str_multi_game_type_8|Pojedynek
str_multi_game_type_9|Kapitanowie - Druż. Deathmatch
str_multi_game_type_10|Kapitanowie - Kooperacja
str_multi_game_type_11|Kapitanowie
str_poll_kick_player_s1_by_s0|{s0} rozpoczyna głosowanie za wyrzuceniem gracza: {s1}.
str_poll_ban_player_s1_by_s0|{s0} rozpoczyna głosowanie za zbanowaniem gracza: {s1}.
str_poll_change_map_to_s1_by_s0|{s0} rozpoczyna głosowanie za zmianą mapy na: {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} rozpoczyna głosowanie za zmianą mapy na: {s1}, oraz frakcji na: {s2} i {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} rozpoczyna głosowanie za zmianą liczenia na: {reg0} i {reg1}.
str_poll_kick_player|Głosowanie za wyrzuceniem gracza: {s0}: 1 = za, 2 = przeciw
str_poll_ban_player|Głosowanie za zbanowaniem gracza {s0}: 1 = za, 2 = przeciw
str_poll_change_map|Głosowanie za zmianą mapy na {s0}: 1 = za, 2 = przeciw
str_poll_change_map_with_faction|Głosowanie za zmianą mapy na {s0} oraz frakcji na: {s1} kontra {s2}: 1 = za, 2 = przeciw
str_poll_change_number_of_bots|Głosowanie za zmianą botów na następujące: {reg0} za {s0} oraz: {reg1} za {s1}: 1 = za, 2 = przeciw
str_poll_time_left|(pozostały czas w sekundach: {reg0})
str_poll_result_yes|Większość poparła wniosek.
str_poll_result_no|Większość odrzuciła wniosek.
str_total_item_cost_reg0|Koszt: {reg0}
str_server_name|Nazwa serwera:
str_game_password|Hasło gry:
str_map|Mapa:
str_game_type|Typ gry:
str_max_number_of_players|Maksymalna liczba graczy:
str_number_of_bots_in_team_reg1|Ilość botów w drużynie {reg1}:
str_team_reg1_faction|Frakcja drużyny {reg1}:
str_enable_valve_anti_cheat|Włącz system Valve Anti-cheat (wymaga konta Steam)
str_allow_friendly_fire|Obr. 'friendly fire' w walce dystansowej
str_allow_melee_friendly_fire|Obr. 'friendly fire' w walce wręcz
str_friendly_fire_damage_self_ratio|Odbicie 'friendly fire' w siebie (%):
str_friendly_fire_damage_friend_ratio|Obr. 'friendly fire' w przyjaciół (%):
str_spectator_camera|Kamera obserwatora:
str_control_block_direction|Kontrola kierunku blokowania:
str_map_time_limit|Limit czasowy mapy (w minutach):
str_round_time_limit|Limit czasowy rundy (w sekundach):
str_players_take_control_of_a_bot_after_death|Przełącz na bota w chwili śmierci:
str_team_points_limit|Limit punktów drużyny:
str_point_gained_from_flags|Punkty drużyny za zdobycie flagi (%):
str_point_gained_from_capturing_flag|Punkty otrzymane za zdobycia flag:
str_respawn_period|Czas do odrodzenia (w sekundach):
str_add_to_official_game_servers_list|Dodaj do oficjalnej listy serwerów gry
str_combat_speed|Prędkość walki:
str_combat_speed_0|Najwolniejsza
str_combat_speed_1|Wolna
str_combat_speed_2|Średnia
str_combat_speed_3|Szybka
str_combat_speed_4|Najszybsza
str_defender_spawn_count_limit|Liczba odrodzeń obrońcy:
str_unlimited|Bez limitu
str_automatic|Automatycznie
str_by_mouse_movement|Zgodnie z ruchem myszy
str_free|Bez ograniczeń
str_stick_to_any_player|Zablokuj przy graczu
str_stick_to_team_members|Zablokuj przy członkach drużyny
str_stick_to_team_members_view|Zablokuj przy widoku członków drużyny
str_make_factions_voteable|Zezwól na głosowanie nad zmianą frakcji
str_make_kick_voteable|Zezwól na głosowanie nad wyrzucaniem graczy
str_make_ban_voteable|Zezwól na głosowanie nad banowaniem graczy
str_bots_upper_limit_for_votes|Ograniczenie botów w głosowaniach:
str_make_maps_voteable|Zezwól na głosowanie nad zmianą mapy
str_valid_vote_ratio|Próg akceptowalności głosowania (%):
str_auto_team_balance_limit|Próg auto-balansu drużyn (różn.):
str_welcome_message|Wiadomość powitalna:
str_initial_gold_multiplier|Początkowe złoto (%):
str_battle_earnings_multiplier|Wynagrodzenie za walkę (%):
str_round_earnings_multiplier|Wynagrodzenie za rundę (%):
str_allow_player_banners|Zezwól na indywidualne herby
str_force_default_armor|Wymuś podstawową zbroję
str_respawning_in_reg0_seconds|Odrodzenie za {reg0} sek...
str_no_more_respawns_remained_this_round|Koniec żyć na tę rundę
str_reg0_respawns_remained|(Pozostałe życia: {reg0})
str_this_is_your_last_respawn|(To Twoje ostatnie życie)
str_wait_next_round|(Zaczekaj na następną rundę)
str_yes_wo_dot|Tak
str_no_wo_dot|Nie
str_we_resign|Brak nam sił, by stanąć do walki. Poddajemy się, {playername}.
str_i_resign|Nie chcę dzisiaj umierać. Poddaję się.
str_s1_returned_flag|{s1} zwraca swoją flagę do bazy!
str_s1_auto_returned_flag|{s1} - flaga automatycznie powróciła do bazy!
str_s1_captured_flag|{s1} zdobywa flagę wroga!
str_s1_taken_flag|{s1} wykrada flagę wroga!
str_s1_neutralized_flag_reg0|{s1} ściąga do końca flagę nr {reg0}.
str_s1_captured_flag_reg0|{s1} zawiesza flagę nr {reg0}!
str_s1_pulling_flag_reg0|{s1} zaczyna ściągać flagę nr {reg0}.
str_s1_destroyed_catapult|{s1} niszczy katapultę!
str_s1_destroyed_trebuchet|{s1} niszczy trebusz!
str_s1_destroyed_all_targets|{s1} niszczy wszystkie cele!
str_s1_saved_1_target|{s1} ratuje jeden cel.
str_s1_saved_2_targets|{s1} ocala wszystkie cele.
str_s1_defended_castle|{s1} odpiera atak na zamek!
str_s1_captured_castle|{s1} zdobywa zamek!
str_auto_team_balance_in_20_seconds|Automatyczne wyrównywanie za 20 sekund.
str_auto_team_balance_next_round|Automatyczne wyrównywanie w następnej rundzie.
str_auto_team_balance_done|Drużyny automatycznie zbalansowano.
str_s1_won_round|{s1} wygrywa rundę!
str_round_draw|Czas się skończył. Remis.
str_round_draw_no_one_remained|Nie pozostał ani jeden gracz. Remis.
str_death_mode_started|Szybko! Zdominuj pole bitwy!
str_reset_to_default|Domyślne
str_done|Gotowe
str_player_name|Imię gracza
str_kills|Zab.
str_deaths|Zgony
str_ping|Ping
str_dead|Nie żyje
str_reg0_dead|{reg0} nie żyje
str_bots_reg0_agents|Boty (agenci: {reg0})
str_bot_1_agent|Bot (1 agent)
str_score|Wynik
str_score_reg0|Wynik: {reg0}
str_flags_reg0|(Flagi: {reg0})
str_reg0_players|(Gracze: {reg0})
str_reg0_player|(Gracz: {reg0})
str_open_gate|Otwórz bramę
str_close_gate|Zamknij bramę
str_open_door|Otwórz drzwi
str_close_door|Zamknij drzwi
str_raise_ladder|Podnieś drabinę
str_drop_ladder|Opuść drabinę
str_back|Wstecz
str_start_map|Rozpocznij
str_choose_an_option|Wybierz opcję:
str_choose_a_poll_type|Wybierz typ głosowania:
str_choose_faction|Wybierz frakcję
str_choose_a_faction|Wybierz frakcję:
str_choose_troop|Wybierz jednostkę
str_choose_a_troop|Wybierz typ jednostki:
str_choose_items|Wybierz uzbrojenie
str_options|Opcje
str_redefine_keys|Zmień ustawienia klawiszy
str_submit_a_poll|Zgłoś głosowanie
str_administrator_panel|Panel administratora
str_kick_player|Wyrzuć gracza
str_ban_player|Zbanuj gracza
str_mute_player|Wycisz gracza
str_unmute_player|Przywróć graczowi głos
str_quit|Wyjdź
str_poll_for_changing_the_map|Zmień mapę
str_poll_for_changing_the_map_and_factions|Zmień mapę i frakcje
str_poll_for_changing_number_of_bots|Zmień ilość botów w drużynach
str_poll_for_kicking_a_player|Wyrzuć gracza
str_poll_for_banning_a_player|Zbanuj gracza
str_choose_a_player|Wybierz gracza:
str_choose_a_map|Wybierz mapę:
str_choose_a_faction_for_team_reg0|Wybierz frakcję dla drużyny: {reg0}
str_choose_number_of_bots_for_team_reg0|Wybierz liczbę botów dla drużyny: {reg0}
str_spectator|Obserwator
str_spectators|Obserwatorzy
str_command|Dowodzenie:
str_profile_banner_selection_text|Wybierz sztandar dla swojego profilu:
str_use_default_banner|Skorzystaj ze sztandaru frakcji
str_party_morale_is_low|Morale niektórych żołnierzy niepokojąco spadło!
str_weekly_report|Raport
str_has_deserted_the_party|opuszcza drużynę.
str_have_deserted_the_party|opuszczają drużynę.
str_space| 
str_us_|My
str_allies_|Soj.
str_enemies_|Wróg
str_routed|Rozgromieni
str_maximum_seconds_for_round_is_reg0|Maksymalna liczba sekund na rundę: {reg0}
str_respawn_period_is_reg0_seconds|Czas do odrodzenia wynosi: {reg0} (w sek.)
str_bots_upper_limit_for_votes_is_reg0|Górna granica ilości botów w głosowaniu: {reg0}.
str_map_is_voteable|Nad mapą można głosować.
str_map_is_not_voteable|Nad mapą nie można głosować.
str_factions_are_voteable|Nad frakcjami można głosować.
str_factions_are_not_voteable|Nad frakcją nie można głosować.
str_players_respawn_as_bot|Gracze odradzają się jako boty.
str_players_do_not_respawn_as_bot|Gracze nie odradzają się jako boty.
str_kicking_a_player_is_voteable|Nad wyrzuceniem gracza można głosować.
str_kicking_a_player_is_not_voteable|Nad wyrzuceniem gracza nie można głosować.
str_banning_a_player_is_voteable|Nad banowaniem gracza można głosować.
str_banning_a_player_is_not_voteable|Nad banowaniem gracza nie można głosować.
str_player_banners_are_allowed|Można banować graczy.
str_player_banners_are_not_allowed|Nie można banować graczy.
str_default_armor_is_forced|Wymuszona zbroja podstawowa.
str_default_armor_is_not_forced|Nie wymusza zbroi podstawowej.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Procent poparcia, by propozycja przeszła pod głosowaniem: {reg0}%
str_auto_team_balance_threshold_is_reg0|Próg auto-wyrównywania drużyn: {reg0}.
