str_no_string|AUCUNE CHAÎNE !
str_battle_won_grudging_upstanding|Peut-être avais-je tort à votre sujet. Vous êtes arrivé au bon moment et vous avez gratitude.
str_battle_won_unfriendly_default|Alors vous voilà. Bah, mieux vaut tard que jamais, je suppose.
str_battle_won_unfriendly_martial|Nous avons certes échangé des mots très durs par le passé, mais pour l'instant, laissons-nous aller à l'euphorie de la victoire.
str_battle_won_unfriendly_quarrelsome|Si vous attendez un remerciement, vous allez attendre longtemps. Votre aide n'était pas nécessaire, mais je suppose que vous n'aviez rien de mieux à faire, pas vrai ?
str_battle_won_unfriendly_pitiless|Vous arrivez ici comme un chacal sur la proie d'un lion. Très bien, allez-y, prenez le butin, je ne vous arrêterai pas.
str_battle_won_unfriendly_cunning|{playername}... Bien. Je suppose que votre venue n'était pas un mal, mais je n'irai pas jusqu'à dire que je suis content de vous voir.
str_battle_won_unfriendly_sadistic|Arrière, charogne ! C'est ma victoire et vous ne m'en arracherez la gloire par aucun moyen.
str_battle_won_unfriendly_goodnatured|Oh, c'est vous. Bien, je suppose que je devrais vous remercier de m'avoir aidé.
str_battle_won_unfriendly_upstanding|Merci d'être venu à mon secours. Je vais prendre congés maintenant, avant de dire quelque chose que je regretterais.
str_troop_train_request_default|J'ai besoin de quelqu'un pour les remettre en forme.
str_troop_train_request_martial|Ils ont besoin de quelqu'un pour leur apprendre le sens du mot "bravoure".
str_troop_train_request_quarrelsome|Ils me donnent envie de vomir, ces gros salopards de fainéants.
str_troop_train_request_pitiless|Ils ont plus peur de l'ennemi qu'ils n'ont peur de moi. Cela ne peut plus durer.
str_troop_train_request_cunning|Mais les hommes, comme les épées, se forgent et s'endurcissent par le feu.
str_troop_train_request_sadistic|Ils ont besoin de quelqu'un d'assez fort mentalement pour leur inculquer un peu de courage, quitte à ce qu'ils en meurent.
str_troop_train_request_goodnatured|Ils ne sont pas mauvais, ces gars, mais j'ai bien peur que ce soit un peu tôt pour se jeter dans une bataille avec eux.
str_troop_train_request_upstanding|En l'état actuel, les mener au combat équivaudrait à les assassiner purement et simplement.
str_unprovoked_attack_default|Quoi ? Pour quelle raison nous attaquez-vous ? Parlez, maraud !
str_unprovoked_attack_martial|Je ne m'oppose pas à une épreuve par les armes, mais par contre, je vous demanderais bien la raison pour laquelle vous nous attaquez.
str_unprovoked_attack_quarrelsome|Vous commettez une grosse erreur, {mon garçon/ma chère}. Mais à quoi donc pensez-vous ?
str_unprovoked_attack_pitiless|Ah bon ? Si vous désirez si ardemment mourir aujourd'hui, je serai plus qu'heureux de vous rendre ce service, mais je suis curieux de connaître les espoirs que vous nourrissez en faisant cela.
str_unprovoked_attack_cunning|Vraiment ? Je pense que vous manquez de discernement. Qu'espérez-vous gagner en faisant cela ?
str_unprovoked_attack_sadistic|Qu'est-ce donc cela ? Vous aimeriez que je vous arrache les yeux de vos orbites ?
str_unprovoked_attack_goodnatured|Pourquoi faites-vous cela ? Nous ne sommes pas en mauvais termes que je sache, {Monsieur/madame}.
str_unprovoked_attack_upstanding|Je prendrai les mesures nécessaires contre cette agression délibérée ! Mais, dites-moi... Pourquoi faites-vous cela ?
str_unnecessary_attack_default|Je n'hésiterai à vous réduire en miettes si vous insistez, mais je vais vous offrir une chance de vous enfuir.
str_unnecessary_attack_martial|Bien que j'ai vraiment hâte de relever le défi que vous me lancez, je vais tout de même vous laisser une minute pour y réfléchir, {Monsieur/madame}.
str_unnecessary_attack_quarrelsome|Bah ! Je ne suis pas d'humeur pour ce genre d'absurdité. Hors de mon chemin.
str_unnecessary_attack_pitiless|Je suis d'humeur charitable aujourd'hui alors je vais faire comme si je n'avais rien entendu.
str_unnecessary_attack_cunning|Je ne vois pas ce que vous auriez à gagner en m'ayant comme ennemi. Peut-être devriez-vous simplement partir ?
str_unnecessary_attack_sadistic|Je n'ai pas de temps à perdre avec la vermine de votre espèce. Hors de mon chemin.
str_unnecessary_attack_goodnatured|Je ne comprends pas ce que vous gagnez à provoquer un conflit, {Monsieur/madame}. Il est toujours temps de partir.
str_unnecessary_attack_upstanding|Si c'est la guerre que vous voulez, vous allez l'avoir {Monsieur/madame}. Mais je vous laisse une chance de reculer.
str_lord_challenged_default|Comme vous voudrez. Préparez-vous à mourir !
str_lord_challenged_martial|Qu'il en soit ainsi. En garde !
str_lord_challenged_quarrelsome|Maudit chien galeux ! Je vais vous écraser !
str_lord_challenged_pitiless|Si vous êtes si désireux de rendre l'âme, je n'ai d'autre choix que d'accéder à votre requête.
str_lord_challenged_cunning|Bien, puisque vous ne me laissez pas le choix...
str_lord_challenged_sadistic|Tas de fumier ! Je vais vous faire regretter d'avoir vu le jour.
str_lord_challenged_goodnatured|Très bien, j'avais espéré que nous pourrions éviter d'en arriver là, mais vous ne me laissez pas le choix.
str_lord_challenged_upstanding|Qu'il en soit ainsi. Cela m'attriste de n'avoir pu vous faire entendre raison.
str_lord_mission_failed_default|Eh bien, je suis déçu, mais je suis certain que vous aurez de nombreuses occasions de racheter vos fautes.
str_lord_mission_failed_martial|Il est déshonorant d'échouer à sa mission, mais j'accepterai votre parole que cela ne se reproduira plus.
str_lord_mission_failed_quarrelsome|Vous avez échoué ? Bah. Je n'en attendais pas moins de quelqu'un comme vous.
str_lord_mission_failed_pitiless|Vous avez échoué ? Vous me décevez... et cela est malavisé de votre part.
str_lord_mission_failed_cunning|Quelle déception... Malheureusement, personne ne peut prédire avec certitude dans quel sens les vents de la chance souffleront.
str_lord_mission_failed_sadistic|Vraiment ? Sachez que ceux qui faillissent ne vivent pas toujours assez longtemps pour le regretter.
str_lord_mission_failed_goodnatured|Oh ce n'est pas bien grave. Cela avait peu de chances de réussir de toute manière. Merci d'avoir essayé.
str_lord_mission_failed_upstanding|Que faire de plus ? Je suis persuadé que vous avez fait de votre mieux.
str_lord_follow_refusal_default|Vous suivre ? Vous oubliez votre rang, {Monsieur/madame}.
str_lord_follow_refusal_martial|Le jour où vous m'aurez prouvé que vous êtes un guerrier vaillant et honorable, peut-être que je vous suivrai. Mais ce n'est pas aujourd'hui.
str_lord_follow_refusal_quarrelsome|Suivre quelqu'un comme vous ? Je ne crois pas, non.
str_lord_follow_refusal_pitiless|Les nobles de mon rang ne s'abaissent pas à suivre les gens comme vous, {Monsieur/madame}.
str_lord_follow_refusal_cunning|D'abord, prouvez-moi que vous n'êtes pas le genre {d'homme/de femme} à me conduire à ma perte et ensuite je songerai peut-être à vous suivre.
str_lord_follow_refusal_sadistic|Je ne pense pas ! Mais à la place, je vous propose de me suivre, comme un petit chien obéissant suit son maître.
str_lord_follow_refusal_goodnatured|Hum... Je suis un peu trop pris par certaines tâches dans l'immédiat. Mais peut-être un jour prochain.
str_lord_follow_refusal_upstanding|Montrez-moi d'abord que vous êtes digne de commander, alors peut-être vous suivrai-je.
str_lord_insult_default|cette crapule
str_lord_insult_martial|sale laquais déshonorant
str_lord_insult_quarrelsome|mange-merde
str_lord_insult_pitiless|vermine de bas étage
str_lord_insult_cunning|crétin d'inconscient
str_lord_insult_sadistic|misérable pleurnichard
str_lord_insult_goodnatured|sale type
str_lord_insult_upstanding|fripouille sans honneur
str_rebellion_dilemma_default|[sujet]
str_rebellion_dilemma_martial|{s45} a visiblement été calomnié. Bien que j'aie prêté serment à {s46}, je n'ai aucune obligation envers lui s'il a usurpé la couronne par des moyens illégaux.
str_rebellion_dilemma_quarrelsome|Hmm... {s46} ne m'a jamais donné tout ce que je méritais, alors je ne pense pas lui devoir grand-chose. Cependant, {s45} ne sera peut-être pas mieux et au moins, {s46} s'est affiché aux yeux de tous.
str_rebellion_dilemma_pitiless|Hmm... {s45} affirme que le trône lui revient de droit. C'est une bonne chose, car de cette manière, je me libère de mon serment envers {s46}. Toutefois, il faut que je pèse le pour et le contre avec minutie.
str_rebellion_dilemma_cunning|Hmm... J'ai prêté serment d'hommage à {s46}, mais il faut savoir que les puissants qui ont prêté serment n'ont pas les mêmes obligations que les gens ordinaires. Notre devoir est d'utiliser nos propres compétences pour régner, imposer l'ordre et éviter une guerre qui engagerait tout le territoire.
str_rebellion_dilemma_sadistic|Hmm... Dans ce monde injuste, le sage pense d'abord à lui-même, car personne d'autre ne le fera pour lui. Alors, qu'est-ce que j'y gagne ?
str_rebellion_dilemma_goodnatured|Je ne sais que dire. J'ai prêté serment à {s46} en tant que souverain légitime, mais s'il ne l'est pas, je ne sais pas si je lui suis toujours lié par serment.
str_rebellion_dilemma_upstanding|Voilà qui est gênant. Renier le serment que j'ai prêté à {s46} est chose grave, car les engagements qui empêchent notre pays de sombrer dans l'anarchie ne sont plus. Par ailleurs, je me suis engagé à soutenir la légitimité de la succession et {s45} est à ce titre un prétendant possible au trône.
str_rebellion_dilemma_2_default|[sujet]
str_rebellion_dilemma_2_martial|D'un autre côté, {s46} nous a guidé aussi bien en temps de guerre qu'en temps de paix alors l'idée de renoncer à mon allégeance me répugne.
str_rebellion_dilemma_2_quarrelsome|Alors, dites-moi, pourquoi devrais-je tourner le dos à un fils de chien que je connais, en faveur d'{reg3?une femme:un autre fils de chien} que je ne connais pas ?
str_rebellion_dilemma_2_pitiless|Je me trouve dans une position bien inconfortable... Voilà qu'on me demande qui je choisirais comme {reg3?régent:roi} de ces terres. Enfin, c'est aussi le moment idéal pour empocher les récompenses qui m'ont toujours été dues !
str_rebellion_dilemma_2_cunning|{s46} est contesté et c'est pour cette raison qu'il ne sera jamais capable de régner d'une main aussi ferme que quelqu'un dont la revendication au trône n'a jamais été remise en question. Toutefois, si {s45} monte sur le trône de force, {reg3?elle:il} n'aura pas autant de poids que quelqu'un qui y est arrivé de manière pacifique.
str_rebellion_dilemma_2_sadistic|Peut-être que si je rejoins {s45} pendant qu'{reg3?elle:il} est encore faible, alors {reg3?elle:il} me rendra riche ! D'un autre côté, peut-être que si je ramène votre tête à {s46}, ma récompense sera d'autant plus grande.
str_rebellion_dilemma_2_goodnatured|{s46} m'a toujours traité avec égard, toutefois il est vrai qu'il a causé du tort à {s45}. J'hésite à renoncer à mon serment d'hommage envers {s46}, mais je ne pense pas qu'il faille soutenir l'injustice...
str_rebellion_dilemma_2_upstanding|J'ai le sentiment de devoir faire tout ce qui est en mon pouvoir pour le royaume... comme l'empêcher d'être mis à feu et à sang par une guerre civile et d'être dévasté par ses ennemis...
str_rebellion_prior_argument_very_favorable|J'ai pu entendre certains de vos arguments visant à soutenir votre prétendant au trône et je tends à les approuver.
str_rebellion_prior_argument_favorable|J'ai pu entendre certains de vos arguments visant à soutenir votre prétendant au trône et je tends à les approuver.
str_rebellion_prior_argument_unfavorable|J'ai pu entendre certains de vos arguments visant à soutenir votre prétendant au trône, mais je ne les trouve pas convaincants.
str_rebellion_prior_argument_very_unfavorable|J'ai pu entendre certains de vos arguments visant à soutenir votre prétendant au trône, mais je désapprouve la plupart d'entre eux.
str_rebellion_rival_default|[sujet]
str_rebellion_rival_martial|Votre allié {s44} a déjà remis en question mon honneur et ma bravoure une fois. J'ai hâte de l'affronter dans une bataille pour lui faire ravaler ses paroles.
str_rebellion_rival_quarrelsome|Vous collaborez avec {s44}. C'est une petite fouine et je ne lui accorde pas la moindre confiance.
str_rebellion_rival_pitiless|Vous semblez avoir acquis {s44} à votre cause. Mais il est ramolli et faible, pas même apte à régner sur un fief. Je l'ai toujours détesté.
str_rebellion_rival_cunning|{s44}, qui vous a déjà rejoint, est une tête de mule belliqueuse à qui on ne peut pas se fier.
str_rebellion_rival_sadistic|Je ne souhaite pas me battre aux côtés de votre allié, {s44}. Sa manière d'afficher sa vertu m'écœure.
str_rebellion_rival_goodnatured|Je suis réticent à l'idée de me battre dans le même camp que {s44}, dont la réputation n'est plus à faire en matière de cruauté.
str_rebellion_rival_upstanding|Votre allié {s44} est, selon moi, un homme dangereux, peu fiable et sans aucun principe.
str_rebellion_argument_favorable|je respecte votre argumentaire
str_rebellion_argument_neutral|je trouve votre argumentaire assez convaincant
str_rebellion_argument_unfavorable|je ne trouve pas que votre argumentaire soit convaincant
str_rebellion_persuasion_favorable|ce que vous dites est sensé
str_rebellion_persuasion_neutral|vos raisons sont claires
str_rebellion_persuasion_unfavorable|votre plaidoyer n'est pas convaincant
str_rebellion_relation_very_favorable|personnellement, j'ai le plus grand respect à votre égard.
str_rebellion_relation_favorable|je vous connais personnellement et je vous respecte.
str_rebellion_relation_neutral|je ne vous connais pas aussi bien que je le voudrais.
str_rebellion_relation_unfavorable|je ne vous fais pas confiance.
str_and_comma_3|En outre, 
str_but_comma_3|Cependant,
str_and_comma_1|, et 
str_but_comma_1|, mais 
str_and_comma_2|. De plus, 
str_but_comma_2|. Je pense,
str_rebellion_agree_default|[sujet]
str_rebellion_agree_martial|J'ai pris ma décision. Je soutiendrai {s45} en tant qu'héritier légitime.
str_rebellion_agree_quarrelsome|Ah, ce que vous dites est sensé. Je n'ai jamais vraiment aimé {s46}, de toute manière. Un homme plus digne devrait être assis sur le trône.
str_rebellion_agree_pitiless|Non. Je ne participerai pas à votre rébellion. Je la perçois comme un caprice d'enfant à qui on aurait retiré son jouet. Je resterai fidèle à {s46}, dont la capacité à régner a été prouvée maintes fois.
str_rebellion_agree_cunning|C'est un plan très dangereux... Mais après réflexion, j'ai décidé de me joindre à vous. Espérons que nous ne commettons pas une terrible erreur.
str_rebellion_agree_sadistic|Très bien... Je soutiendrai votre {reg3?femme:homme}, {s45}. Mais vous feriez bien de vous assurer qu'{reg3?elle:il} me récompensera bien !
str_rebellion_agree_goodnatured|Je suis désolé, mais je ne pense pas qu'il soit juste de tourner le dos à {s46}. Cependant, je ne vous témoignerai aucune rancœur lorsque nous nous rencontrons sur le champ de bataille.
str_rebellion_agree_upstanding|Je suis désolé, mais les revendications de {s45} sont trop discutables pour que je me permette d'accabler les pauvres bougres de ce pays par l'infamie que représente le désordre civil. Je continuerai donc à soutenir {s46}. Puissent les cieux me pardonner si j'ai fait le mauvais choix.
str_rebellion_refuse_default|[sujet]
str_rebellion_refuse_martial|Je suis désolé. {s45} est un bon prétendant au trône, mais cela ne suffit pas à me faire tourner le dos à {s46}. Je resterai loyal envers mon suzerain.
str_rebellion_refuse_quarrelsome|Non. {s45}, cette petite frappe, n'est pas à la hauteur pour régner sur ce royaume. Je reste fidèle à {s46}.
str_rebellion_refuse_pitiless|Non, je ne soutiendrai pas votre rébellion. Vous n'êtes qu'un enfant enragé qui veut un nouveau jouet. {s46} est le souverain légitime et c'est quelqu'un de juste.
str_rebellion_refuse_cunning|Pardonnez-moi, mais je ne pense pas que vous ayez la moindre chance. Beaucoup mourront et je ne souhaite pas être parmi eux. J'ai bien peur que nos chemins se séparent ici.
str_rebellion_refuse_sadistic|Non, je ne joue pas à cela. Vous voulez la couronne, mais tout ce que vous aurez, c'est la potence. {s46} et moi vous regarderons vous balancer.
str_rebellion_refuse_goodnatured|Pardonnez-moi, mais {s46} ne mérite pas que je le trahisse. Ne m'en voulez pas.
str_rebellion_refuse_upstanding|Pardonnez-moi, mais je ne pense pas que {s45} puisse être un bon souverain et je ne soutiendrai pas d'insurrection. Je préfère ne pas me joindre à vous, que Dieu me pardonne si j'ai tort.
str_talk_later_default|[sujet]
str_talk_later_martial|Ce n'est pas le moment de parler politique ! Aujourd'hui je suis entouré de seigneurs, armés pour le combat. Vous feriez mieux de vous y préparer aussi.
str_talk_later_quarrelsome|Est-ce que vous espérez que je trahisse mon suzerain pour vous, alors que nous sommes encerclés par son armée ? Mais pour qui me prenez-vous au juste, un crétin fini ?
str_talk_later_pitiless|Tenez votre langue ! Quel que soit mon avis à ce sujet, je préfère taire mes mots... Nous sommes quand même au beau milieu d'une armée !
str_talk_later_cunning|Le moment et le lieu sont plutôt mal choisis pour entreprendre une telle discussion. Peut-être pourrions-nous en reparler plus tard dans d'autres circonstances, mais pour le moment, nous sommes toujours ennemis.
str_talk_later_sadistic|Vous devriez fermer ce qui vous sert de bouche ! Est-ce que vous imaginez seulement ce qui se passerait si d'autres nobles venaient à nous surprendre en train de comploter ?
str_talk_later_goodnatured|Alors, comme ça, vous souhaitez discuter de votre rébellion ? Revenez me voir lorsque nous ne serons plus cernés par l'armée de mon suzerain. J'écouterai alors ce que vous avez à dire.
str_talk_later_upstanding|Peu importe ce que je pense de la légitimité de la succession. Je ne puis en discuter ici et maintenant. Si nous nous revoyons pour un entretien privé, j'écouterai ce que vous avez à dire à ce sujet, mais pour le moment, considérez-moi comme votre ennemi.
str_gossip_about_character_default|On raconte que {s6} ne possède aucun trait de caractère intéressant.
str_gossip_about_character_martial|On raconte que {s6} n'aime rien à part faire la guerre.
str_gossip_about_character_quarrelsome|On raconte que {s6} en est presque venu aux mains avec un autre noble récemment, parce que celui-ci avait fait une plaisanterie sur son nez.
str_gossip_about_character_selfrighteous|J'ai entendu dire que {s6} avait fait exécuter un damoiseau parce qu'il avait eu le malheur de tuer un cerf dans sa forêt.
str_gossip_about_character_cunning|On entend souvent que {s6} est un adversaire rusé.
str_gossip_about_character_sadistic|Le bruit court que {s6} aime torturer ses ennemis. Je ne voudrais pas avoir affaire à lui dans l'un de ses mauvais jours.
str_gossip_about_character_goodnatured|On dit de {s6} qu'il est un homme bon et qu'il traite ses sujets avec égard. La plupart des nobles ne peuvent pas en dire autant.
str_gossip_about_character_upstanding|Les gens racontent qu'il est agréable d'être au service de {s6}. Il est bon envers ses partisans et il les récompense s'ils travaillent bien.
str_latest_rumor|La dernière rumeur que vous avez entendue à propos de {s6} était :
str_swadian_rebellion_pretender_intro|Je suis le Grand Hetman de Lituanie, le prince Janusz Radziwill.
str_vaegir_rebellion_pretender_intro|Je suis le chef des Cosaques du Don. On m'appelle Stepan Razin.
str_khergit_rebellion_pretender_intro|Je suis Mehmed, des Girays de Crimée.
str_nord_rebellion_pretender_intro|Je m'appelle Christina. Je suis la sixième reine de Suède, la maîtresse des tous les Goths et de tous les Vendes.
str_rhodok_rebellion_pretender_intro|Je suis Ivan Barabas, l'hetman que tous croient mort depuis longtemps.
str_swadian_rebellion_pretender_story_1|Nous, les Radziwill, sommes des descendants du Grand Prince de Lituanie, Gerdiminas. Tout comme les Jagiellon qui gouvernaient la République de Pologne. En comparaison, les rois d'aujourd'hui ne sont que des parvenus qui n'ont aucune légitimité envers le trône de Pologne, ni de Lituanie d'ailleurs.
str_vaegir_rebellion_pretender_story_1|J'ai participé à de nombreux assauts contre les Tartares sur l'ordre du tsar de Moscou. Et comment me remercie-t-il ? Mon frère a été exécuté suite à quelque calomnie et, à présent, on me pourchasse pour me jeter en prison.
str_khergit_rebellion_pretender_story_1|Je suis le fils aîné du khan Selyamet. Jusqu'à récemment, je vivais dans le palace du khan à Bakhchisaraï. Mais le sultan de la Porte, à qui tous les Giray ont juré allégeance, a considéré que j'étais incapable de remplir mes devoirs et a donné ma place à mon jeune frère Islam.
str_nord_rebellion_pretender_story_1|Je suis la fille unique du roi Gustave II Adolf et de Marie-Éléonore de Brandebourg. Tous les territoires de Suède m'ont juré allégeance lorsque j'ai eu un an. En tant que future reine, j'ai reçu une éducation fantastique. Je maîtrise sept langues : l'allemand, le hollandais, le danois, l'italien, l'espagnol, le grec et le latin. J'ai lu les écrits d'Ésope, de Justin, de Livius, de César et de Virgile. Dès l'âge de douze ans, j'étais une experte en politique et je connaissais bien l'art de la guerre.
str_rhodok_rebellion_pretender_story_1|Je suis un Cosaque de sang. J'ai été le yesaul du régiment, puis un colonel de Tcherkessie, puis l'hetman provisoire de l'armée zaporogue. J'ai toujours essayé de vivre en paix avec l'aristocratie polonaise... Cependant, le secrétaire militaire, Bohdan Khmelnytsky, a soulevé les Zaporogues du Sich et a déclenché une rébellion. Les Cosaques qui servaient sous mon commandement ont certes aidé les forces de la Couronne à réprimer les rebelles, mais avant la bataille de Zhovti Vody, Khmelnytsky a réussi à se mettre tous les chefs dans la poche.
str_swadian_rebellion_pretender_story_2|Le roi de Pologne est élu par des sénateurs. C'est bien là la source de tous nos maux. La République de Pologne ne sera jamais une grande nation tant qu'un véritable roi ne régnera pas sur le trône. Un roi qui aurait obtenu ce titre de droit de sang et non pas suite à un caprice de l'aristocratie.
str_vaegir_rebellion_pretender_story_2|Le tsar de Russie rêve d'étouffer toutes les libertés du Don, mais les Cosaques ne se laisseront pas faire. Lorsqu'un véritable héritier du trône se présentera, la rébellion commencera. Et là tu verras, Alexis Mikhaïlovitch !
str_khergit_rebellion_pretender_story_2|Ma destitution est une terrible injustice ! Islam Giray ne sait rien des affaires politiques et, au lieu de soutenir la République de Pologne, il souhaite une union avec les Cosaques. Seule une alliance avec le roi de Pologne nous permettrait d'arrêter les assauts du dragon de Moscou vers le sud...
str_nord_rebellion_pretender_story_2|En montant sur le trône, j'ai fait le choix de rester vierge, tout comme Elizabeth d'Angleterre. J'ai choisi mon beau-frère, Charles Gustave du Palatinat, comme héritier. Mais ce traître de Charles était par trop impatient et a décidé d'accélérer son accession au trône.
str_rhodok_rebellion_pretender_story_2|La nuit précédant la bataille, ils ont pénétré dans la tente de l'hetman, mais j'avais été prévenu et je pus m'échapper à temps. Ils m'ont cru mort après avoir trouvé un corps mutilé, mais il s'agissait de mon serviteur. Vous voulez mon avis ? Khmelnytsky n'a pas à cœur l'avenir de notre peuple, seuls l'intéressent la gloire et la vengeance. Il va causer la chute de l'Ukraine, cela ne fait aucun doute.
str_swadian_rebellion_pretender_story_3|J'ai besoin de gens audacieux prêts à s'élever contre l'envahisseur et à restaurer la Grande Lituanie. Je suis dans mon droit, en tant que fils aîné de Zmudz, le seigneur de Vilnius et le Grand Hetman de Lituanie !
str_vaegir_rebellion_pretender_story_3|En toute franchise, cela fait longtemps que je souhaite lancer le cri de ralliement, "Saryn on kichka !" Mais où trouver quelqu'un qui pourrait prétendre au trône du tsar ?
str_khergit_rebellion_pretender_story_3|Je cherche des alliés de confiance. Si les mirzas de Crimée se joignaient à moi, le sultan n'aurait alors pas d'autre choix que de me renommer khan.
str_nord_rebellion_pretender_story_3|Une fois qu'il s'est assuré le soutien de l'armée, il m'a contraint à abdiquer. Alors que j'avais gagné la guerre de Trente Ans et ainsi conféré d'inimaginables privilèges aux nobles ! Je suis certain que si je pouvais m'exprimer publiquement, la Suède se rallierait autour de moi à nouveau.
str_rhodok_rebellion_pretender_story_3|Quand je serai redevenu hetman, j'arrangerai les choses avec la République de Pologne et l'Ukraine pourra à nouveau prospérer, entourée de nations alliées.
str_swadian_rebellion_monarch_response_1|Si vous avez quelque relation secrète avec les Radziwill, j'ai bien peur de vous décevoir. Ces protestants de Zmudz ont une très haute opinion des leurs, alors que ce ne sont en fait que d'arrogants magnats lituaniens dont les bourses sont trop enflées, tout comme leurs chevilles.
str_vaegir_rebellion_monarch_response_1|On raconte qu'un des chefs cosaques, comment s'appelle-t-il déjà... Ah, oui, Stenka Razin ! On dit qu'il a lancé une rébellion contre le Don. J'ai hâte de le voir au Kremlin. Enchaîné, bien sûr.
str_khergit_rebellion_monarch_response_1|Je vois que vous avez parlé à ce raté de Mehmed ? Quel khan il a été. Ce couard a donné nos terres du Caucase au tsar de Moscou et a pris le parti des Cosaques. Heureusement, le glorieux sultan, que son règne dure des siècles, a restauré la justice en me confiant les rênes du gouvernement.
str_nord_rebellion_monarch_response_1|Christina regrette le trône ? Elle n'en a toujours fait qu'à sa tête. D'abord, elle a failli ruiner la nation en doublant les rangs des nobles et distribuant les terres de la Couronne... Elle dilapidait le Trésor pour divertir sa cour et offrir des cadeaux à ses favoris. Et soudain, elle s'est convertie au catholicisme. 
str_rhodok_rebellion_monarch_response_1|Ce vendu d'Ivan Barabash s'est rallié il y a longtemps à ces satanés Polonais. Il est devenu maréchal et a accablé les Cosaques d'impôts afin de s'attirer les bonnes grâces du roi de Pologne. Ensuite, il a contribué à la propagation de la foi catholique. À cause de ce traître, les Ukrainiens vont redevenir les serfs des Polonais.
str_swadian_rebellion_monarch_response_2|Un aristocrate polonais sans cheval a plus de chances de devenir roi que ces schismatiques de Vilnius.
str_vaegir_rebellion_monarch_response_2|Nous, les Romanov, sommes les propriétaires légitimes de la Toque de Monomakh. Ces mutins qui se rebellent contre nous seront soumis au supplice de la roue. Si vous vous êtes impliqué dans cette histoire par folie ou pure stupidité, rendez-vous immédiatement auprès des services secrets et confessez tout ce que vous savez... Ou payez-en le prix.
str_khergit_rebellion_monarch_response_2|Je doute que son retour fasse plaisir aux mirzas. Je vous conseille donc d'oublier son existence. La seule personne qui ait hâte de le voir, c'est mon nouveau bourreau.
str_nord_rebellion_monarch_response_2|Quoi qu'elle dise à présent, elle a renoncé au trône de son propre chef. Son abdication a été acceptée officiellement au Rijksdag et des impôts sont appliqués dans les régions de Gotland, d'Aland, d'Asel et de Poméranie, entre autres. La Suède est une nation de soldats protestants, elle n'a pas besoin d'une reine catholique qui se prend pour Elizabeth d'Angleterre.
str_rhodok_rebellion_monarch_response_2|Le conseil de Pereyaslav a ordonné à tous les Cosaques de prêter serment d'hommage au tsar de Moscou. Notre peuple ne sera libre que s'il est protégé par une nation orthodoxe. Croyez-moi, une union avec la Pologne catholique ne nous apporterait rien de bon. Seul un hetman qui aurait perdu l'esprit ferait la guerre à la Russie...
str_credits_1|Mount&Blade^With Fire and Sword^Crédits :
str_credits_2|Sich Studio (Kiev)^^Chef de projet :^Maxim Gorban^^Artistes:^Andrei Domrachev^Sergei Shaterny^^Conception du jeu :^Alexei Fedorych^^Scénario :^Alexander Trubnikov^^Programmeur : ^Vladimir Kushneruk^^Ingénieur graphique :^Maxim Gorban
str_credits_3|Avec la contribution de :^Akrit^Davlet Giray-khan^Niko^АВС^Rebalancer^Yomen^Bestt^^Remerciements :^Au forum et à toute la communauté Sich (http://empiretw.ru),^à Unicorn Games et à Nickolai Matiychuk,
str_credits_4|Unicorn Games (Kiev)^^Ingénieur graphique :^Nicholas Matiychuk^^Snowberry Connection (Stockholm)^^Producteur exécutif :^Alexander Suslov^^Marketing international :^Pavel Nechaev^Vlalimir Tortsov^^Gestion licences et affaires :^Catherine Nemov^ ^Assistante service licences :^Elena Radovskii^ ^Service financier :^Alex Zdorov^^Assistant service financier :^Andrew Zadorozhnii ^ ^Producteur :^Sergei Klimov
str_credits_8|Snowball Studios (Moscow)^^Producteur :^Michael Bryukhanov^^Producteurs techniques :^Mikhail Bruhanov^Alexander Radkevich^^Éditeurs :^Uliana Erofeeva^Steve Breslin^^Maquette :^Ganbat Badamkhand
str_credits_5|Artistes :^Katherina Ladatko^Alexey Chistov^^Artiste interface :^Mikhail Kolbasnikov^^Artiste imprimerie :^Mikhail Kolbasnikov
str_credits_6|Compositeurs :^Vadim Gankin^Petr Salnikov^Vladimir Kochetkov^^Artistes vocaux :^Svetlana Schegolkova^Tatyana Roslikova^Svetlana Amerikantzeva-Schegolkova^^Productrice son :^Evelina Novikova
str_credits_9|Responsable son :^Mikhail Matveev (RWS studio)^^Script vidéo :^Artem Schuyko^Alexander Suslov^^Vidéo d'introduction :^Alexander Safronov (SCWO)^^Assurance qualité :^Alexander Radkevich^Viktor Chaschin^Egor Botov^Sergey Egorov^Dmitry Kiyatkin^Michael Bryukhanov^Viatcheslav Erofeev^Stanislav Lobachev (Apeiron)^Nikita Pavlutin^Uliana Sorokin^Alexander Suslov^Victor Chashchin
str_credits_7|Chefs de projet :^Svyatoslav Kozlov^Maria Konovalova^Alexander Suslov^Vlalimir Tortsov^Artem Schuyko^^Site internet russe :^Anton Zhevlakov^^Directeur marketing :^Pavel Nechaev^^Responsable édition :^Evelyn Novikov
str_credits_10|^Directeur technique :^Vitaly Klimov
str_credits_11|Remerciements particuliers :^à Aperion Studio, Olga Belaya et Igor Shegolkovu en particulier, au Vault Computer Club de Kiev, au Playground computer club de Moscou, à Sergey Kiyatkin, Dmitry Klimontov, Stanislav Lobachev, Andrey Moshkov, Vasily Panarin et Alexander Shishov
