str_no_string|¡NO STRING!
str_rebellion_prior_argument_favorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono y debo decir que estoy bastante de acuerdo.
str_rebellion_prior_argument_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no los encuentro convincentes.
str_rebellion_prior_argument_very_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no estoy de acuerdo con ellos.
str_rebellion_rival_default|[súbdito]
str_rebellion_rival_martial|Vuestro aliado {s44} cuestionó mi honor y valentía. Estoy ansioso por enfrentarme a él en combate y hacer que se retracte de sus palabras.
str_rebellion_rival_quarrelsome|Estáis trabajando con {s44}. Es astuto como una comadreja, y no me fío ni un pelo de él.
str_rebellion_rival_pitiless|Al parecer os habéis alistado en las filas de {s44}... Es blando, débil e incapaz de gobernar un feudo, y siempre lo he detestado.
str_rebellion_rival_cunning|{s44}, que se ha unido a vuestra causa, es terco y pendenciero, y bastante desaconsejable.
str_rebellion_rival_sadistic|No tengo deseo alguno de luchar junto a vuestro aliado {s44}, con sus nauseabundas demostraciones de virtud.
str_rebellion_rival_goodnatured|Yo no estaría dispuesto a dejar mi destino en manos de gente como {s44}, famoso por su crueldad.
str_rebellion_rival_upstanding|En mi opinión vuestro aliado {s44} es peligroso, no se puede confiar en él y no tiene principios.
str_rebellion_argument_favorable|respeto vuestros argumentos
str_rebellion_argument_neutral|Creo que vuestros argumentos son bastante convincentes
str_rebellion_argument_unfavorable|no me parecen acertados vuestros argumentos
str_rebellion_persuasion_favorable|lo que decís tiene mucha lógica
str_rebellion_persuasion_neutral|vuestros motivos son claros
str_rebellion_persuasion_unfavorable|vuestra exposición no es convincente
str_rebellion_relation_very_favorable|os tengo el mayor de los respetos.
str_rebellion_relation_favorable|os conozco y respeto.
str_rebellion_relation_neutral|no os conozco tanto como quisiera.
str_rebellion_relation_unfavorable|no me fío de vos.
str_and_comma_3|Lo que es más, 
str_but_comma_3|Sin embargo, 
str_and_comma_1|, y 
str_but_comma_1|, pero 
str_and_comma_2|. Además, 
str_but_comma_2|. Creo,
str_rebellion_agree_default|[súbdito]
str_rebellion_agree_martial|Muy bien, he tomado una decisión. Apoyaré a {s45} como legítimo heredero.
str_rebellion_agree_quarrelsome|Lo que decís tiene mucha lógica. La verdad es que nunca me gustó {s46}; el trono debería ocuparlo alguien con mayor valía.
str_rebellion_agree_pitiless|La fortuna está de vuestro lado. He decidido unirme a vos. Espero que no hagáis que me arrepienta.
str_rebellion_agree_cunning|Es un plan muy peligroso... pero tras considerarlo detenidamente, he decidido unirme a vos. Esperemos no estar cometiendo un terrible error.
str_rebellion_agree_sadistic|En fin... Apoyaré a {reg3?vuestra mujer:vuestro hombre}, {s45}. ¡Pero será mejor que os aseguréis de que recibo mi recompensa por ello!
str_rebellion_agree_goodnatured|Muy bien. Creo que {reg3?vuestra mujer:vuestro hombre} será {reg3?una buena:un buen} líder. Os apoyaré.
str_rebellion_agree_upstanding|Que así sea. Mi primer deber es para con el reino, y para evitar la anarquía apoyaré a {s45} y renunciaré a mi juramento hacia {s46}. Que los Cielos me perdonen si me equivoco.
str_rebellion_refuse_default|[súbdito]
str_rebellion_refuse_martial|Me temo que os voy a decepcionar. La demanda de {s45} es legítima, pero no es suficiente como para renunciar al juramento que he contraído con {s46}. Seré leal a mi señor.
str_rebellion_refuse_quarrelsome|No. Vuestro mequetrefe, {s45}, no tiene lo que hay que tener para gobernar este reino. Seguiré siendo fiel a {s46}.
str_rebellion_refuse_pitiless|No, no voy a respaldar vuestra rebelión. Vuestro enfado es el de un niño malcriado que llora por un nuevo juguete. ¡{s46} gobierna por legítimo derecho, y es un gobernante justo!
str_rebellion_refuse_cunning|Perdonadme, pero no crea que tengáis muchas posibilidades. Muchos morirán y no deseo para nada ser uno de ellos. Me temo que debemos separarnos.
str_rebellion_refuse_sadistic|No, estos juegos no son para mí. Vos lucháis por la corona, pero al final solo conseguiréis acabar colgando de la horca, como {s46} y otros.
str_rebellion_refuse_goodnatured|Perdonadme, pero {s46} no merece mi traición. Espero que no os toméis a mal mi negativa.
str_rebellion_refuse_upstanding|Perdonadme, pero no creo que {s45} pueda ser un gobernante justo, y no apoyaré ninguna rebelión. Me temo que debo seguir mi propio camino, y que Dios me perdone si me equivoco.
str_talk_later_default|[súbdito]
str_talk_later_martial|¡Ahora no es momento de hablar de política! Estoy aquí hoy con mis camaradas, armados para la batalla. Será mejor que os preparéis para la lucha.
str_talk_later_quarrelsome|¿Esperáis que me ponga a hablar ahora con vos sobre traicionar a mi señor mientras su ejército nos rodea? ¿Es que me tomáis por idiota?
str_talk_later_pitiless|¡Cuidad vuestra lengua! Lo que tenga que decir sobre el asunto no lo diré aquí y ahora, cuando estamos rodeados por nuestros ejércitos.
str_talk_later_cunning|No es momento para discutir tal cosa. Tal vez en otro momento y otro lugar pero, por ahora, seguimos siendo enemigos.
str_talk_later_sadistic|¡Deberían coseros la boca! ¿Sabéis qué pasaría si los otros nobles me vieran hablando con vos de traición?
str_talk_later_goodnatured|¿Así que queréis hablar de rebelión conmigo? Intentadlo de nuevo cuando no estemos rodeados por el ejército de mi señor, y os escucharé.
str_talk_later_upstanding|Cualesquiera sean mis opiniones sobre la legitimidad de la sucesión, no las discutiré aquí y ahora. Si volvemos a vernos en privado, escucharé lo que tengáis que decir. Pero por ahora, consideradme vuestro enemigo.
str_gossip_about_character_default|Dicen que {s6} no es una persona carismática.
str_gossip_about_character_martial|Dicen que {s6} ama la guerra por encima de todo.
str_gossip_about_character_quarrelsome|Dicen que {s6} casi llegó a las manos con otro señor porque este último hizo una broma acerca de su nariz.
str_gossip_about_character_selfrighteous|Oí que {s6} hizo ejecutar a un escudero porque el pobre hombre mató a un ciervo en sus bosques.
str_gossip_about_character_cunning|Dicen que {s6} es un oponente astuto.
str_gossip_about_character_sadistic|Dicen que {s6} se divierte torturando a sus enemigos. No me gustaría tener problemas con él.
str_gossip_about_character_goodnatured|Dicen que {s6} es un buen hombre que trata a sus subordinados decentemente. No se puede decir lo mismo de muchos nobles.
str_gossip_about_character_upstanding|La gente dice que es bueno estar al servicio de {s6}. Es bueno con sus seguidores y los recompensa cuando trabajan bien.
str_latest_rumor|El último rumor que escuchaste sobre {s6} fue:
str_swadian_rebellion_pretender_intro|Soy el gran hetman de Lituania, el príncipe Janusz Radziwill.
str_vaegir_rebellion_pretender_intro|Soy el jefe de los cosacos del Don. Stepan Razin es como me llaman.
str_khergit_rebellion_pretender_intro|Soy Mehmed, de los Giray de Crimea.
str_nord_rebellion_pretender_intro|Soy Christina, la sexta reina de Suecia y señora de todos los godos y los wends.
str_rhodok_rebellion_pretender_intro|Me llamo Ivan Barabash. Sí, el hetman a quien todos creían muerto.
str_swadian_rebellion_pretender_story_1|Los Radziwill somos descendientes del gran príncipe de Lituania, Gediminas, igual que los Jagiellon que gobernaron la república de Polonia. Comparados con nosotros, los reyes de hoy en día son solo unos arribistas que no tienen derecho ni a la corona de Polonia ni a la de Lituania.
str_vaegir_rebellion_pretender_story_1|He participado en muchos ataques contra los tártaros a petición del zar de Moscú. ¿Y cómo me muestra su gratitud? Mi hermano fue ejecutado por una calumnia, y ahora hay una orden de busca y captura contra mí.
str_khergit_rebellion_pretender_story_1|Soy el hijo mayor del kan Selyamet. Hasta hace poco, el palacio del kan de Bakhchisaray era mi residencia legítima, pero el sultán de Porte, a quien todos los Giray juran lealtad, me consideró incapacitado para dichas responsabilidades, y puso a mi hermano pequeño, Islam, en mi lugar.
str_nord_rebellion_pretender_story_1|Soy la única hija del rey Gustavo Adolfo II y María Eleanor de Brandenburgo. Todos los estados de suecia me juraron lealtad cuando cumplí un año de edad. Como futura reina, recibí una educación magnífica. Domino siete lenguas: alemán, holandés, danés, italiano, español, griego y latín. He leído a Esopo, Justino, Livio, César y Virgilio. Al cumplir los doce años, ya era una experta en política y en el arte de la guerra.
str_rhodok_rebellion_pretender_story_1|Soy cosaco de sangre. Fui yesaul del regimiento, después coronel de Cherkasy y luego hetman de la hueste de Zaporozhia. Siempre he intentado vivir en paz con la nobleza polaca... Pero el secretario de campo, Bogdán Hmelnitski, agitó a los zaporozhianos de la Sich y empezó una rebelión. Los cosacos que tenía bajo mi mando ayudaron al ejército real a reprimir a los rebeldes, pero antes de la Batalla de Aguas Amarillas, Hmelnitski logró poner a todos los jefes de su parte.
str_swadian_rebellion_pretender_story_2|El rey de Polonia es elegido por los senadores, y esa es la raíz de todos nuestros infortunios. La república de Polonia nunca será una gran nación si el trono no lo ocupa un auténtico rey, un rey que lleve el título por derecho de sangre y no por capricho de la nobleza.
str_vaegir_rebellion_pretender_story_2|El zar de Rusia sueña con recortar todas las libertades del Don, pero los cosacos no lo permitirán. Tan pronto llegue al trono un auténtico heredero, empezaremos una rebelión. ¡Preparaos, Alexei Mijailovich!
str_khergit_rebellion_pretender_story_2|¡Mi destitución fue una terrible injusticia! Islam Giray no sabe nada de asuntos de estado, y más que apoyar a la República de Polonia, lo que quiere es unirse a los cosacos. Solo con la ayuda del rey de Polonia podemos detener al dragón de Moscú en su ataque al sur...
str_nord_rebellion_pretender_story_2|Cuando ocupé el trono, decidí mantenerme virgen, como Isabel de Inglaterra, y designé a mi cuñado, Carlos Gustavo de Pfalz, como mi heredero. Pero ese traidor es impaciente, y deseaba acelerar su ascenso al poder.
str_rhodok_rebellion_pretender_story_2|La noche anterior a la batalla, entraron en la tienda del hetman, pero a mí me avisaron antes y hui. Me dieron por muerto al ver un cuerpo descuartizado, pero tan solo era el cadáver de mi criado. ¿Sabéis lo que digo? Hmelnitski no se preocupa por el futuro de nuestro pueblo, lo único que le mueve es la vanagloria y la venganza. Significa el fin de Ucrania, no me cabe ninguna duda de ello.
str_swadian_rebellion_pretender_story_3|Necesito gente osada que plante cara al invasor y restituya la Gran Lituania. ¡Y tengo pleno derecho, como anciano de Samogitia, capitán de Vilna y gran hetman de Lituania!
str_vaegir_rebellion_pretender_story_3|Con toda franqueza, habría gritado ¡"Saryn on kichka!". Pero ¿dónde voy a encontrar a alguien que reclame el trono del zar?
str_khergit_rebellion_pretender_story_3|Busco aliados en quien pueda confiar. Si los mirzas crimeos se ponen de mi parte, el sultán no tendría más remedio que nombrarme kan de nuevo.
str_nord_rebellion_pretender_story_3|Tras asegurarse el respaldo del ejército, me obligó a abdicar, ¡y eso después de que ganara la Guerra de los Treinta Años y que otorgara privilegios inimaginables a la nobleza! Estoy segura de que si hago una llamada, los suecos lucharán bajo mi mando de nuevo.
str_rhodok_rebellion_pretender_story_3|En cuanto vuelva a ser hetman, podré solucionar los problemas con la república de Polonia, y Ucrania volverá a prosperar entre sus naciones hermanas.
str_swadian_rebellion_monarch_response_1|Si estáis en conversaciones secretas con Radziwill, siento decepcionaros. Esos protestantes de Samogitia tienen un concepto demasiado alto de ellos mismos, aunque no son más que unos magnates lituanos arrogantes cuyo monedero está tan atiborrado como su ambición.
str_vaegir_rebellion_monarch_response_1|Me han llegado rumores de que uno de los capitostes cosacos... ¿Cómo se llamaba?... Ah, sí, Stenka Razin. Pues dicen que ha empezado una rebeleión contra el Don. Me muero de ganas de verlo en el Kremlin. Encadenado, claro.
str_khergit_rebellion_monarch_response_1|Veo que habéis hablado con el fracasado de Mehmed. Sí, era kan, pero después de que el cobarde regalara nuestras tierras en el Cáucaso al zar de Moscú y se pasara al bando de los cosacos, el glorioso sultán, que ojalá reine por muchos años, hizo justicia y me entregó las riendas del gobierno.
str_nord_rebellion_monarch_response_1|¿Que Christina desea el trono? Si siempre ha sido un peligro. Primero casi llevó el país a la ruina, duplicó los rangos de nobles y regaló las tierras de la corona, mientras despilfarraba el tesoro de la corona para el entretenimiento de la corte y tonterías para sus favoritas. Y luego, de repente, se convirtió al catolicismo.
str_rhodok_rebellion_monarch_response_1|Ivan Barabash hace mucho tiempo que se vendió a los malditos polacos. Se convirtió en mariscal e impuso unos impuestos insoportables a los cosacos para congraciarse con el rey de Polonia y luego contribuyó a la difusión de la fe católica. Ese traidor volverá a convertir Ucrania en sierva de los polacos.
str_swadian_rebellion_monarch_response_2|Antes se convertiría en rey un noble polaco sin caballo que cualquiera de esos herejes de Vilna.
str_vaegir_rebellion_monarch_response_2|Nosotros los Romanov somos los poseedores legítimos de la Corona de Monomakh, y a los sediciosos que decidieron rebelarse contra nosotros los enviaremos a la rueda para que mueran con los huesos desencajados. Si habéis participado en sus asuntos por insensatez o inconciencia, id al Departamento Secreto a confesar todo lo que sabéis, o preparaos para pagar por ello.
str_khergit_rebellion_monarch_response_2|Dudo que los mirzas se alegren de su regreso, de modo que mi consejo es que olvidemos su existencia. El único hombre que desea conocerlo es mi nuevo verdugo.
str_nord_rebellion_monarch_response_2|Diga lo que diga ahora, abdicó por propia voluntad. Su abdicación se aceptó oficialmente en el Rijksdag, y los impuestos se fijan en Gottland, Aland, Asel, Pomerania y otras regiones. Suecia es un país de soldados protestantes, y no necesita una reina católica que se cree Isabel de Inglaterra.
str_rhodok_rebellion_monarch_response_2|El Consejo de Pereiaslav ordenó a todos los cosacos que juraran lealtad al zar de Moscú. Nuestro pueblo solo puede ser libre bajo el ala de una nación ortodoxa. Y creedme, el futuro de nuestra tierra no reside en una unión con la católica Polonia. Solo un hetman que ha perdido la cabeza declararía la guerra a Rusia...
str_credits_1|Mount & Blade^With Fire and Sword^Créditos:
str_credits_2|^Sich Studio (Kiev)^^Director del proyecto:^Maxim Gorban^^Diseñadores gráficos: ^Andrei Domrachev^Sergei Shaterny^^Diseñador:^Alexei Fedorich^^Guionista:^Alexander Trubnikov^^Programador:^Vladimir Kushneruk^^Ingeniero de vídeo: ^Maxim Gorban^^
str_credits_3|Contribuciones:^Akrit^Devlet Giray-Khan^Niko^АВС^Rebalancer^Yeoman^Bestt^ ^Agradecimientos:^Al foro y a toda la gente de Sich (http://empiretw.ru),^a  Unicorn Games y a Nickolai Matiychuk.^
str_credits_4|Unicorn Games (Kiev)^Ingeniero de vídeo: Nicholas Matiychuk^^Snowberry Connection (Estocolmo)^Productor ejecutivo:^Alexander Suslov^^Marketing internacional:^Pavel Nechaev^Vlalimir Tortsov^^Gestión comercial y de licencias:^Catherine Nemov^ ^Ayudante del departamento de licencias:^Elena Radovskii^ ^Departamento financiero:^Alex Zdorov^^Ayudante del departamento financiero:^Andrew Zadorozhnii ^ ^Productor:^Sergei Klimov^
str_credits_8|Snowball Studios (Moscú)^Productor:^Michael Bryukhanov^^Productores técnicos:^Mikhail Bruhanov^Alexander Radkevich^^Revisores:^Uliana Erofeeva^Steve Breslin^^Portada:^Ganbat Badamhand^
str_credits_5|Dibujantes:^Katherina Ladatko^Alexey Chistov^^Diseñador interfaz:^Mikhail Kolbasnikov^^Diseñador texto:^Mikhail Kolbasnikov^
str_credits_6|Compositores:^Vadim Gankin^Peter Salnikov ^Vladimir Kochetkov^^Voces:^Svetlana Schegolkova^Tatiana Roslikova^Svetlana Amerikantseva-Schegolkova^^Productor de sonido:^Evelyn Novikov^
str_credits_9|Supervisor de sonido:^Mikhail Matveev (RWS Studio)^^Guionistas del vídeo:^Artem Schuyko^Alexander Suslov^^Introducción del vídeo:^Alexander Safronov (SCWO)^^Equipo de control de calidad:^Michael Bryukhanov^Alexander Radkevich^Viktor Chaschin^Egor Botov^Sergey Egorov^Dmitry Kiyatkin^Viatcheslav Erofeev^Stanislav Lobachev (Apeiron)^Nikita Pavlutin^Uliana Sorokin^Alexander Suslov^Victor Chashchin^
str_credits_7|Directores de proyecto:^Svyatoslav Kozlov^Maria Konovalova^Alexander Suslov^Vlalimir Tortsov^Artem Schuyko^^Sitio web ruso:^Anton Zhevlakov^^Director de marketing:^Pavel Nechaev^^Editor jefe:^Evelyn Novikov^^
str_credits_10|Director técnico:^Vitaly Klimov
str_credits_11|Agradecimientos: ^Aperion Studio, Olga Belaya e Igor^Shegolkovu en particular,^el Vault Computer Club de Kiev,^el Playground Computer Club de Moscú,^Sergey Kiyatkin, Dmitry Klimontov, Stanislav Lobachev, Andrey Moshkov, Vasily Panarin y Alexander Shishov^
str_credits_12|TaleWorlds Entertainment (Ankara)^^Productor:^Mika'il Yazbeck ^^Programadores:^Armağan Yavuz^Cem Çimenbiçer^
str_multi_scene_12|Castillo Derwiqa
str_multi_scene_13|Llanuras aleatorias (Grandes)
str_multi_scene_14|Estepa aleatoria (Media)
str_multi_scene_15|Estepa aleatoria (Grande)
str_scn_mp_swed_zamok|Viborg
str_scn_mp_nomad_camp|Campamento nómada
str_scn_mp_mosk_kreml|No disponible
str_scn_mp_novgorod_fortress|Un castillo en las colinas
str_scn_mp_rus_fortress|Oreshek
str_scn_mp_tevt_zamok|No disponible
str_scn_mp_mosk_monastyr|Fortaleza-monasterio
str_scn_mp_old_castle|Viejo castillo
str_scn_mp_arena|Arena
str_scn_mp_marketplace|Mercado
str_scn_mp_swamp_delta|Delta pantanoso
str_scn_mp_forest_camp|Campamento forestal
str_scn_mp_polya|Campos
str_scn_mp_hillroad|Carretera de colina
str_scn_mp_hutor|Caserío en la estepa
str_scn_mp_river_village|Aldea junto al río
str_scn_mp_forest_edge|Orilla del bosque
str_scn_mp_forest_road|Carretera forestal
str_multi_scene_end|fin multi escenas
str_multi_game_type_1|Combate mortal
str_multi_game_type_2|Combate mortal en equipo
str_multi_game_type_3|Batalla
str_multi_game_type_5|Capturar la bandera
str_multi_game_type_6|Conquista
str_multi_game_type_7|Asedio
str_multi_game_type_8|Duelo
str_multi_game_type_9|Capitán de duelo a muerte entre equipos
str_multi_game_type_10|Capitán Cooperativo
str_multi_game_type_11|Capitán Batalla
str_poll_kick_player_s1_by_s0|{s0} inició una votación para echar al jugador {s1}.
str_poll_ban_player_s1_by_s0|{s0} inició una votación para banear al jugador {s1}.
str_poll_change_map_to_s1_by_s0|{s0} inició una votación para cambiar el mapa a {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} inició una votación para cambiar el mapa a {s1} y las facciones a {s2} y {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} inició una votación para cambiar el número de bot a {reg0} y {reg1}.
str_poll_kick_player|Propuesta para echar al jugador {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_ban_player|Propuesta para banear al jugador {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_change_map|Propuesta para cambiar mapa a {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_change_map_with_faction|Propuesta para cambiar mapa a {s0} y facciones a {s1} contra {s2}: 1 = Aceptar, 2 = Rechazar
str_poll_change_number_of_bots|Propuesta para cambiar número de bots a {reg0} para {s0} y {reg1} para {s1}: 1 = Aceptar, 2 = Rechazar
str_poll_time_left|(quedan {reg0} segundos)
str_poll_result_yes|La propuesta es aceptada por la mayoría.
str_poll_result_no|La propuesta es rechazada por la mayoría.
str_total_item_cost_reg0|Coste total: {reg0}
str_server_name|Nombre del servidor:
str_game_password|Contraseña del juego:
str_map|Mapa:
str_game_type|Tipo de partida:
str_max_number_of_players|Número máximo de jugadores:
str_number_of_bots_in_team_reg1|Número máximo bots en el equipo {reg1}:
str_team_reg1_faction|Facción del equipo {reg1}:
str_enable_valve_anti_cheat|Activar anti-trucos (Requiere cuenta Steam válida)
str_allow_friendly_fire|Permitir el fuego amigo a distancia
str_allow_melee_friendly_fire|Permitir el fuego amigo cuerpo a cuerpo
str_friendly_fire_damage_self_ratio|Daño propio por fuego amigo (%):
str_friendly_fire_damage_friend_ratio|Daño a amigos por fuego amigo (%):
str_spectator_camera|Cámara del espectador:
str_control_block_direction|Controlar dirección de bloqueo:
str_map_time_limit|Límite de tiempo del mapa (mn):
str_round_time_limit|Límite de tiempo de la ronda (s):
str_players_take_control_of_a_bot_after_death|Volverse un bot al morir:
str_team_points_limit|Límite de puntos del equipo:
str_point_gained_from_flags|Puntos de equipo ganados por banderas (%):
str_point_gained_from_capturing_flag|Puntos ganados por capturar banderas:
str_respawn_period|Periodo de reaparición (segundos):
str_add_to_official_game_servers_list|Añadir a la lista de servidores oficiales del juego
str_combat_speed|Velocidad de combate:
str_combat_speed_0|Muy lenta
str_combat_speed_1|Lenta
str_combat_speed_2|Media
str_combat_speed_3|Rápida
str_combat_speed_4|Muy rápida
str_defender_spawn_count_limit|Recuento de spawn defensor:
str_unlimited|Ilimitado
str_automatic|Automático
str_by_mouse_movement|Por movimiento del ratón
str_free|Libre
str_stick_to_any_player|Seguir a cualquier jugador
str_stick_to_team_members|Seguir a miembros del equipo
str_stick_to_team_members_view|Seguir la visión de miembros del equipo
str_make_factions_voteable|Permitir votaciones para cambiar de facción
str_make_kick_voteable|Permitir votaciones para echar a otros jugadores
str_make_ban_voteable|Permitir votaciones para banear a otros jugadores
str_bots_upper_limit_for_votes|Límite superior de bots para votación:
str_make_maps_voteable|Permitir votaciones para cambiar los mapas
str_valid_vote_ratio|Umbral para aceptar la votación (%):
str_auto_team_balance_limit|Umbral auto balance equipo (dif.):
str_welcome_message|Mensaje de bienvenida:
str_initial_gold_multiplier|Dinero inicial (%):
str_battle_earnings_multiplier|Bono de dinero por combate (%):
str_round_earnings_multiplier|Bono de dinero por ronda (%):
str_allow_player_banners|Permitir estandartes individuales
str_force_default_armor|Forzar armadura mínima
str_respawning_in_reg0_seconds|Reaparición en {reg0} segundos...
str_no_more_respawns_remained_this_round|No quedan vidas para esta ronda
str_reg0_respawns_remained|(quedan {reg0} vidas)
str_this_is_your_last_respawn|(Ésta es tu última vida)
str_wait_next_round|(Espera a la próxima ronda)
str_yes_wo_dot|Sí
str_no_wo_dot|No
str_we_resign|No nos quedan fuerzas para seguir luchando. Nos rendimos ante vos, {playername}.
str_i_resign|No quiero morir hoy. Me rindo.
str_s1_returned_flag|¡{s1} ha devuelto su bandera a la base!
str_s1_auto_returned_flag|¡La bandera de {s1} regresó automáticamente a su base!
str_s1_captured_flag|¡{s1} ha capturado la bandera enemiga!
str_s1_taken_flag|¡{s1} ha tomado la bandera enemiga!
str_s1_neutralized_flag_reg0|{s1} ha neutralizado la bandera {reg0}.
str_s1_captured_flag_reg0|¡{s1} ha capturado la bandera {reg0}!
str_s1_pulling_flag_reg0|{s1} ha comenzado a tirar de la bandera {reg0}.
str_s1_destroyed_catapult|¡{s1} destruyó la catapulta!
str_s1_destroyed_trebuchet|¡{s1} destruyó el trebuchet!
str_s1_destroyed_all_targets|¡{s1} destruyó todos los objetivos!
str_s1_saved_1_target|{s1} salvó un objetivo.
str_s1_saved_2_targets|{s1} salvó todos los objetivos.
str_s1_defended_castle|¡{s1} defendió su castillo!
str_s1_captured_castle|¡{s1} capturó el castillo!
str_auto_team_balance_in_20_seconds|Se realizará un auto-balance en 20 segundos.
str_auto_team_balance_next_round|La próxima ronda se realizará un auto-balance.
str_auto_team_balance_done|Los equipos se han auto-balanceado.
str_s1_won_round|¡{s1} ha ganado la ronda!
str_round_draw|Se acabó el tiempo. Ronda empatada.
str_round_draw_no_one_remained|No queda nadie. Ronda empatada.
str_death_mode_started|¡Aprisa! ¡Conviértete en amo del campo!
str_reset_to_default|Restaurar valores de inicio
str_done|Hecho
str_player_name|Nombre del jugador
str_kills|Muertes
str_deaths|Bajas
str_ping|Ping
str_dead|Muerto
str_reg0_dead|{reg0} Muertos
str_bots_reg0_agents|Bots ({reg0} agentes)
str_bot_1_agent|Bot (1 agente)
str_score|Puntuación
str_score_reg0|Puntuación: {reg0}
str_flags_reg0|(Banderas: {reg0})
str_reg0_players|({reg0} jugadores)
str_reg0_player|({reg0} jugadores)
str_open_gate|Abrir puerta de entrada
str_close_gate|Cerrar puerta de entrada
str_open_door|Abrir puerta
str_close_door|Cerrar puerta
str_raise_ladder|Subir escalera
str_drop_ladder|Tirar escalera
str_back|Atrás
str_start_map|Comenzar mapa
str_choose_an_option|Elegir una opción:
str_choose_a_poll_type|Elegir un tipo de propuesta:
str_choose_faction|Elegir facción
str_choose_a_faction|Elegir una facción:
str_choose_troop|Elegir tropa
str_choose_a_troop|Elegir una clase de tropas:
str_choose_items|Elegir equipo
str_options|Opciones
str_redefine_keys|Redefinir claves
str_submit_a_poll|Hacer una propuesta
str_administrator_panel|Panel de administrador
str_kick_player|Echar a un jugador
str_ban_player|Banear a un jugador
str_mute_player|Enmudecer a un jugador
str_unmute_player|Cancelar enmudecer a un jugador
str_quit|Salir
str_poll_for_changing_the_map|Cambiar el mapa
str_poll_for_changing_the_map_and_factions|Cambiar el mapa y las facciones
str_poll_for_changing_number_of_bots|Cambiar el número de bots en los equipos
str_poll_for_kicking_a_player|Echar a un jugador
str_poll_for_banning_a_player|Banear a un jugador
str_choose_a_player|Elegir a un jugador:
str_choose_a_map|Elegir un mapa:
str_choose_a_faction_for_team_reg0|Elegir una facción para el equipo {reg0}:
str_choose_number_of_bots_for_team_reg0|Elegir número de bots para el equipo {reg0}:
str_spectator|Espectador
str_spectators|Espectadores
str_command|Comando:
str_profile_banner_selection_text|Elegir un estandarte para tu perfil:
str_use_default_banner|Utilizar estandarte de la facción
str_party_morale_is_low|¡Moral de algunas tropas esta bajo!
str_weekly_report|Informe
str_has_deserted_the_party|ha abandonado el grupo.
str_have_deserted_the_party|han abandonado el grupo.
str_space| 
str_us_|Nosotros 
str_allies_|Aliados 
str_enemies_|Enemigos 
str_routed|Vencidos
str_maximum_seconds_for_round_is_reg0|Segundos máximos por ronda son {reg0}.
str_respawn_period_is_reg0_seconds|Periodo de reaparición es {reg0} segundos.
str_bots_upper_limit_for_votes_is_reg0|Límite superior de bots para votar es {reg0}.
str_map_is_voteable|Se puede votar el mapa.
str_map_is_not_voteable|No se puede votar el mapa.
str_factions_are_voteable|Se pueden votar las facciones.
str_factions_are_not_voteable|No se pueden votar las facciones.
str_players_respawn_as_bot|Los jugadores reaparecen como bot.
str_players_do_not_respawn_as_bot|Los jugadores no reaparecen como bot.
str_kicking_a_player_is_voteable|Se puede votar echar a un jugador.
str_kicking_a_player_is_not_voteable|No se puede votar echar a un jugador.
str_banning_a_player_is_voteable|Se puede votar banear a un jugador.
str_banning_a_player_is_not_voteable|No se puede votar banear a un jugador.
str_player_banners_are_allowed|Se permiten estandartes de jugadores.
str_player_banners_are_not_allowed|No se permiten estandartes de jugadores.
str_default_armor_is_forced|Armadura estándar obligatoria.
str_default_armor_is_not_forced|Armadura estándar no obligatoria.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Porcentaje de votos positivos para que una propuesta sea aceptada es {reg0}%.
str_auto_team_balance_threshold_is_reg0|Umbral de auto balance de equipo es {reg0}.
str_starting_gold_ratio_is_reg0|Proporción de dinero al comenzar es {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Proporción de bonificación de dinero por combate es {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Proporción de bonificación de dinero por ronda es {reg0}%.
str_point_gained_from_flags_is_reg0|Puntos ganados por el equipo por banderas es {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Puntos ganados por el equipo por capturar banderas es {reg0}%.
str_map_time_limit_is_reg0|Límite de tiempo del mapa es {reg0} minutos.
str_team_points_limit_is_reg0|Límite de puntos del equipo es {reg0}.
str_defender_spawn_count_limit_is_s1|Recuento de spawn defensor es {s1}.
str_reg4_killed_reg5_wounded_reg6_routed|{reg4} muertos, {reg5} heridos, {reg6} vencidos
str_reg4_killed_reg5_routed|{reg4} muertos, {reg5} vencidos
str_reg4_killed_reg5_wounded|{reg4} muertos, {reg5} heridos
str_reg4_wounded_reg5_routed|{reg4} heridos, {reg5} vencidos
str_quick_battle_scene_1|Delta del pantano
str_quick_battle_scene_2|Poblado junto al río
str_quick_battle_scene_3|Pequeña granja
str_quick_battle_scene_4|Fuerte de madera
str_quick_battle_scene_5|Fortaleza junto al río
