qstr_Next_Page|Sonraki sayfa
qstr_{s9}_asked_you_to_hu|{s9}, senden {s4} olarak bilinen kaçağı avlamanı istedi. Şu an {s3}'{.de} olduğu sanılıyor.
qstr_{s9}_asked_you_to_as|{s9}, {s3} yererl tüccarını öldürmeni istedi.
qstr_{s9}_has_asked_you_t|{s9}, {s13}'{.de} bulunan casusla buluşmanı istedi.
qstr_{s9}_asked_you_to_ca|{s9} senden {reg13} kervanlarına saldırmanı ve böylece {s13}'{.i} savaşa kışkırtmanı istedi.
qstr_{s9}_asked_you_to_cat|{s9} senden 3 grup halinde kaçan köleleri, canlı yakalayıp {s4}'{.e} geri getirmeni istedi; ve üç grubun da {s3}'{.e} doğru gittiğini söyledi.
qstr_{s11}_asked_you_to_f|{s11}, {s12}{.den} ayrılan casusu izlemeni istedi. Casusun seni yolda görmemesine dikkat etmelisin, yoksa şüphelenip geri dönebilir. Casus bir kere suç ortağıyla buluştuktan sonra, her ikisini de yakalayıp {s11}'{.e} getirmen gerekiyor.
qstr_{s11}_asked_you_to_c|{s11}, {s13}{.den} herhangi bir lord yakalamanı ve ardından kurbanını saklamak üzere {s11}'{.e} getirmeni istedi.
qstr_{s9}_asked_you_to_le|{s9}, yardımcın {s3}'{.i} ona bir hafta ödünç vermeni istedi.
qstr_{s9}_asked_you_to_col|{s9}, {s3}'{.nin} ona olan {reg4} talerlik borcunu toplamanı istedi. {s3}, sen bu görevi aldığında {s4}{.de} idi.
qstr_{s11}_gave_you_a_fak|{s11} sana {s13}'{.nin}, {s16} vasalını sürmesi için kandırmak üzere sahte bir mektup verdi. {s14} civarına gitmen, mektubu {s15} askerlerinden birine vermen ve onu şehre, mesajının gerçek olduğuna inanarak, ulak olarak yollaman gerekiyor.
qstr_{s9}_has_requested_y|{s9}, ona {reg1} {s3} mahkum getirmeni istedi.
qstr_Lend_your_experience|{s1} senden tecrübeli cerrah {s3}'{.i} istedi.
qstr_Then_take_it_with_my|O zaman en derin minnet duygularımla onu alın. Gerçek bir asilsiniz. Bana zor anımda yardım ettiğinizi asla unutmayacağım.
qstr_Forgive_me_{playerna|Kusura bakma {playername}, ama kabul etmeniz için ısrar edeceğim. Paranın benim için anlamı küçük ve size borcum büyük. Buyrun, kabul edin, ve bundan daha fazla bahsetmeyelim.
qstr_{playername}_what_a_|{playername}, ne kadar değerli birisiniz, ancak bunu reddetmenize izin vermeyeceğim. Size söyleyebileceğimden fazlasını borçluyum ve eminim bu parayı benden daha iyi bir şekilde kullanabilirsiniz.
qstr_{s11}_asked_you_to_r|{s11} senden {s17}'{.i}, {s13}'{.i} {s14}'{.den} zindanda onun yerine geçerek kurtarmanı istedi.
qstr_{s11}_asked_you_to_d|{s11}, {s14}{.de} tutsak olan {s13} için bir mesaj iletmeni istedi.
qstr_You_agreed_to_challe|{s11}'{.nin} onurunu korumak için {s13}'{.nin} karşısına çıkmayı kabul ettin.
qstr_{s5}__Persuasion_str|{s5} (İkna kabiliyetin {reg5} talerini kurtarmanı sağladı.)
qstr_Persuasion_Attempt|İkna Denemesi
qstr_A_villager_from_{s7}|{s7}'{.den} bir köylü, köylerini oraya yerleşen haydutlardan kurtarman için senden yardım dilendi.
qstr_You_chose_well_{sir/|İyi seçim, {efendim/hanımefendi}. Adamlarım sözlerini tutmasını ve ücretlerini hak etmesini bilirler.
qstr_Well_done_{sir/madam|Çok güzel, {efendim/hanımefendi}. Paramızı ve şarabımızı eksik etmediğiniz sürece kimseden korkunuz olmasın.
qstr_We_are_at_your_servi|Hizmetinizdeyiz, {efendim/efendim}. Kime zarar verilecekse bize yerini gösterin, gerisini biz hallederiz.
qstr_You_will_not_be_diss|Hayal kırıklığına uğramayacaksınız {efendim/hanımefendi}. Beş yüz kilometre de gitseniz bunlardan daha iyi savaşçılar bulamazsınız. 
qstr_The_Guildmaster_of_{|{s13} valisi, şehrin etrafında çapulcularla ilgilenmeni istedi.
qstr_{s9}_of_{s3}_asked_y|{s3}{.den} {s9} 7 gün içinde {s4}{.de}ki hana {reg5} adet {s6} ulaştırmanı istedi.
qstr_Escort_the_merchant_|{s8} şehrine giden ticaret kervanına refakat et.
qstr_Merchant_{s9}_of_{s4|{s4}{.den} tüccar {s9}, senden şehrin civarındaki belalı haydutları avlamanı istedi. 
qstr_Guildmaster_of_{s4}_|{s4} valisi haydutlar tarafından kaçırılan bir kızın fidyesini ödemen için sana {reg12} taler verdi. Haydutlarla {s3} yakınlarında buluşup fidyeyi ödemen gerekiyor. Ardından kızı {s4}'{.e} geri getirmen bekleniyor.
qstr_Guildmaster_of_{s4}_p|{s4} valisi {s12} ve {s13} kişilerinin, {s15} ve {s14} arasında olası bir barış durumuna karşı tehdit olmamalarını sağlamayı başarırsan sana {reg12} taler önerdi. Bunu yapmak için onları ya ikna etmeli ya da anlaşma yapılana kadar esir olarak tutmalısın.
qstr_The_Guildmaster_of_{s|{s14} lonca başkanı {s14} sokaklarına terör saçan bir grup haydutla ilgilenmeni istedi. Sadece geceleri ortaya çıkıyorlar ve sadece sokaklardaki yalnız yolculara saldırıyorlar.
qstr_Guildmaster_of_{s10}|{s10} lonca başkanı bir sığır sürüsünü {s13}'{.e} sürmeni istedi. Karşılığında {reg8} taler kazanacaksın.
qstr_He_is_not_commanding|Şu an hiç kimseyi yönetmiyor.
qstr_He_currently_command|Şu an {reg1?, yaklaşık {reg1} tanesi yaralı olan }{reg0} askere hükmediyor.
qstr_The_elder_of_the_vil|{s3}{.nin} muhtarı ona {reg5} çuval buğday getirmeni istedi.
qstr_The_elder_of_the_vill|{s3}{.nin} muhtarı haydutlarla savaşabilmeleri için {reg5} çiftçiyi eğitmeni istedi.
qstr_The_elder_of_the_villa|{s3}{.nin} muhtarı ona {reg5} baş sığır getirmeni istedi.
qstr_As_{s9}_said_it_woun|{s9} {s10}'{.e} uğramanı tavsiye etti. Görünüşe bakılırsa köyün muhtarı bazı işleri için cesur adamlar arıyor.
qstr_OiM_The_elder_{s9}_a|Bir grup haydut Zamoshye köyünün çevresine konuşlandı. Köyün muhtarı senden yakınlardaki ormanda kamp kurmuş olan bu haydutlarla ilgilenmeni istedi.
qstr_OiM_The_elder_{s9}_as|{s9} senden {s10}'{.i} vergileri düşürmek için ikna etmeni istedi. 
qstr_OiM_The_elder_{s9}_ask|{s9} senden 3 çuval {s10} getirmeni istedi.
qstr_OiM_The__De_la_Gardi|Yeni ipuçları {s10}'{.e} doğru uzanıyor. Belki de yerli halk bir şeyler biliyordur... 
qstr_OiM_getman_No_skazal|Görevi başaramamana rağmen, yaşlı Evangelic'in {s4}'{.de} olduğunu söyledi.  
qstr_OiM_The__{s9}_asked_|{s9} senden Sich'e {s10}'{.i} götürmeni istedi.
qstr_OiM_nu_vot_so_shmato|Ağzındaki domuz yağı parçasıyla Tatar zar zor konuşuyor.
qstr_OiM_Kozaki_zametii_4|Kazaklar ihanetinin farkına vardı...
qstr_OiM_The_{s9}_asked_y|{s9} senden kendisini {s10}'{.e} götürmeni istedi.
qstr_OiM_Kozaki_zametili_|Kazaklar kendilerine ihanet ettiğini anladılar.
qstr_OiM_teper_mozhno_dal|Şimdi yolculuğuna devam edebilirsin.
qstr_OiM_Ischi_teper_yego|O zaman Ataman'a gidiyoruz...
qstr_OiM_The_{s9}_need_to|{s9} senden en az {reg0} askeri {s10}'{.e} getirmeni istedi.
qstr_OiM_Ne_uspeli_s_cona|Daha atından bile inmeye fırsat bulamadan Kazaklar köye geldi...
qstr_OiM_Jaz_budet_jarko|Görünen o ki savaştan kaçınmak mümkün olmayacak. Şimdi bizzat Kazakların savaşta nasıl olduklarını göreceksin. 
qstr_OiM_{s9}_asked_you_v|{s9} senden Moskova'ya gidip Don Cossacks'a malları teslim etmeni istedi.
qstr_OiM_Potop_nuzhno_per|Mallar alındı. Şimdi bunları {s6}'{.e} götürmelisin.
qstr_OiM_{s9}_asked_you_t|{s9} senden silah yüklü bir konvoyun yolunu kesmeni istedi. Raporlarına göre konvoy {s10} – {s11} arası yolculuk yapıyor.
qstr_OiM_{s9}_asked_you_to|{s9} senden Clermont'u Kralın huzuruna getirmeni istedi. 
qstr_OiM_{s9}_asked_you_to_|Yanında en az 10 askerin olursa, {s9} da seninle gelecek...
qstr_OiM_{s9}_asked_you_to_b|{s9} senden {s10}'{.i} yağmalamanı istedi. 
qstr_OiM_{s9}_skazal_chto|{s9} senin adına Ataman'la konuşacağını söyledi.
qstr_OiM_{s9}_asked_to_br|{s9} senden atı {s10}'{.e} getirmeni istedi.
qstr_As_{s9}_said_to_get_|{s9} parayı {s10}'{.den} tahsil etmeni ve Hmelnitski'ye getirmeni istedi. 
qstr_As_{s9}_give_you_a_r|{s9} sana {s10} için bir tavsiye mektubu verdi.
qstr_OiM_{s9}_asked_to_lo|{s9} senden üç Lehistan köyünü yağmalamanı istedi.
qstr_OIM_add_{s9}_asked_y|{s9} Slbsy Zagloba'y bulmanı tavsiye etti. Eski Leh subayı muhtemelen Lehistan topraklarında bir meyhanede kafayı çekmekle meşgul. 
qstr_OIM_add_{s9}_asked_yo|{s9} senden {s11}'{.e} bir mektup götürmeni istedi.
qstr_OIM_add_{s9}_deliver|{s9} kendisine bir İsveç askerini esir alıp getirmeni istedi.
qstr_OIM_add_You_were_ask|Kutsal bir Leh manastırı tehlikede! Kral Jan Kasimir {s10}{s.e} gidip orayı kirleten İsveçli kafirleri geri püskürtmen için emir verdi. 
qstr_OIM_add_Wam_nuzhno_o|Lehistan başkenti İsveçliler tarafından ele geçirildi. Ne olursa olsun {s10}'{.i} geri almalısın. Sadece senin değil, tüm Lehistan'ın geleceği tehlikede. 
qstr_OIM_add_{s9}_asked_you|{s9} senden bir İsveç subayını esir almanı istedi. 
qstr_OIM_add_{s9}_asked_you_|{s9} sana zor bir görev verdi. Lehistan ve Kırım Hanlığı arasındaki barış anlaşmasının güvenliğini sağlamalısın. Bunu için Jan Kasimir'in hizmetinden ayrılmalı, {s10}'{.i} bulmalı ve taht için mücadelesinde ona desteğini sunmalısın. Karşılığında, Han olduğunda Lehistan ile barış yapacağı sözünü almalısın. Ama birini tahta çıkarmak öyle kolay bir iş değildir. Bunun için Tatar Mirza'ları yanında toplamalı, tüm karşı gelenleri de esir almalısın. Aynı zamanda Kırım Hanlığı'ndaki tüm şehirleri ve kaleleri de ele geçirmelisin.  
qstr_OIM_add_{s9}_asked_you_t|{s9}, bu işbirliğinin karşında senden Moskova Çarlığı'nın iki şehrini ele geçirmeni istedi.
qstr_OiM_Potop_Pora_pogov|Kralın emirlerini yerine getirdin. Şimdi onunla konuşmalısın. 
qstr_OIM_add_As_{s9}_said|{s9} eğer soyluların desteğini tekrar kazanabilirsen seni hizmetine geri almaya ve ünvanını iade etmeye söz verdi. Albay Zegloba ile konuşmalı ve soyluların en az yarısını kendi tarafına çekmelisin... Sejm toplantısında kimsenin "nie pozwalam!" diye bağırmasını istemezsin.
qstr_OiM_Potop_{s3}_prosi|{s3} sana {s4}'{.i} tutsak almanı emretti.
qstr_OiM_Potop_Shveda_slo|İsveçli mahkumu ararken.
qstr_OiM_Potop_Borzobagat|Borzobogataya'nın {s5}'{.de} olduğunu öğrendin.
qstr_{s4}_{s2}|{s4}, {s2}
qstr_{s5}_{s2}|{s5}, {s2}
qstr_OIM_add_Nu_polkiy_se|Sejm oturumu devam ediyor. Şimdi tek yapman gereken sonuçları beklemek.
qstr_OIM_add_Nu_vot_teper|Şimdi {s7} şuraları ele geçirmen için talimat verdi: {s3}, {s4}, {s5}, ve {s6}.
qstr_OIM_add__{s2}_hochet|Kral {s3}'{.i} ele geçirmeni istiyor.
qstr_OIM_add__Teper_pora_|Şimdi Krala karşı bir milis kuvvet toplayıp, sonunda tahta hak eden birini geçirmenin zamanı. İlk iş olarak soyluların desteğini garantilemelisin...
qstr_OIM_add__Teper_kogda|Jan Kasimir paralı askerler tuttu. Lehistan'daki tek bir şehri bile yağmalamadan durdurulmaları lazım.
qstr_{s4}.|{s4}.
qstr_OiMP2_str_qst_potop_|Bunlar Lehistan için vahim zamanlar. Dört bir taraf düşmanla çevrili; İsveç Krallığı, Moskova Çarlığı ve Kazak Atamanlığı... Lehistan'ın bu İsveç tufanının önüne geçebilecek bir kahramana ihtiyacı var; bu itaatsiz soyluları yola getirecek ve düşmanı alt etmek için bir yumruk gibi bir araya getirecek bir kahramana...
qstr_OIM_add_getman__{s4}|{s4} senden {s3}'{.i} saldırıdan korumanı istiyor. 
qstr_OIM_add_getman__star|Yazık ki yaşlı adam sana her şeyi anlatamamış. Ama belki de Kara Gürz hakkında bir şeyler bilen başka biri vardır...  
qstr_OiM_add_Nu_teper_por|Bir ipucu buldun. Belki Clermont Kara Gürz hakkında bir şeyler biliyordur. 
qstr_OIM_add_getman__{s5}|Clermont Kara Gürz hakkında {s5}'{.den} bir şeyler duyduğunu söyledi. 
qstr_OIM_add__chtobi_uzna|{s3}'{.nin} Kara Gürz'ün sırrını bilebileceğini öğrendin. {s3}'{.nin} tahta çıkması için {s4}'{.e} karşı bir ayaklanma başlatmalısın.  
qstr_OIM_add__{s3}_prosil_|{s3} sana Kiev valisi ile görüşmen için talimat verdi. 
qstr_OIM_add_Kiev_{s3}_pr|Kiev'e, {s3}'{.e} geri dönmelisin. 
qstr_OIM_add__Net_zolota_|Belki de Kiev valisi bir şeyler biliyordur. Ama para olmadan bilgi toplamak da pek mümkün değildir. 
qstr_OIM_add__Nu_chto_zhe|Kazak haklıydı! Radziwill'in Kara Gürz hikayesiyle bir alakası var. Prense bazı sorular sormanın zamanı geldi gibi duruyor...  
qstr_OIM_add__{s3}_hochet|Daha tek bir soru bile cevaplamadan, {s3} senden bir Tatat Mirza'yı esir almanı istedi. 
qstr_OIM_add__pora_iskat_|Mirza tarafından yazılmış ve Templar arşivlerinde Kara Gürz ile ilgili bilgi olduğundan bahseden bir mektup buldun. {s20}'{.e} gidip arşivleri araştırman akıllıca olacaktır. 
qstr_OIM_add_Kyazya_Olgov|Arşivlerde uzunca bir süre geçirdikten sonra, Oleg hanesi prenslerinin Kara Gürz hikayesiyle doğrudan bağlantılı olduğunu öğrendin. 
qstr_OIM_add__nuzhno_vitr|Herif sıkı çıktı. Onu konuşturmanın bir yolunu bulmalısın.
qstr_OIM_add_getman__Pora|Başka bir ipucu ve başka bir gizem – Karga Kitabı!
qstr_OiM_getman_Knigu_moz|Kitabı deşifre etmek kolay olmayacak. {s6}'{.den} Aziz Pafnuty isimli alimi bulmalısın. 
qstr_OiM_getman_Nuzhno_pe|Pafnuty kitabı çevirmeyi kabul etti ama bunun için {s3} arşivlerine erişim istiyor.
qstr_OiM_getman_Kniga_na_|Pafnuty'i arşivlere getirdin. Şimdi kitabı çevirmesi için beklemelisin.  
qstr_OIM_add_getman__Koza|Kazak Mamai'nin bir çok efsane bildiğini söylüyorlar. Belki de onunla konuşmalısın...
qstr_OIM_add_getman__Bara|Görünen o ki Ataman Barabash hayattaymış. Sana oldukça faydası dokunabilir...
qstr_OIM_add_getman__Nu_c|Bir plan tezgahladın. Radziwill'e bir paralı asker kılığına girerek yaklaşacak ve onu öldüreceksin...
qstr_{s1}_s_tomb|Burada {s1} yatıyor.
qstr_OIM_add_getman__Chto|Barabash'ın tarafında yer aldın. Şimdi, nüfuzunuzu arttırıp, Atamanlık gürzünü Barabash'a kazandırmak için, en azından Kazak Albayların yarısını kendi tarafınıza çekmelisin. 
qstr_OIM_add_getman__tepe|Artık Kazaklara katıldığına göre Mamai, Hmelnitski'yi seni mareşal yapması için ikna edebilir. Şimdi tek yapman gereken karar verilene kadar beklemek.   
qstr_OIM_add_getman__{s5}_|{s5} yük arabalarının {s3}'{.den} ayrılıp {s4}'{.e} gittiğini söyledi. Belki de Hmelnitski haklıdır.
qstr_OIM_add_getman_Bilo_|Açık bir diplomasi izlemeye ve niyetini anlatması için bir elçi yollamaya karar verdin...
qstr_Velikoye_Knyazestvo_|Büyük Rus Eyaleti
qstr_OIM_add_getman_Koron|Önce Kara Gürz, şimdi Vytautas tacı... Yeni bir gün, yeni bir gizem.
qstr_Mamay|Mamai
qstr_Nu_chto_zhe_budem_tr|Görünen o ki taç {s3}'{.de}. Manastırın zindanlarına gizlice girip onu almalısın. 
qstr_OIM_add_getman_od_mo|Denizden denize – yeni Yüce Prens'in buyruğu böyle...
qstr_OIM_add_getman__Nu_ch|Tahta giden yol engellere dolu ve tehlikelidir. Babamız Çar'ı devirip yerine geçmeye cüret edecek kişinin kurnaz ve eşi benzeri görüşmemiş derecede cesaretli olması lazım. Korkunç savaşlar yapacak kadar yürekli ve masum kanı da dökmeye razı olması lazımdır. 
qstr_OiM_dmitriy_Teper_kog|{s4} kendisine yardım etmeyi reddettiğin için oldukça kırılmış gözüküyor. Şimdi seninle Dertli Zamanlar tarihi hakkında konuşması için hiç umut yok. 
qstr_OIM_add_getman__Nuzhn|Bir Gerasim Evanjelik'in sana Sahte Dmitry ile ilgili anlatabileceği çok şey olduğunu öğrendin. Bu Gerasim'i {s3}'{.de} aramalısın.
qstr_OiM_The_elder_{s9}_s|{s9} sana rahibin {s10}'{.de} olduğunu söyledi. Yerel halkla konuşmayı dene. Belki onu gören olmuştur. 
qstr_OiM_getman_Yavangeli|Evanjelik'in {s4}'{.de} olduğunu öğrendin.
qstr_OIM_add_getman__Nuzhno|Son nefesini vermeden önce Gerasim sana {s3} ile konuşmanı söyledi.
qstr_OiM_The_{s9}_prosil_|{s9} senden Eleanor'u {s10}'{.den} alıp {s11}'{.e} getirmeni istedi.
qstr_OiM_The_{s9}_prosilf|{s9} senden onu {s11}'{.e} getirmeni istedi.
qstr_OiM_The_{s9}_prosilf_|{s9} senden {s11}'{.e} bir mektup ulaştırmanı istedi.
qstr_OiM_The_{s9}_prosil_v|{s9} senden {s11}'{.e} bir mektup ulaştırmanı istedi.
qstr_OiM_The_{s11}_dobriy|{s11} ciddi bir adam. Açıklamalarınla ilgilenmedi ve seni direk sorguya gönderdi. 
qstr_OiM_The_Nu_chto_zhe_|Efendini kaybettiğine göre {s11}'{.e} gitmekten başka bir çaren kalmadı.
qstr_OiM_Alevtina_v_Kafe_|Alevtina Kafa'da tutuklu bulunuyor.
qstr_OiM_pohozhe_alevtinu|Görünen o ki Mirza, Alevtina'nın gitmesine izin vermeyecek. Güç kullanman gerekebilir... 
qstr_OiM_getman_Pohozhe_b|Görünen o ki Razin yeni Çar hakkında şaka yapmıyor... Pekala, öyle olsun. 
qstr_OiM_Teper_kogda_ya_p|Artık tahta talip olduğuna göre, soyluları senin yönetme hakkına ikna etmen gerekiyor. 
qstr_{s5}.|{s5}.
qstr_{s3}|{s3}
qstr_{s2}_{s3}|{s2}, {s3}
qstr_I_can_smell_a_fat_pu|Kalın cüzdan kokusunu yolun öbür ucundan alırım. Bana kalırsa biraz hafifleme vaktin gelmiş!
qstr_Why_it_be_another_tr|Ah, yolların denk getirdiği başka bir yolcu! Sizi uyarmalıyım, bu kırlar sizin gibi hoş bir {bay/bayan} için tehlikeli olabilir. Ama küçük bir bağış karşılığı ben ve dostlarım doğru yere ulaşmanızı sağlayabilir...
qstr_Well_well_look_at_th|Bak, bak hele! Gümüşlerini uçlanmaya başlasan iyi olur arkadaşım, yoksa ben ve arkadaşlarım seni kırmak zorunda kalacağız.
qstr_There_s_a_toll_for_p|Bu topraktan geçmenin bir ücreti var, bize ödeniyor; siz rahatınızı bozmayın, biz ücretimizi cüzdanlarınızdan kapıveririz...
qstr_Another_fool_come_to|Kendini silahıma atmaya gelen başka bir şaklaban daha, ha? Öyle olsun, gel de kapışalım!
qstr_We_re_not_afraid_of_|Senin gibi bir {heriften/yellozdan} korkacak değiliz. Kafanı kırdığımızda görürsün!
qstr_That_was_a_mistake._|Bu bir hataydı. Şimdi ölümünü uzun ve acı dolu hale getirmem gerekecek.
qstr_Brave_words._Let_s_s|Cesur laflar. Bakalım arkasında durabilecek misin, it!
qstr_A_{s5}?_Well..._Yes_|Bir {s5}? Sanırım öyle, ya ne olacaktı.
qstr_Eh?_No_it_most_certa|Eh? Hayır! Bu kesinlikle bir {s5} değil. Yerinde olsam gözlerimi bir kontrol ederdim.
qstr_This_is_the_{reg4?to|Bu {reg4?şehir:köy} {s5} {beyim/hanımım}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Şehrimiz:Köyümüz} ve içinde bulunduğu topraklar tabii ki siz {beyime/hanımıma} aittir.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Şehrimiz:Köyümüz} ve içinde bulunduğu toprakların sahibi {s8}{.den} {s7} olur.
qstr_{s3}_and_{s5}|{s3} ve {s5}
qstr_{s3}_{s5}|{s3}, {s5}
qstr_{reg20?We_mostly_pro|{reg20?Burada genelde {s5} üretiyoruz:Şu sıralar pek bir şey ürettiğimiz yok}. Eğer daha fazla öğrenmek istiyorsan {reg4?valimizle:köyümüzün ihtiyarıyla} konuşabilirsin. Hemen şurada, ileride.
qstr__U_Vas_maximalnovozm|Ekibiniz tamam gibi. Başka Bir şey var mıydı?
qstr__U_Vas_ne_hvataet_de|Paralı askerler için yeterli paranız yok efendim. Başka Bir şey var mıydı?
qstr___Skolko_naemnikov_n|Kaç adama ihtiyacınız var?
qstr__U_vas_netu_etogo_ti|Silahlarını yenilecek kimse yok edendim. Başka Bir şey var mıydı?
qstr__Viberite_razdel|Pekala efendim, seçiminizi yapın. Adamlarınızın neye ihtiyacı var?
