qstr_Next_Page|Nächste Seite
qstr_we_have_suceeded_in_|wir haben an Boden gewonnen, doch es bleibt noch viel zu tun
qstr_we_have_become_a_sig|wir sind eine beachtliche Truppe geworden und haben Chancen auf den Sieg
qstr_we_are_winning_the_w|wir gewinnen den Krieg, doch unsere Feinde widersetzen sich noch
qstr_we_are_on_the_verge_|der Sieg ist so gut wie unser. Die verbleibenden Feinde sind keine Bedrohung mehr, aber wir müssen sie trotzdem schnappen
qstr_Yes_{s5}?|Ja, {s5}?
qstr__no_fiefs_|(Keine Lehen)
qstr__fiefs:_{s0}_|(Lehen: {s0})
qstr_{playername}_when_we|{Spielername}, als wir diesen Weg einschlugen, besaßen nur wenige den Mut, mich zu unterstützen. Noch weniger waren bereit, ihr Leben für meine Sache zu riskieren. Doch Ihr habt nicht einen Moment gezögert, Euch auf meine Feinde zu stürzen. Wir haben viel zusammen durchgemacht, und es gab Zeiten, da hätte ich fast die Hoffnung verloren. Doch Gottes Hilfe ließ uns bestehen. Nun ist es an der Zeit für mich, von Euch zu scheiden und mir zu nehmen, was mein ist. Von nun an trage ich die große Verantwortung, {s3} zu regieren. Es wird noch viele Herausforderungen geben. Ich zähle auf Eure Hilfe, um sie zu überwinden. Natürlich werdet Ihr immer der Erste unter meinen Mannen sein.
qstr_I_am_{s4}_the_ruler_|Ich bin {s4}, Herrscher von {s6}
qstr_I_am_{s4}_a_vassal_o|Ich bin {s4}, Edler von {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? und Fürst von {s8}.:.
qstr_Your_mission_is_comp|Eure Mission ist erfüllt. {s9} heißt Euch, bis auf weitere Anweisung seiner Armee zu folgen.
qstr_{s13}_asked_you_to_g|{s13} wünscht, dass Ihr ihm {reg3} Stück Vieh bringt.
qstr_{s9}_asked_you_to_sc|{s9} wünscht, dass Ihr {s13}, {s14} und {s15} auskundschaftet und Euch dann meldet.
qstr_{s16}_and_{s17}|{s16} und {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Also gut, Ich werde Euch wieder in meinen Reihen aufnehmen, wenn Ihr bereit seid, Euren feierlichen Schwur zu erneuern.
qstr_A_pardon_will_only_b|Euch kann nur verziehen werden, wenn Ihr gewillt seid, mir {s17} zu überlassen. Akzeptiert Ihr meine Bedingungen?
qstr_No._There_is_no_chan|Nein. Offenbar kann es zwischen uns keinen Frieden geben. Ich habe kein Interesse.
qstr_We_are_not_at_war_wi|Wir befinden uns mit niemandem im Krieg.
qstr_We_are_at_war_with_{|Wir befinden uns mit {s12} im Krieg.
qstr_{s9}_asked_you_to_ta|{s9} wünscht, dass Ihr {s13} eine Nachricht überbringt. {s13} war vermutlich in {s4}, als Euch diese Quest anvertraut wurde.
qstr_{s9}_asked_you_to_tak|{s9} wünscht, dass Ihr {s13} von {s15} eine Nachricht überbringt. {s13} war vermutlich in {s4}, als Euch diese Quest anvertraut wurde.
qstr_{s11}_asked_you_to_e|{s11} wünscht, dass Ihr seine {s17} {s13} nach {s14} eskortiert.
qstr_{s13}_asked_you_to_d|{s13} wünscht, dass Ihr mit den Banditen aufräumt, die das Dorf {s15} besetzen, und Euch dann bei ihm meldet.
qstr_{s9}_asked_you_to_ra|{s9} wünscht, dass Ihr {reg1} {s14} rekrutiert und zu ihm bringt.
qstr_{s9}_asked_you_to_co|{s9} wünscht, dass Ihr Steuern in {s3} eintreibt. Er bietet Euch ein Fünftel des eingetriebenen Betrags an.
qstr_{s9}_asked_you_to_hu|{s9} wünscht, dass Ihr einen Flüchtigen namens {s4} schnappt. Man glaubt, dass er sich derzeit in {s3} aufhält.
qstr_{s9}_asked_you_to_as|{s9} wünscht, dass Ihr einen Kaufmann in {s3} ermordet.
qstr_{s9}_has_asked_you_t|{s9} wünscht, dass Ihr Euch in {s13} mit einem Spion trefft.
qstr_{s9}_asked_you_to_ca|{s9} wünscht, dass Ihr {reg13} Karrenzüge plündert, um einen Krieg mit {s13} zu provozieren.
qstr_{s9}_asked_you_to_cat|{s9} wünscht, dass Ihr drei Gruppen entlaufener Leibeigener einfangt und sie unversehrt nach {s4} zurückbringt. Er sagte, alle drei Gruppen seien unterwegs nach {s3}.
qstr_{s11}_asked_you_to_f|{s11} wünscht, dass Ihr, den Spion verfolgt, der bald {s12} verlässt. Kommt dem Spion nicht unter die Augen, sonst könnte er Verdacht schöpfen und umkehren. Sobald er sich mit seinem Komplizen trifft, müsst Ihr beide gefangennehmen und zu {s11} zurückbringen.
qstr_{s11}_asked_you_to_c|{s11} wünscht, dass Ihr einen Edlen aus {s13} gefangennehmt -- jeder ist recht. Bringt ihn zur sicheren Verwahrung zu {s11}.
qstr_{s9}_asked_you_to_le|{s9} wünscht, dass Ihr ihm Euren Gefährten {s3} für eine Woche borgt.
qstr_{s9}_asked_you_to_col|{s9} wünscht, dass Ihr die {reg4} Taler eintreibt, die {s3} ihm noch schuldet. {s3} hielt sich in {s4} auf, als Euch diese Quest anvertraut wurde.
qstr_{s11}_gave_you_a_fak|{s11} gab Euch einen gefälschten Brief, der {s13} dazu bringen sollte, seinen Edlen {s16} zu verbannen. Nähert Euch {s14} und gebt den Brief einem Eurer {s15}. Sendet diesen als Boten in die Stadt und lasst ihn im Glauben, seine Befehle seien echt.
qstr_{s9}_has_requested_y|{s9} wünscht, dass Ihr ihm {reg1} {s3} als Gefangene bringt.
qstr_Lend_your_experience|Borgt {s1} Euren erfahrenen Wundarzt {s3}.
qstr_Then_take_it_with_my|Nehmt denn diese kleine Aufmerksamkeit, dazu meine ewige Dankbarkeit. Ihr seid {ein edler Mann/eine edle Frau}. Dass Ihr mir halft in meiner Not, werde ich Euch niemals vergessen.
qstr_Forgive_me_{playerna|Vergebt mir, {Spielername}, doch ich muss darauf bestehen, dass Ihr mein Geschenk annehmt. Geld bedeutet mir wenig, und Euch schulde ich so viel. Hier, nehmt, und sprechen wir fortan nicht mehr davon.
qstr_{playername}_what_a_|{Spielername}, Euer Edelmut kennt keine Grenzen, doch ich werde nicht zulassen, dass Ihr es ablehnt. Ich schulde Euch mehr, als Worte ausdrücken können. Sicher findet Ihr für dieses Geld bessere Verwendung als ich.
qstr_{s11}_asked_you_to_r|{s11} wünscht, dass Ihr {s17} {s13} aus {s14} befreit, indem Ihr mit ihm die Kleider tauscht und seinen Platz in der Gefangenschaft einnehmt.
qstr_{s11}_asked_you_to_d|{s11} wünscht, dass Ihr eine Nachricht an {s13}, gefangen in {s14}, überbringt.
qstr_You_agreed_to_challe|Ihr habt eingewilligt, {s13} zum Duell zu fordern, um die Ehre von {s11} zu verteidigen.
qstr_{s5}__Persuasion_str|{s5} (Eure Überzeugungskraft hat Euch {reg5} Taler gespart.)
qstr_Persuasion_Attempt|Überzeugungsversuch
qstr_A_villager_from_{s7}|Ein Dörfler aus {s7} flehte Euch an, das Dorf vor den Banditen zu retten, die sich dort eingenistet haben.
qstr_You_chose_well_{sir/|Weise gewählt, {Herr/Herrin}. Meine Mannen wissen, wie man Wort hält und seinen Lohn verdient.
qstr_Well_done_{sir/madam|Gut gemacht, {Herr/Herrin}. Lenkt nur weiter Geld und Wein in unsere Richtung, dann braucht Ihr keinen Feind zu fürchten.
qstr_We_are_at_your_servi|Zu Euren Diensten, {Herr/Herrin}. Zeigt uns jene, die eine Lektion verdienen, und wir tragen Sorge, dass sie sie erhalten.
qstr_You_will_not_be_diss|Ihr sollt nicht enttäuscht werden, {Herr/Herrin}. Und wolltet Ihr auch halbtausend Meilen reiten, bessere Krieger als diese fändet Ihr nicht.
qstr_The_Guildmaster_of_{|Der Bürgermeister von {s13} wünscht, dass Ihr mit den Plünderern aufräumt, die das Umland plagen.
qstr_{s9}_of_{s3}_asked_y|{s9} von {s3} wünscht, dass Ihr diese Woche {reg5} Einheiten {s6} an die Taverne von {s4} liefert.
qstr_Escort_the_merchant_|Eskortiert den Karrenzug der Kaufleute in die Stadt {s8}.
qstr_Merchant_{s9}_of_{s4|Der Kaufmann {s9} aus {s4} wünscht, dass Ihr die lästigen Banditen in der Nähe der Stadt schnappt.
qstr_Guildmaster_of_{s4}_|Der Bürgermeister von {s4} gab Euch {reg12} Taler, um das Lösegeld für ein von Banditen entführtes Mädchen zu zahlen. Ihr sollt die Banditen bei {s3} treffen und ihnen das Lösegeld geben. Bringt dann das Mädchen zurück nach {s4}.
qstr_Guildmaster_of_{s4}_p|Der Bürgermeister von {s4} versprach Euch {reg12} Taler, wenn Ihr dafür sorgt, dass {s12} und {s13} den Friedensschluss zwischen {s15} und {s14} nicht weiter bedrohen. Dazu müsst Ihr die beiden entweder überzeugen oder einfädeln, dass sie gefangen werden und auch gefangen bleiben, bis der Friede erreicht ist.
qstr_The_Guildmaster_of_{s|Der Bürgermeister von {s14} wünscht, dass Ihr mit den Banditen aufräumt, die dort die Straßen terrorisieren. Sie kommen des Nachts heraus und überfallen nur einzelne Reisende.
qstr_Guildmaster_of_{s10}|Der Bürgermeister von {s10} wünscht, dass Ihr eine Viehherde nach {s13} treibt. Ihr erhaltet {reg8} Taler für diesen Dienst.
qstr_He_is_not_commanding|Er befehligt derzeit keine Mannen.
qstr_He_currently_command|Er befehligt derzeit {reg0} Mannen{reg1?, von denen {reg1} verwundet sind:}.
qstr_The_elder_of_the_vil|Der Dorfälteste von {s3} wünscht, dass Ihr ihm {reg5} Sack Weizen bringt.
qstr_The_elder_of_the_vill|Der Dorfälteste von {s3} wünscht, dass Ihr {reg5} Bauern für den Kampf gegen die örtlichen Banditen ausbildet.
qstr_The_elder_of_the_villa|Der Dorfälteste von {s3} wünscht, dass Ihr ihm {reg5} Stück Vieh bringt.
qstr_As_{s9}_said_it_woun|{s9} riet zum Besuch in {s10}. Offenbar sucht der Dorfälteste mutige Männer zur Erledigung verschiedener Aufgaben.
qstr_OiM_The_elder_{s9}_a|Beim Dorf Zamoschye haben sich Banditen eingenistet. Der Dorfälteste wünscht, dass Ihr mit ihnen aufräumt. Ihr findet sie im nahen Wald.
qstr_OiM_The_elder_{s9}_as|{s9} wünscht, dass Ihr {s10} von einer Steuersenkung überzeugt.
qstr_OiM_The_elder_{s9}_ask|{s9} wünscht, dass Ihr ihm drei Sack {s10} bringt.
qstr_OiM_The__De_la_Gardi|Die neuen Hinweise führten nach {s10}. Vielleicht wissen die Städter etwas...
qstr_OiM_getman_No_skazal|Obwohl Ihr an der Aufgabe gescheitert seid, erwähnte der Älteste, dass Evangelic sich in {s4} befindet.
qstr_OiM_The__{s9}_asked_|{s9} wünscht, dass Ihr {s10} zum Sich bringt.
qstr_OiM_nu_vot_so_shmato|Mit einem Stück Speck im Mund kann der Tatar schlecht sprechen.
qstr_OiM_Kozaki_zametii_4|Die Kosaken haben Euren Betrug bemerkt...
qstr_OiM_The_{s9}_asked_y|{s9} wünscht, dass Ihr ihn nach {s10} bringt.
qstr_OiM_Kozaki_zametili_|Die Kosaken haben bemerkt, dass Ihr sie betrogen habt.
qstr_OiM_teper_mozhno_dal|Ihr könnt Eure Reise nun fortsetzen.
qstr_OiM_Ischi_teper_yego|Auf den Ataman also...
qstr_OiM_The_{s9}_need_to|{s9} sagte, Ihr müsstet mindestens {reg0} Soldaten nach {s10} bringen.
qstr_OiM_Ne_uspeli_s_cona|Noch ehe Ihr absitzen konntet, erreichten die Kosaken das Dorf...
qstr_OiM_Jaz_budet_jarko|Offenbar lässt sich die Schlacht nicht vermeiden. Nun werdet Ihr selbst erfahren, was die Kosaken im Kampf wert sind...
qstr_OiM_{s9}_asked_you_v|{s9} wünscht, dass Ihr nach Moskau geht und den Donkosaken Waren bringt.
qstr_OiM_Potop_nuzhno_per|Ihr habt die Waren erhalten. Nun solltet Ihr sie nach {s6} bringen.
qstr_OiM_{s9}_asked_you_t|{s9} hat Euch befohlen, einen Karrenzug mit Waffen abzufangen. Seinen Berichten zufolge bewegt sich der Zug von {s10} nach {s11}.
qstr_OiM_{s9}_asked_you_to|{s9} wünscht, dass Ihr Clermont vor den König bringt.
qstr_OiM_{s9}_asked_you_to_|{s9} wird mit Euch gehen, wenn mindestens zehn Soldaten Euch begleiten...
qstr_OiM_{s9}_asked_you_to_b|{s9} wünscht, das Ihr {s10} plündert.
qstr_OiM_{s9}_skazal_chto|{s9} sagte, dass er Euretwegen mit dem Hetman sprechen will.
qstr_OiM_{s9}_asked_to_br|{s9} wünscht, dass Ihr das Pferd nach {s10} bringt.
qstr_As_{s9}_said_to_get_|{s9} wünscht, dass Ihr das Geld aus {s10} abholt und es Hmelnitski bringt.
qstr_As_{s9}_give_you_a_r|{s9} gab Euch eine Empfehlung für {s10}.
qstr_OiM_{s9}_asked_to_lo|{s9} wünscht, dass Ihr drei Dörfer der Polnischen Republik plündert.
qstr_OIM_add_{s9}_asked_y|{s9} riet Euch, den Pan Zagloba zu finden. Der alte polnische Offizier lässt sich vermutlich in irgendeiner Taverne im Land der Polen volllaufen.
qstr_OIM_add_{s9}_asked_yo|{s9} wünscht, dass Ihr {s11} einen Brief überbringt.
qstr_OIM_add_{s9}_deliver|{s9} befahl Euch, ihm einen gefangenen schwedischen Soldaten zu bringen.
qstr_OIM_add_You_were_ask|Ein heiliges polnisches Kloster ist in Gefahr! König Jan Kasimir befahl Euch nach {s10}, um die schwedischen Ungläubigen zurückzuschlagen, die jene berühmte Stätte entweihen.
qstr_OIM_add_Wam_nuzhno_o|Die polnische Hauptstadt ist an die Schweden gefallen. Ihr müsst {s10} um jeden Preis zurückerobern. Nicht nur Euer eigenes Schicksal steht auf dem Spiel -- die Zukunft der Polnischen Republik hängt am seidenen Faden.
qstr_OIM_add_{s9}_asked_you|{s9} wünscht, dass Ihr einen schwedischen Offizier gefangennehmt.
qstr_OIM_add_{s9}_asked_you_|{s9} hat Euch mit einer schwierigen Aufgabe betraut. Ihr müsst ein Friedensabkommen zwischen der polnischen Republik und dem Khanat der Krim sichern. Zu diesem Zweck müsst Ihr aus dem Dienst an Jan Kasimir ausscheiden, {s10} finden und ihm Eure Unterstützung im Kampf um den Thron andienen. Im Gegenzug ringt ihm das Versprechen ab, dass er Frieden mit der Polnischen Republik schließt, sobald er Khan ist. Doch einfach ist es nicht, einen Anwärter auf dem Thron zu installieren. Ihr werdet sämtliche tatarischen Mirzas auf Eure Seite bringen und jeden gefangensetzen müssen, der sich verweigert. Ferner müsst Ihr sämtliche Städte und Festungen des Khanats der Krim einnehmen.
qstr_OIM_add_{s9}_asked_you_t|{s9} wünscht, dass Ihr im Gegenzug für seine Kooperation zwei Städte des Zarenreichs Russland einnehmt.
qstr_OiM_Potop_Pora_pogov|Ihr habt die Befehle des Königs ausgeführt. Es ist an der Zeit, mit ihm zu sprechen.
qstr_OIM_add_As_{s9}_said|{s9} versprach, Euch wieder in Dienst zu nehmen und Euch Euren Titel zurückzugeben, wenn Ihr die Unterstützung des Adels erlangen könnt. Ihr werdet mit Pan Zagloba sprechen und mindestens die Hälfte des Adels auf Eure Seite bringen müssen... Schließlich möchtet Ihr bei der Versammlung des Sejm „nie pozwalam!“-Rufe vermeiden.
qstr_OiM_Potop_{s3}_prosi|{s3} instruierte Euch, {s4} gefangenzunehmen.
qstr_OiM_Potop_Shveda_slo|Auf der Suche nach einem schwedischen Gefangenen
qstr_OiM_Potop_Borzobagat|Ihr habt erfahren, dass Borzobogataya sich in {s5} aufhält.
qstr_{s4}_{s2}|{s4}, {s2}
qstr_{s5}_{s2}|{s5}, {s2}
qstr_OIM_add_Nu_polkiy_se|Der Sejm ist zusammengetreten. Nun müsst Ihr nur noch die Ergebnisse abwarten.
qstr_OIM_add_Nu_vot_teper|{s7} wünscht nun, dass Ihr {s3}, {s4}, {s5} und {s6} einnehmt.
qstr_OIM_add__{s2}_hochet|Der König wünscht, dass Ihr {s3} gefangennehmt.
qstr_OIM_add__Teper_pora_|Es ist an der Zeit, eine Miliz gegen den König aufzustellen, um endlich einen Würdigen auf den Thron zu bringen. Zunächst werdet Ihr Euch die Unterstützung des Adels sichern müssen...
qstr_OIM_add__Teper_kogda|Jan Kasimir hat einige Söldner in seine Lande gerufen. Es gilt sie aufzuhalten, bevor sie auch nur eine einzige Stadt der Polnischen Republik plündern.
qstr_{s4}.|{s4}.
qstr_OiMP2_str_qst_potop_|Dies sind gefährliche Zeiten für die Polnische Republik. Ringsum wird sie von Feinden bedrängt -- den Schweden, den Moskowiern und den Kosaken... Polen braucht einen Helden, der sich der schwedischen Übermacht entgegenwirft und den unbotmäßigen Adel zur Räson bringt, auf dass die Edlen sich dem Feind entgegenstellen wie ein Mann...
qstr_OIM_add_getman__{s4}|{s4} wünscht, dass Ihr {s3} vor Überfällen schützt.
qstr_OIM_add_getman__star|Aber ach, der alte Mann hat nicht sein ganzes Wissen mit Euch geteilt. Vielleicht findet Ihr jemand anders, der vom Schwarzen Streitkolben weiß...
qstr_OiM_add_Nu_teper_por|Ihr habt einen Hinweis gefunden. Vielleicht weiß de Clermont etwas über den Schwarzen Streitkolben.
qstr_OIM_add_getman__{s5}|Clermont will von {s5} vom Schwarzen Streitkolben erfahren haben.
qstr_OIM_add__chtobi_uzna|Ihr habt herausgefunden, dass {s3} das Geheimnis des Schwarzen Streitkolbens kennen könnte. Ihr werdet einen Aufstand gegen {s4} lostreten müssen, wenn Ihr {s3} auf den Thron helfen wollt.
qstr_OIM_add__{s3}_prosil_|{s3} wies Euch an, mit dem Bürgermeister von Kiew zu sprechen.
qstr_OIM_add_Kiev_{s3}_pr|Ihr müsst Kiew wieder in die Hand von {s3} bringen.
qstr_OIM_add__Net_zolota_|Vielleicht weiß der Bürgermeister von Kiew etwas. Ohne Silber allerdings kann man keine üppigen Informationen erwarten.
qstr_OIM_add__Nu_chto_zhe|Der Kosake hatte Recht! Radziwill ist in die Geschichte um den Schwarzen Streitkolben verstrickt. Es ist an der Zeit, dem Prinz einige Fragen zu stellen...
qstr_OIM_add__{s3}_hochet|Ohne eine einzige Frage zu beantworten, verlangte {s3}, dass Ihr einen tatarischen Mirza gefangennehmt.
qstr_OIM_add__pora_iskat_|Ihr habt einen Brief des Mirza gefunden, aus dem hervorgeht, dass in den Templerarchiven Informationen über den Schwarzen Streitkolben zu finden sind. Es wäre angeraten, nach {s20} zu gehen und diese Archive zu konsultieren. 
qstr_OIM_add_Kyazya_Olgov|Nach langen Stunden des Studiums in den Archiven entdeckt Ihr, dass die Prinzen aus dem Hause Oleg direkt in die Geschichte um den Schwarzen Streitkolben verwickelt waren.
qstr_OIM_add__nuzhno_vitr|Der Kerl ist nicht einfach zu knacken. Ihr werdet ihn irgendwie zum Reden bringen müssen.
qstr_OIM_add_getman__Pora|Ein neuer Hinweis, ein neues Geheimnis -- das Buch der Krähe!
qstr_OiM_getman_Knigu_moz|Das Buch ist nicht einfach zu entschlüsseln. Ihr werdet einen Scholaren finden müssen, den Heiligen Pafnuty von {s6}.
qstr_OiM_getman_Nuzhno_pe|Pafnuty hat sich bereiterklärt, das Buch zu übersetzen, doch braucht er Zugang zu den Archiven in {s3}.
qstr_OiM_getman_Kniga_na_|Ihr habt Pafnuty zu den Archiven gebracht. Nun müsst Ihr Euch gedulden, bis er das Buch übersetzt hat...
qstr_OIM_add_getman__Koza|Es heißt, der Kosake Mamai kenne zahlreiche Legenden. Vielleicht solltet Ihr mit ihm sprechen...
qstr_OIM_add_getman__Bara|Wie sich zeigt, ist der Hetman Barabasch am Leben. Er könnte sehr nützlich sein...
qstr_OIM_add_getman__Nu_c|Ihr habt einen Plan ausgeheckt: Getarnt als Söldner wollt Ihr an Radziwill herankommen, um ihn zu töten...
qstr_{s1}_s_tomb|Hier ruht {s1}
qstr_OIM_add_getman__Chto|Ihr habt Euch auf Barabaschs Seite geschlagen. Nun müsst Ihr mindestens die Hälfte der Kosaken-Obersten für Euch gewinnen, um nicht nur Einfluss, sondern auch den Streitkolben des Hetman für Barabasch zu erlangen.
qstr_OIM_add_getman__tepe|Nun, da Ihr zu den Kosaken gestoßen seid, wird Mamai versuchen, Hmelnitski zu überzeugen, Euch den Titel eines Marschalls zu verleihen. Ihr müsst nur warten, bis die Sache entschieden ist.
qstr_OIM_add_getman__{s5}_|{s5} sagte, dass die Karren {s3} verlassen haben und nach {s4} gezogen sind. Vielleicht hat Hmelnitski Recht.
qstr_OIM_add_getman_Bilo_|Ihr habt Euch für aufrichtige Diplomatie entschieden und einen Herold entsandt, um Eure Absichten zu erklären...
qstr_Velikoye_Knyazestvo_|Großfürstentum der Rus
qstr_OIM_add_getman_Koron|Erst der Schwarze Streitkolben, nun die Krone des Vitold... Ein neuer Tag, ein neues Geheimnis.
qstr_Mamay|Mamai
qstr_Nu_chto_zhe_budem_tr|Die Krone befindet sich offenbar in {s3}. Ihr werdet Euch in die Kerker des Klosters schleichen müssen, um sie zu erlangen...
qstr_OIM_add_getman_od_mo|Von Meer zu Meer -- dies ist der Wille des neuen Großprinzen...
qstr_OIM_add_getman__Nu_ch|Der Weg zum Thron ist voller Hürden und Gefahren. Der Waghals, der beschließt, den Zaren unseren Vater zu stürzen und seinen Platz einzunehmen, braucht Gerissenheit und Mut wie kein Zweiter. Er muss Manns genug sein, fürchterliche Schlachten zu schlagen, und obendrein bereit, das Blut Unschuldiger zu vergießen.
qstr_OiM_dmitriy_Teper_kog|{s4} ist gekränkt ob Eurer Weigerung, ihm zu helfen. Nun ist es nicht mehr wahrscheinlich, dass er mit Euch über die Geschichte der Zeit des Aufruhrs spricht.
qstr_OIM_add_getman__Nuzhn|Ihr habt erfahren, dass ein gewisser Gerasim Evangelic Euch einiges über den Falschen Dimitri sagen könnte. Ihr könntet in {s3} nach Gerasim suchen.
qstr_OiM_The_elder_{s9}_s|{s9} sagte, der Priester halte sich in {s10} auf. Sprecht mit den Städtern -- vielleicht haben sie ihn gesehen.
qstr_OiM_getman_Yavangeli|Ihr habt herausgefunden, dass Evangelic in {s4} ist.
qstr_OIM_add_getman__Nuzhno|Auf seinem Sterbebett instruierte Gerasim Euch, mit {s3} zu sprechen.
qstr_OiM_The_{s9}_prosil_|{s9} wünscht, dass Ihr Eleanor aus {s10} holt und sie nach {s11} bringt.
qstr_OiM_The_{s9}_prosilf|{s9} wünscht, dass Ihr sie nach {s11} bringt.
qstr_OiM_The_{s9}_prosilf_|{s9} wünscht, dass Ihr {s11} einen Brief überbringt.
qstr_OiM_The_{s9}_prosil_v|{s9} wünscht, dass Ihr {s11} einen Brief überbringt.
qstr_OiM_The_{s11}_dobriy|{s11} ist ein ernster Mann. Er war an Euren Erklärungen nicht interessiert und sandte Euch direkt zum Verhör.
qstr_OiM_The_Nu_chto_zhe_|Nun, da Ihr Euren Schutzpatron eingebüßt habt, bleibt Euch keine Wahl, als nach {s11} zu gehen.
qstr_OiM_Alevtina_v_Kafe_|Alevtina wird in Kafa gefangengehalten.
qstr_OiM_pohozhe_alevtinu|Es sieht nicht so aus, als würde der Mirza Alevtina einfach zu gehen erlauben. Vielleicht werdet Ihr Gewalt brauchen...
qstr_OiM_getman_Pohozhe_b|Offenbar hat Razin über den neuen Zaren keine Scherze gemacht... Also gut -- sei’s drum.
qstr_OiM_Teper_kogda_ya_p|Nun, da Ihr der Thronanwärter seid, müsst Ihr die Edlen von Eurem Recht auf Herrschaft überzeugen.
qstr_{s5}.|{s5}.
qstr_{s3}|{s3}
qstr_{s2}_{s3}|{s2}, {s3}
qstr_I_can_smell_a_fat_pu|Eine fette Börse rieche ich drei Meilen gegen den Wind. Mich dünkt, Eure sollte man wohl dringend erleichtern, wie?
qstr_Why_it_be_another_tr|Na, wenn das kein anderer Reisender ist -- was für ein Zufall! Lasst Euch warnen. Dieses Land hier ist reichlich gefährlich für gute Leute wie Euch. Gegen einen kleinen Obolus könnten meine Jungs und ich freilich dafür sorgen, dass Ihr direkt an Euer Ziel kommt... hm?
qstr_Well_well_look_at_th|Nun sieh einer an! Eure Börse scheint mir reichlich schwer zu sein. Spendet uns ein wenig Silber, dann lassen wir Euch in Frieden ziehen. Nun?
qstr_There_s_a_toll_for_p|Diese Straße kostet Wegezoll, zahlbar an uns. Also spuckt das Silber aus, wenn ich bitten darf. Sonst holen wir es uns...
qstr_Another_fool_come_to|Noch ein Narr, der sich in meine Waffe stürzen will, was? Gut, kämpfen wir!
qstr_We_re_not_afraid_of_|Wir fürchten Euch nicht, {Kerl/Frauenzimmer}. Schlagen wir ein paar Schädel ein!
qstr_That_was_a_mistake._|Das war ein Fehler. Nun muss ich Euch langsam und qualvoll sterben lassen.
qstr_Brave_words._Let_s_s|Brave Worte. Messen wir Eure Taten daran, Hundsfott!
qstr_A_{s5}?_Well..._Yes_|{s5}? Tja... das stimmt wohl. Was für eine seltsame Frage.
qstr_Eh?_No_it_most_certa|{s5}? Nein, es muss etwas anderes sein. Ich würde meine Augen untersuchen lassen an Eurer Stelle.
qstr_This_is_the_{reg4?to|Dies ist {reg4?die Stadt:das Dorf} {s5}, {Herr/Herrin}.
qstr_{s6}_Our_{reg4?town:|{reg4?Unsere Stadt:Unser Dorf} {s6} und das Umland sind selbstverständlich Euer, oh {Fürst/Fürstin}.
qstr_{s6}_Our_{reg4?town:v|{reg4?Unsere Stadt:Unser Dorf} {s6} und das Umland gehören {s7} von {s8}.
qstr_{s3}_and_{s5}|{s3} und {s5}
qstr_{s3}_{s5}|{s3}, {s5}
qstr_{reg20?We_mostly_pro|{reg20?Wir stellen hier vor allem {s5} her:Wir stellen derzeit nicht viel her}. Wenn Ihr mehr wissen möchtet, könnt Ihr mit unserem {reg4?Bürgermeister:Dorfältesten} sprechen. Er ist gleich dort drüben.
qstr__U_Vas_maximalnovozm|Wie es scheint, habt Ihr schon einen kompletten Kader, Herr. Sonst noch etwas?
qstr__U_Vas_ne_hvataet_de|Ihr habt nicht genügend Münzen, um die Söldner zu bezahlen, Herr! Was wünscht Ihr noch?
qstr___Skolko_naemnikov_n|Wie viele Mannen benötigt Ihr?
qstr__U_vas_netu_etogo_ti|Ihr habt niemanden, den Ihr neu ausrüsten könntet, Herr. Was wünscht Ihr noch?
qstr__Viberite_razdel|Nun denn, Herr, trefft Eure Wahl. Was brauchen Eure Burschen?
